system,cut,horizon,status,target_scope,postprocess,scored_values,rmse,mae
last,720,3,AVAILABLE,terminal_H,raw,3850,0.08504658354264659,0.03951043925502083
last,720,3,AVAILABLE,path_1_to_H,raw,11550,0.08153926913630948,0.0346840520991714
day,720,3,AVAILABLE,terminal_H,raw,3850,0.10553587262095414,0.06657312566051622
day,720,3,AVAILABLE,path_1_to_H,raw,11550,0.11039025583491349,0.06856956596691888
week,720,3,AVAILABLE,terminal_H,raw,3850,0.1362554535649404,0.09166360612571627
week,720,3,AVAILABLE,path_1_to_H,raw,11550,0.1391343619523314,0.09326162937560897
native_raw,720,3,AVAILABLE,terminal_H,raw,3850,0.056197946884653946,0.03115412490273064
native_raw,720,3,AVAILABLE,path_1_to_H,raw,11550,0.055895773082662754,0.02846733320343159
native_clip,720,3,AVAILABLE,terminal_H,clip_0_1,3850,0.056192512295098605,0.031147790340730896
native_clip,720,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.05589026129081106,0.02845714276180768
last,720,6,AVAILABLE,terminal_H,raw,3850,0.08915351734809568,0.046763290485681654
last,720,6,AVAILABLE,path_1_to_H,raw,23100,0.08426679616877308,0.03924580286333571
day,720,6,AVAILABLE,terminal_H,raw,3850,0.10500738326059796,0.06605591201114577
day,720,6,AVAILABLE,path_1_to_H,raw,23100,0.10887923042609708,0.06740227660639977
week,720,6,AVAILABLE,terminal_H,raw,3850,0.13317178099096835,0.08842499665964347
week,720,6,AVAILABLE,path_1_to_H,raw,23100,0.13710327446293746,0.09154973250793624
native_raw,720,6,NOT_AVAILABLE,terminal_H,raw,0,,
native_raw,720,6,NOT_AVAILABLE,path_1_to_H,raw,0,,
native_clip,720,6,NOT_AVAILABLE,terminal_H,clip_0_1,0,,
native_clip,720,6,NOT_AVAILABLE,path_1_to_H,clip_0_1,0,,
last,720,9,AVAILABLE,terminal_H,raw,3850,0.1019352350587403,0.05658480668803314
last,720,9,AVAILABLE,path_1_to_H,raw,34650,0.08923769715570228,0.04386491573266524
day,720,9,AVAILABLE,terminal_H,raw,3850,0.10824878346836037,0.06798233293142024
day,720,9,AVAILABLE,path_1_to_H,raw,34650,0.1082329762283097,0.06731889443501593
week,720,9,AVAILABLE,terminal_H,raw,3850,0.1228421922297018,0.08441681487800239
week,720,9,AVAILABLE,path_1_to_H,raw,34650,0.13335054410644837,0.08927348991498502
native_raw,720,9,NOT_AVAILABLE,terminal_H,raw,0,,
native_raw,720,9,NOT_AVAILABLE,path_1_to_H,raw,0,,
native_clip,720,9,NOT_AVAILABLE,terminal_H,clip_0_1,0,,
native_clip,720,9,NOT_AVAILABLE,path_1_to_H,clip_0_1,0,,
last,720,12,AVAILABLE,terminal_H,raw,3850,0.11474383181140947,0.07420205374961937
last,720,12,AVAILABLE,path_1_to_H,raw,46200,0.0940561300847838,0.04975254703534856
day,720,12,AVAILABLE,terminal_H,raw,3850,0.11328149101730005,0.06974855668649271
