cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae,prediction_sha256
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,terminal_H,raw,3850,0.12433189957614911,0.06780709719997563,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,terminal_H,clip_0_1,3850,0.12433189957614911,0.06780709719997563,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,path_1_to_H,raw,11550,0.12499245967167359,0.0627824562869361,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.12499245967167359,0.0627824562869361,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,terminal_H,raw,3850,0.12917691026211386,0.07425881028278351,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,terminal_H,clip_0_1,3850,0.12917691026211386,0.07425881028278351,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,path_1_to_H,raw,23100,0.13107111756978915,0.06969536732762298,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.13107111756978915,0.06969536732762298,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,9,AVAILABLE,terminal_H,raw,3850,0.12887596397059894,0.08229337676539004,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,9,AVAILABLE,terminal_H,clip_0_1,3850,0.12887596397059894,0.08229337676539004,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,9,AVAILABLE,path_1_to_H,raw,34650,0.13037591134832202,0.07289424968862825,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.13037591134832202,0.07289424968862825,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,12,AVAILABLE,terminal_H,raw,3850,0.14772057866091096,0.09682005239648528,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,12,AVAILABLE,terminal_H,clip_0_1,3850,0.14772057866091096,0.09682005239648528,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,12,AVAILABLE,path_1_to_H,raw,46200,0.13469953097966553,0.0785689729826077,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260913,HISTORICAL_CONTRACT_SEE_MANIFEST,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.13469953097966553,0.0785689729826077,fc5f0fb61f92feed154ace7abab0b0346a3521272f86afdd3a885c01530c6103
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,terminal_H,raw,3850,0.12442616865113694,0.06781384002165076,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,terminal_H,clip_0_1,3850,0.12442616865113694,0.06781384002165076,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,path_1_to_H,raw,11550,0.1250066458557873,0.06276437993119575,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.1250066458557873,0.06276437993119575,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,terminal_H,raw,3850,0.12940454169614118,0.07400635575817054,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,terminal_H,clip_0_1,3850,0.12940454169614118,0.07400635575817054,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,path_1_to_H,raw,23100,0.13122313209995717,0.06964881312814994,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.13122313209995717,0.06964881312814994,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,9,AVAILABLE,terminal_H,raw,3850,0.12862716312484304,0.08148203701723342,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
short_state_relaxation_v1,RELAX_SHORT_O,20260914,HISTORICAL_CONTRACT_SEE_MANIFEST,9,AVAILABLE,terminal_H,clip_0_1,3850,0.12862716312484304,0.08148203701723342,24af79a54a88d1ae6264eba17ba2f87d84166d98ca0021cba1dd22b161028955
