cohort,model,reported_instances,unique_raw_payloads_in_model,raw_fourH_rmse_mean,raw_fourH_mae_mean,same_evaluation_only
short_state_relaxation_v1,RELAX_SHORT_O,2,2,0.13250476672627248,0.08007653203156265,True
short_state_relaxation_v1,RELAX_SHORT_OD,2,2,0.13521334382917505,0.0809368461593315,True
short_state_relaxation_v1,DIRECT_SHORT_OD,2,2,0.13454529969368006,0.08052387429154273,True
short_state_relaxation_v1,DIRECT_LONG_OD,2,2,0.11946929159220301,0.06887219606209069,True
short_state_relaxation_v1,RIDGE_SHORT_OD,1,1,0.13172598979721112,0.08875489700869756,True
short_state_relaxation_v1,RIDGE_LONG_OD,1,1,0.11114679530313805,0.06849459515196633,True
short_state_relaxation_v1,last,1,1,0.1417091446403375,0.0788151784970534,True
short_state_relaxation_v1,day,1,1,0.14582405115946534,0.08531120976263827,True
short_state_relaxation_v1,week,1,1,0.1721259540579006,0.11626810609598873,True
long_history_source_ablation_v1,S,1,1,0.13172598979721112,0.08875489700869756,True
long_history_source_ablation_v1,O_LONG,1,1,0.11549570716429047,0.07253681990798397,True
long_history_source_ablation_v1,D_LONG,1,1,0.11559944340443334,0.06849952138853892,True
long_history_source_ablation_v1,OD_LONG,1,1,0.11114679530313792,0.06849459515196628,True
long_history_source_ablation_v1,O_LONG_D24,1,1,0.11233124723624426,0.07028140411728276,True
long_history_source_ablation_v1,O24_D_LONG,1,1,0.11622899412303112,0.06991721697652156,True
long_history_source_ablation_v1,O_LONG_D0,1,1,0.11524067386879448,0.07253438429798494,True
long_history_source_ablation_v1,O_LONG_DUP,1,1,0.11555970112799926,0.0725758782336227,True
duration_lag_regularization_v1,BASE_OD,1,1,0.11114679530313792,0.06849459515196628,True
duration_lag_regularization_v1,D_NORM_SELECTED,1,1,0.11114679530313792,0.06849459515196628,True
duration_lag_regularization_v1,GLOBAL_RIDGE_SELECTED,1,1,0.11114679530313792,0.06849459515196628,True
duration_lag_regularization_v1,TIME_SELECTED,1,1,0.11114712317011283,0.06848803103781777,True
duration_lag_regularization_v1,SCRAMBLED_SELECTED,1,1,0.11109956231719224,0.06847451623508084,True
duration_lag_regularization_v1,SCRAMBLED_MATCHED,1,1,0.11109956231719224,0.06847451623508084,True
conditional_od_interaction_v1,BASE_OD,1,1,0.11114679530313805,0.06849459515196633,True
conditional_od_interaction_v1,OD_PRODUCT,2,2,0.11069157535127987,0.06912640019745028,True
conditional_od_interaction_v1,OD_SEPARABLE,2,2,0.1135446002639639,0.07063956882315013,True
conditional_od_interaction_v1,OD_CONCAT_MLP,2,2,0.11248730618725471,0.06907594939914113,True
conditional_od_interaction_v1,OO_PRODUCT,2,2,0.11198060566792978,0.06950191144574364,True
reference_harm_stability_v1,BASE_OD,1,1,0.11114679530313805,0.06849459515196633,True
reference_harm_stability_v1,PRODUCT_MSE,3,3,0.11132634116796865,0.06915911785659666,True
reference_harm_stability_v1,PRODUCT_POSREG,3,3,0.1112334455534602,0.06869383091409373,True
reference_harm_stability_v1,PRODUCT_MIX,3,3,0.1116803915505133,0.06858752803207756,True
reference_harm_stability_v1,PRODUCT_L1,3,3,0.11135757227284306,0.06879269330117849,True
reference_harm_stability_v1,CONCAT_MSE,3,3,0.11252826921815084,0.06973951936439277,True
reference_harm_stability_v1,CONCAT_POSREG,3,3,0.11191220616704305,0.06918878550308076,True
forward_residual_transfer_v1,BASE_OD,1,1,0.11114679530313805,0.06849459515196633,True
forward_residual_transfer_v1,P_IS_X,3,2,0.11320808634152361,0.07018526657558104,True
forward_residual_transfer_v1,P_FWD_X,3,1,0.11114679530313805,0.06849459515196633,True
forward_residual_transfer_v1,P_IS_BC,3,3,0.11617983006509704,0.07265394932073573,True
forward_residual_transfer_v1,P_FWD_BC,3,1,0.11114679530313805,0.06849459515196633,True
forward_residual_transfer_v1,C_IS_BC,3,3,0.11317647478357991,0.06973484880928174,True
forward_residual_transfer_v1,C_FWD_BC,3,1,0.11114679530313805,0.06849459515196633,True
fixed_reference_correction_v1,BASE_FIXED,1,1,0.11317366517502209,0.07109754028508404,True
fixed_reference_correction_v1,LINEAR_REPAIR,1,1,0.11183451205116195,0.06873713277731058,True
fixed_reference_correction_v1,RIDGE_FULL,1,1,0.11114679530313805,0.06849459515196633,True
fixed_reference_correction_v1,FIXED_PRODUCT,3,3,0.11568302043719995,0.07215720714225178,True
fixed_reference_correction_v1,FIXED_SEPARABLE,3,3,0.11302343206156253,0.07022783671026238,True
fixed_reference_correction_v1,FIXED_CONCAT,3,3,0.11338321259991692,0.07128547780645912,True
