id,type,common_origin_status,core_rerun_status,note,source
benchmark_alignment_20260913,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/benchmark_alignment_20260913
chronos2,EXISTING_RESULT_GROUP,HISTORICAL_SIX_FOLD_OTHER_CONTRACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Chronos qualification:24 cells/5960 origins; exposure history retained, not a fresh blind test",artifacts/summaries/chronos2
coarse_memory_identifiability_v1_20260913,EXISTING_RESULT_GROUP,SYNTHETIC_ONLY,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Artificial HMM and identifiability experiments, no real forecast rank",artifacts/summaries/coarse_memory_identifiability_v1_20260913
comparability_bridge_v2,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/comparability_bridge_v2
conditional_od_interaction_v1,EXISTING_RESULT_GROUP,LOCKED_REPLAY_COMPLETED,SEPARATE_NEW_CORE,Final selected raw predictions only; training/selection cohorts stay separate,artifacts/summaries/conditional_od_interaction_v1
continuous_v2_calibration_2h,EXISTING_RESULT_GROUP,SELECTION_OVERLAP,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Calibration used1392 labels; not in1392 unselected evaluation table,artifacts/summaries/continuous_v2_calibration_2h
continuous_v2_candidate_reduction,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/continuous_v2_candidate_reduction
continuous_v2_registration,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/continuous_v2_registration
continuous_v2_solver_draft,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/continuous_v2_solver_draft
continuous_v2_solver_repair,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/continuous_v2_solver_repair
distillation,EXISTING_RESULT_GROUP,HISTORICAL_SIX_FOLD_OTHER_CONTRACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"D1 cells and model audits, original teacher/caches and selection not merged with local DEV",artifacts/summaries/distillation
dual_direction_pilot_v1,EXISTING_RESULT_GROUP,NOT_RUN_AT_COMMON_ORIGINS,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Spatial grouping and observation operators; preserve original scope,artifacts/summaries/dual_direction_pilot_v1
dual_risk_finite_step_v1,EXISTING_RESULT_GROUP,NOT_RUN_AT_COMMON_ORIGINS,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Stopped at1056 under old protocol; do not revive candidate,artifacts/summaries/dual_risk_finite_step_v1
dual_risk_probe_v1,EXISTING_RESULT_GROUP,DIAGNOSTIC_ONLY,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Directional derivative evidence, not deployed forecast scores",artifacts/summaries/dual_risk_probe_v1
duration_lag_regularization_v1,EXISTING_RESULT_GROUP,LOCKED_REPLAY_COMPLETED,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Final selected raw predictions only; training/selection cohorts stay separate,artifacts/summaries/duration_lag_regularization_v1
fixed_fusion,EXISTING_RESULT_GROUP,HISTORICAL_SIX_FOLD_OTHER_CONTRACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,CAPER/TimeXer/fixed fusion; oracle uses targets and is diagnostic only,artifacts/summaries/fixed_fusion
fixed_reference_correction_v1,EXISTING_RESULT_GROUP,LOCKED_REPLAY_COMPLETED,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Final selected raw predictions only; training/selection cohorts stay separate,artifacts/summaries/fixed_reference_correction_v1
fm_calibration_v1,EXISTING_RESULT_GROUP,NOT_RUN_AT_COMMON_ORIGINS,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"First-fold quantile/simplex/full-quantile ridge and TimesFM, different training/evaluation",artifacts/summaries/fm_calibration_v1
forward_residual_transfer_v1,EXISTING_RESULT_GROUP,LOCKED_REPLAY_COMPLETED,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,Final selected raw predictions only; training/selection cohorts stay separate,artifacts/summaries/forward_residual_transfer_v1
information_scope_20260913,EXISTING_RESULT_GROUP,SUPPORTING_ARTIFACT,NOT_RENAMED_OR_RETRAINED_AS_OLD_RESULT,"Supporting theory, solver, metadata or engineering evidence; not a stand-alone score entrant",artifacts/summaries/information_scope_20260913
