cohort,method,cells,rmse,mae,result_role,output_convention,source,source_sha256
legacy_fixed_fusion,CAPER,24,0.07550667751389535,0.048479747276688745,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/fixed_fusion/FIXED_FUSION_SUMMARY.json,c795e09ea8c380aef00c1dc8e4e3585edc1ef03300008539fade31102989df59
legacy_fixed_fusion,TimeXer,24,0.07370892925327933,0.04636686591893761,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/fixed_fusion/FIXED_FUSION_SUMMARY.json,c795e09ea8c380aef00c1dc8e4e3585edc1ef03300008539fade31102989df59
legacy_fixed_fusion,global_fixed,24,0.07136675688300531,0.04494941741082564,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/fixed_fusion/FIXED_FUSION_SUMMARY.json,c795e09ea8c380aef00c1dc8e4e3585edc1ef03300008539fade31102989df59
legacy_fixed_fusion,horizon_fixed,24,0.07137177878413585,0.04495109760949473,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/fixed_fusion/FIXED_FUSION_SUMMARY.json,c795e09ea8c380aef00c1dc8e4e3585edc1ef03300008539fade31102989df59
legacy_fixed_fusion,oracle,24,0.061232970014694243,0.035023478095100584,ORACLE_DIAGNOSTIC_NOT_DEPLOYABLE,"original artifact convention, not newly rescored",artifacts/summaries/fixed_fusion/FIXED_FUSION_SUMMARY.json,c795e09ea8c380aef00c1dc8e4e3585edc1ef03300008539fade31102989df59
legacy_router,CAPER,24,0.07550667751389535,0.048479747276688745,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_router,TimeXer,24,0.07370892925327933,0.04636686591893761,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_router,global_fixed,24,0.07136675688300531,0.04494941741082564,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_router,horizon_fixed,24,0.07137177878413585,0.04495109760949473,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_router,hard_router,24,0.07275910775223293,0.04499490985157395,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_router,soft_router,24,0.07097924186836793,0.04430280905223025,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_router,direct_loss_mlp,24,0.07105030993273188,0.04445243815541442,HISTORICAL_REPORTED,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_router,oracle,24,0.061232970014694243,0.035023478095100584,ORACLE_DIAGNOSTIC_NOT_DEPLOYABLE,"original artifact convention, not newly rescored",artifacts/summaries/router/ROUTER_V1_SUMMARY.json,568342d5d6524fdfdd29931e120fd3cc5dc44a829dd228f88664dabf0b784278
legacy_chronos_qualification,Chronos2_native_clipped,24,0.07354229522535828,0.042250022202845204,HISTORICAL_REPORTED,"clipped native, original qualification protocol",artifacts/summaries/chronos2/CHRONOS2_QUALIFICATION_SUMMARY.json,2f2297520cda964779284a8cf87174007288d684ab8d852dc5caae13a30eb0d5
legacy_distillation,GT_only,24,0.0755678057963872,0.04841658426572524,HISTORICAL_REPORTED,"D1 original24cell aggregate, no new target scoring",artifacts/summaries/distillation/D1_CELLS.csv,1e9cf647a193d82dc124ee73997c1e4d0368e022ada74ae2ac4f4d1b1d9ef635
legacy_distillation,aligned_KD,24,0.07547793192241496,0.04845242201613372,HISTORICAL_REPORTED,"D1 original24cell aggregate, no new target scoring",artifacts/summaries/distillation/D1_CELLS.csv,1e9cf647a193d82dc124ee73997c1e4d0368e022ada74ae2ac4f4d1b1d9ef635
legacy_distillation,shuffled_teacher,24,0.075673567486419,0.048592815297020954,HISTORICAL_REPORTED,"D1 original24cell aggregate, no new target scoring",artifacts/summaries/distillation/D1_CELLS.csv,1e9cf647a193d82dc124ee73997c1e4d0368e022ada74ae2ac4f4d1b1d9ef635
