cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,terminal_H,raw,3850,0.11035213751524543,0.06397039629323226
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.11034741315435602,0.06395398413031089
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,path_1_to_H,raw,11550,0.11037444221534515,0.05971320640720136
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.11036340034999816,0.05969046169247061
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,terminal_H,raw,3850,0.11750807631943574,0.07284696182944182
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11750547557606272,0.07283757918309491
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11785482138891423,0.06724763897923823
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11784594126845813,0.0672307945785332
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,terminal_H,raw,3850,0.11408046126458644,0.07461809095091257
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11408019709451933,0.074612391394989
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,path_1_to_H,raw,34650,0.11657927130452597,0.06892613995179143
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11657319912400808,0.06891336584606994
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,terminal_H,raw,3850,0.1190220203759103,0.07870208811835307
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11902039216816145,0.07869202954670385
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11724044815721418,0.07126730560485114
NEW_MATCHED_CORE,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11723512697002013,0.07125488808319337
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
NEW_MATCHED_CORE,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.11030437893439393,0.06404039839627339
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.11027416525446301,0.06399649065837414
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10918216484198902,0.05887268343891579
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10914117085961848,0.0587958439824514
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11383640656163203,0.06787821474361445
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11382664505440383,0.06783723173698637
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11704514395771295,0.0651819680080919
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11701619273188464,0.06511440008261203
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.11136804581336064,0.07246493529367384
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11136609114061859,0.0724465703137534
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.1154194274344117,0.0668331315257455
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11539697428084392,0.06677657126750715
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.11666417391491075,0.0767955120320435
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11665577670073204,0.07678585846646971
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11543557063008208,0.06895291508407236
NEW_MATCHED_CORE,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.1154164177113438,0.06890742011622424
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
NEW_MATCHED_CORE,OD_PRODUCT,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
NEW_MATCHED_CORE,OD_PRODUCT,20260917,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.1101905199654289,0.0641317261453868
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.110148746495278,0.06407766446587683
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10939505860212527,0.059125113403579926
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10936480403215255,0.059069510544048354
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.1144223979774536,0.06930249061327537
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11435837491716426,0.06922616153455906
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11706533350439227,0.06580494526138307
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11702318301922708,0.06574102927148481
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.1107930710109605,0.07198658234684058
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11076474751183873,0.0719325282419764
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.11539843577101111,0.06735827148717116
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11535917682214555,0.06729541697783682
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.11668834966124357,0.07645893379201416
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11667688748534152,0.0764392451870712
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11537977292474692,0.06925313759782538
NEW_MATCHED_CORE,OD_SEPARABLE,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11534359425424479,0.06919714231300012
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
NEW_MATCHED_CORE,OD_SEPARABLE,20260916,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
NEW_MATCHED_CORE,OD_SEPARABLE,20260917,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.10928323848248256,0.06373064513162888
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10927512369313373,0.06371272823655655
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.10854602402187243,0.05890664382111652
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10853625027106854,0.05887593535697045
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.11378752836925149,0.06878044313802874
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11378288207917399,0.06875719169710438
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.11623209951517621,0.06523740135202155
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11622544492208062,0.06521170443759516
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.11036895683070283,0.07204372807228282
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.1103674129869568,0.07203131406747347
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.11458044839328335,0.06688568452197183
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11457502733873857,0.06686311387395168
NEW_MATCHED_CORE,OD_CONCAT_MLP,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.11638545437333647,0.07644146870651795
