cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,terminal_H,raw,3850,0.07254595408261659,0.04228604947266097
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07252995152063568,0.04226449669932073
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06705230692496304,0.037923790192128666
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06703975991134897,0.03789121135798397
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,terminal_H,raw,3850,0.07763649205426651,0.0484143014574052
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07763531526710431,0.04840886957886396
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,path_1_to_H,raw,23100,0.07153310782741298,0.04223856803238919
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.07152288122546054,0.04221765576893395
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,terminal_H,raw,3850,0.08560587182580258,0.05779401976221348
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08559239315652638,0.05777897004320448
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,path_1_to_H,raw,34650,0.0757934605964259,0.04613305791219433
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07578511292641747,0.04611547907108949
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,terminal_H,raw,3850,0.0931671670892685,0.061166902440160674
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09315395462579716,0.061140319666085144
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07985927380032512,0.04972858387407982
NEW_CORE_SELECT,RIDGE_O,fixed,LOCAL_O_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.0798496024810308,0.04971033229872646
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07155749091832687,0.04150404715197922
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07155532535344217,0.04148815061496082
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06533001779708264,0.03669940274660176
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.0653026967012024,0.0366599289799402
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07640047146889435,0.04762812144991265
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07639800240261242,0.04762124960119462
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.0699865059565207,0.04114355073647552
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06997297823626436,0.04111893887692638
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08468624593246253,0.056971649421793065
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08468509333991603,0.05696355243365054
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07434497497347202,0.04506060979594297
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07433592718062032,0.04504229630533493
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09306321667618835,0.06072716654989335
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09305738102667864,0.06071073253632499
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07876578519461823,0.048791925921694526
NEW_CORE_SELECT,RIDGE_OD,fixed,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07875791627267534,0.0487757014041068
