epoch,cohort,model,seed,information_track,horizon,status,target_scope,postprocess,scored_values,rmse,mae
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07155749091832687,0.04150404715197922
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07155532535344217,0.04148815061496082
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,raw,11550,0.06533001779708264,0.03669940274660176
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.0653026967012024,0.0366599289799402
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,raw,3850,0.07640047146889435,0.04762812144991265
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07639800240261242,0.04762124960119462
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,raw,23100,0.0699865059565207,0.04114355073647552
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06997297823626436,0.04111893887692638
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,raw,3850,0.08468624593246253,0.056971649421793065
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08468509333991603,0.05696355243365054
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,raw,34650,0.07434497497347202,0.04506060979594297
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07433592718062032,0.04504229630533493
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,raw,3850,0.09306321667618835,0.06072716654989335
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09305738102667864,0.06071073253632499
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,raw,46200,0.07876578519461823,0.048791925921694526
0,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07875791627267534,0.0487757014041068
5,NEW_CORE_SELECT,OD_PRODUCT,20260915,LOCAL_OD_168,3,AVAILABLE,terminal_H,raw,3850,0.07176230950752617,0.041573894800500125
