stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,BASE_OD,fixed,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131089,0.06275004621150433
DEV_EVAL,BASE_OD,fixed,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936744,0.058215197733632706
DEV_EVAL,BASE_OD,fixed,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190436,0.06273469880252884
DEV_EVAL,BASE_OD,fixed,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885691,0.05819006858839025
DEV_EVAL,BASE_OD,fixed,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246287,0.0665814280472109
DEV_EVAL,BASE_OD,fixed,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837021,0.0641401073633475
DEV_EVAL,BASE_OD,fixed,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504261,0.06657595630038025
DEV_EVAL,BASE_OD,fixed,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772243,0.06412423873220525
DEV_EVAL,BASE_OD,fixed,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876627,0.07002267576815444
DEV_EVAL,BASE_OD,fixed,9,AVAILABLE,path_1_to_H,raw,34650,0.11380050957884068,0.0655027878658581
DEV_EVAL,BASE_OD,fixed,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842484,0.07001665524068995
DEV_EVAL,BASE_OD,fixed,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626999,0.06549087750715707
DEV_EVAL,BASE_OD,fixed,12,AVAILABLE,terminal_H,raw,3850,0.11451864758001216,0.07462423058099567
DEV_EVAL,BASE_OD,fixed,12,AVAILABLE,path_1_to_H,raw,46200,0.1137195144299465,0.06743035463423697
DEV_EVAL,BASE_OD,fixed,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044605,0.0746072320687806
DEV_EVAL,BASE_OD,fixed,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994719,0.06741728765730044
DEV_EVAL,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,raw,3850,0.10684294010132976,0.06250499875763492
DEV_EVAL,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,raw,11550,0.10678784699118005,0.05821855761243865
DEV_EVAL,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10683649360405434,0.06247808213961278
DEV_EVAL,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.106771128060081,0.058177854311419225
DEV_EVAL,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,raw,3850,0.11260659376643417,0.06755849546145926
DEV_EVAL,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,raw,23100,0.11477547056878762,0.06446917851440188
DEV_EVAL,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11258832492084193,0.06751280202389826
DEV_EVAL,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11476048769023975,0.06442537281955997
DEV_EVAL,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,raw,3850,0.11081132590049393,0.07251758645204026
DEV_EVAL,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,raw,34650,0.1136284346838048,0.06636983649214928
DEV_EVAL,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11079285524954764,0.07248784415066964
DEV_EVAL,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11361469658096857,0.06632950891107127
DEV_EVAL,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,raw,3850,0.11640466509148037,0.07661543663034769
DEV_EVAL,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,raw,46200,0.11400617535184132,0.06864671815055544
DEV_EVAL,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,clip_0_1,3850,0.1163907298897686,0.07658748134990423
DEV_EVAL,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11399147110529953,0.06860861387460813
DEV_EVAL,OD_PRODUCT,20260914,3,AVAILABLE,terminal_H,raw,3850,0.10719639006584447,0.06262759922742316
DEV_EVAL,OD_PRODUCT,20260914,3,AVAILABLE,path_1_to_H,raw,11550,0.10733195303772888,0.058185171174736594
DEV_EVAL,OD_PRODUCT,20260914,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10717998671680302,0.0625937340532852
DEV_EVAL,OD_PRODUCT,20260914,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10731530294015351,0.0581401940231714
DEV_EVAL,OD_PRODUCT,20260914,6,AVAILABLE,terminal_H,raw,3850,0.11086204116552593,0.06692390578773678
DEV_EVAL,OD_PRODUCT,20260914,6,AVAILABLE,path_1_to_H,raw,23100,0.11435482556102171,0.06413423872814522
