epoch,stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
0,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,raw,3850,0.0715574909183269,0.041504047151979244
0,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,raw,11550,0.06533001779708271,0.036699402746601786
0,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07155532535344221,0.041488150614960834
0,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06530269670120245,0.036659928979940214
0,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,raw,3850,0.07640047146889449,0.04762812144991269
0,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,raw,23100,0.06998650595652077,0.041143550736475555
0,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07639800240261255,0.04762124960119467
0,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06997297823626444,0.04111893887692641
0,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,raw,3850,0.08468624593246257,0.05697164942179302
0,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,raw,34650,0.0743449749734721,0.04506060979594299
0,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08468509333991608,0.0569635524336505
0,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.0743359271806204,0.04504229630533494
0,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,raw,3850,0.09306321667618843,0.060727166549893394
0,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,raw,46200,0.07876578519461831,0.04879192592169455
0,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09305738102667872,0.060710732536325016
0,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07875791627267542,0.048775701404106815
5,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,raw,3850,0.0717767569249544,0.04151479858370994
5,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,raw,11550,0.06539887608289177,0.03671585900887716
5,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07176533858638212,0.04149462453137742
5,SELECT,OD_PRODUCT,20260913,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06537165199331392,0.03667195547655903
5,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,raw,3850,0.07625272490945115,0.047135491706911614
5,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,raw,23100,0.06998912656591323,0.04101189021250556
5,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07623973395410957,0.04709359492792953
5,SELECT,OD_PRODUCT,20260913,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06996652552906317,0.04097310636884488
5,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,raw,3850,0.08451470572493441,0.056704752250229466
5,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,raw,34650,0.07432410112992122,0.04484634521127685
5,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08451025196829656,0.056691428436102746
5,SELECT,OD_PRODUCT,20260913,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07430605042647706,0.04481093263297429
5,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,terminal_H,raw,3850,0.09245719600187624,0.059900978523459075
5,SELECT,OD_PRODUCT,20260913,12,AVAILABLE,path_1_to_H,raw,46200,0.07863236092130649,0.048506947730613065
