system,outer_status,alpha,block,horizon,n,raw_rmse,raw_mae,rmse,mae
native,FIXED_NATIVE,0.0,720,3,11550,0.05589577308266276,0.02846733320343159,0.05589026129081106,0.02845714276180768
native,FIXED_NATIVE,0.0,1056,3,11550,0.06240414869487597,0.033239056211795445,0.06238493648552846,0.0332112496331318
native,FIXED_NATIVE,0.0,1392,3,11550,0.10785652026129473,0.05142333254606192,0.10784551376242232,0.05132710722814822
native,FIXED_NATIVE,0.0,720,12,46200,0.0702744804016077,0.04018362104094454,0.0702725282325206,0.04018002874407417
native,FIXED_NATIVE,0.0,1056,12,46200,0.07831167412920281,0.04633956363835892,0.07830591311366505,0.04632589489157066
native,FIXED_NATIVE,0.0,1392,12,46200,0.11394747712176027,0.05928244603855079,0.11394193518666669,0.05922485594192819
bias,ZERO_ONLY_FEASIBLE,0.0,720,3,11550,0.05589577308266276,0.02846733320343159,0.05589026129081106,0.02845714276180768
bias,ZERO_ONLY_FEASIBLE,0.0,1056,3,11550,0.06240414869487597,0.033239056211795445,0.06238493648552846,0.0332112496331318
bias,ZERO_ONLY_FEASIBLE,0.0,1392,3,11550,0.10785652026129473,0.05142333254606192,0.10784551376242232,0.05132710722814822
bias,ZERO_ONLY_FEASIBLE,0.0,720,12,46200,0.0702744804016077,0.04018362104094454,0.0702725282325206,0.04018002874407417
bias,ZERO_ONLY_FEASIBLE,0.0,1056,12,46200,0.07831167412920281,0.04633956363835892,0.07830591311366505,0.04632589489157066
bias,ZERO_ONLY_FEASIBLE,0.0,1392,12,46200,0.11394747712176027,0.05928244603855079,0.11394193518666669,0.05922485594192819
occupancy,ZERO_ONLY_FEASIBLE,0.0,720,3,11550,0.05589577308266276,0.02846733320343159,0.05589026129081106,0.02845714276180768
occupancy,ZERO_ONLY_FEASIBLE,0.0,1056,3,11550,0.06240414869487597,0.033239056211795445,0.06238493648552846,0.0332112496331318
occupancy,ZERO_ONLY_FEASIBLE,0.0,1392,3,11550,0.10785652026129473,0.05142333254606192,0.10784551376242232,0.05132710722814822
occupancy,ZERO_ONLY_FEASIBLE,0.0,720,12,46200,0.0702744804016077,0.04018362104094454,0.0702725282325206,0.04018002874407417
occupancy,ZERO_ONLY_FEASIBLE,0.0,1056,12,46200,0.07831167412920281,0.04633956363835892,0.07830591311366505,0.04632589489157066
occupancy,ZERO_ONLY_FEASIBLE,0.0,1392,12,46200,0.11394747712176027,0.05928244603855079,0.11394193518666669,0.05922485594192819
duplicate,ZERO_ONLY_FEASIBLE,0.0,720,3,11550,0.05589577308266276,0.02846733320343159,0.05589026129081106,0.02845714276180768
duplicate,ZERO_ONLY_FEASIBLE,0.0,1056,3,11550,0.06240414869487597,0.033239056211795445,0.06238493648552846,0.0332112496331318
duplicate,ZERO_ONLY_FEASIBLE,0.0,1392,3,11550,0.10785652026129473,0.05142333254606192,0.10784551376242232,0.05132710722814822
duplicate,ZERO_ONLY_FEASIBLE,0.0,720,12,46200,0.0702744804016077,0.04018362104094454,0.0702725282325206,0.04018002874407417
duplicate,ZERO_ONLY_FEASIBLE,0.0,1056,12,46200,0.07831167412920281,0.04633956363835892,0.07830591311366505,0.04632589489157066
duplicate,ZERO_ONLY_FEASIBLE,0.0,1392,12,46200,0.11394747712176027,0.05928244603855079,0.11394193518666669,0.05922485594192819
raw_duration,OK,0.08182509217273147,720,3,11550,0.055769053052690254,0.028521544552278448,0.05576445929634045,0.028512056204170327
raw_duration,OK,0.08182509217273147,1056,3,11550,0.06225723040426856,0.03325359790610509,0.06224107448125856,0.03322952428170359
raw_duration,OK,0.08182509217273147,1392,3,11550,0.10760537808815593,0.05143932207011765,0.10759740061954931,0.05137651779556367
