system,fit_id,alias_systems,horizon,target_scope,postprocess,scored_values,rmse,mae
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,terminal_H,raw,3850,0.10887039335131067,0.06275004621150415
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,path_1_to_H,raw,11550,0.10844216983936718,0.05821519773363258
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,terminal_H,clip_0_1,3850,0.10886780811190414,0.06273469880252869
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,3,path_1_to_H,clip_0_1,11550,0.10843753341885666,0.058190068588390105
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,terminal_H,raw,3850,0.11250546994246273,0.06658142804721094
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,path_1_to_H,raw,23100,0.11573379773837013,0.06414010736334748
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,terminal_H,clip_0_1,3850,0.11250526267504249,0.06657595630038031
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,6,path_1_to_H,clip_0_1,23100,0.11573146002772235,0.06412423873220521
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,terminal_H,raw,3850,0.10869267033876624,0.07002267576815438
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,path_1_to_H,raw,34650,0.1138005095788406,0.06550278786585806
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,terminal_H,clip_0_1,3850,0.10869232862842482,0.0700166552406899
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,9,path_1_to_H,clip_0_1,34650,0.11379886871626992,0.06549087750715706
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,terminal_H,raw,3850,0.1145186475800121,0.07462423058099564
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,path_1_to_H,raw,46200,0.11371951442994646,0.06743035463423691
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,terminal_H,clip_0_1,3850,0.11451219890044596,0.07460723206878056
BASE_OD,BASE_OD,BASE_OD|D_NORM_SELECTED|GLOBAL_RIDGE_SELECTED,12,path_1_to_H,clip_0_1,46200,0.11371613644994716,0.0674172876573004
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,3,terminal_H,raw,3850,0.10887127336132453,0.06269838732052609
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,3,path_1_to_H,raw,11550,0.10851536342015056,0.05824003351032262
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,3,terminal_H,clip_0_1,3850,0.10886884073325927,0.06268416952076268
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,3,path_1_to_H,clip_0_1,11550,0.10851157772422645,0.058217832765122136
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,6,terminal_H,raw,3850,0.11246815191895093,0.06655737079962218
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,6,path_1_to_H,raw,23100,0.11578062687970243,0.06417989319069792
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,6,terminal_H,clip_0_1,3850,0.11246796376120452,0.06655212966550249
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,6,path_1_to_H,clip_0_1,23100,0.11577869276907579,0.06416555925205408
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,9,terminal_H,raw,3850,0.10870799434186619,0.07003509530291135
TIME_SELECTED,TIME_SMOOTH_D_g0.01,TIME_SELECTED,9,path_1_to_H,raw,34650,0.11384730188488,0.0655270243921403
