fit_id,family,gamma,horizon,target_scope,postprocess,scored_values,rmse,mae
BASE_OD,BASE,0.0,3,terminal_H,raw,3850,0.07155749091832687,0.04150404715197922
BASE_OD,BASE,0.0,3,path_1_to_H,raw,11550,0.06533001779708264,0.03669940274660176
BASE_OD,BASE,0.0,3,terminal_H,clip_0_1,3850,0.07155532535344217,0.04148815061496082
BASE_OD,BASE,0.0,3,path_1_to_H,clip_0_1,11550,0.0653026967012024,0.0366599289799402
BASE_OD,BASE,0.0,6,terminal_H,raw,3850,0.07640047146889435,0.04762812144991265
BASE_OD,BASE,0.0,6,path_1_to_H,raw,23100,0.06998650595652071,0.04114355073647553
BASE_OD,BASE,0.0,6,terminal_H,clip_0_1,3850,0.07639800240261242,0.04762124960119462
BASE_OD,BASE,0.0,6,path_1_to_H,clip_0_1,23100,0.06997297823626436,0.041118938876926386
BASE_OD,BASE,0.0,9,terminal_H,raw,3850,0.08468624593246253,0.056971649421793065
BASE_OD,BASE,0.0,9,path_1_to_H,raw,34650,0.07434497497347203,0.04506060979594297
BASE_OD,BASE,0.0,9,terminal_H,clip_0_1,3850,0.08468509333991603,0.05696355243365054
BASE_OD,BASE,0.0,9,path_1_to_H,clip_0_1,34650,0.07433592718062032,0.04504229630533494
BASE_OD,BASE,0.0,12,terminal_H,raw,3850,0.09306321667618835,0.06072716654989335
BASE_OD,BASE,0.0,12,path_1_to_H,raw,46200,0.07876578519461823,0.048791925921694526
BASE_OD,BASE,0.0,12,terminal_H,clip_0_1,3850,0.09305738102667864,0.06071073253632499
BASE_OD,BASE,0.0,12,path_1_to_H,clip_0_1,46200,0.07875791627267534,0.0487757014041068
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,3,terminal_H,raw,3850,0.0715521491931736,0.04150652389826618
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,3,path_1_to_H,raw,11550,0.06537601881362062,0.03673393166974159
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,3,terminal_H,clip_0_1,3850,0.07154986577854906,0.041490707675806426
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,3,path_1_to_H,clip_0_1,11550,0.06535192968701155,0.036696256455571966
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,6,terminal_H,raw,3850,0.0763994502944099,0.04761868164853271
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,6,path_1_to_H,raw,23100,0.07000914619422274,0.04116502863403603
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,6,terminal_H,clip_0_1,3850,0.07639702132475239,0.047611923255725455
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,6,path_1_to_H,clip_0_1,23100,0.06999710982921901,0.041141236831527095
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,9,terminal_H,raw,3850,0.08469523521392952,0.056995366707325364
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,9,path_1_to_H,raw,34650,0.0743636729384402,0.04508566316144654
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,9,terminal_H,clip_0_1,3850,0.08469408518342862,0.056987250973329996
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,9,path_1_to_H,clip_0_1,34650,0.07435554422154073,0.04506781119429852
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,12,terminal_H,raw,3850,0.0930267530077305,0.06069380729648112
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,12,path_1_to_H,raw,46200,0.07877238758459265,0.04880741942251117
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,12,terminal_H,clip_0_1,3850,0.09302078259006398,0.060677188320208596
TIME_SMOOTH_D_g0.01,TIME_SMOOTH_D,0.01,12,path_1_to_H,clip_0_1,46200,0.07876517558504975,0.04879154346954834
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,3,terminal_H,raw,3850,0.07160775561843832,0.04150881179945026
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,3,path_1_to_H,raw,11550,0.06558914170955774,0.03685304022606278
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,3,terminal_H,clip_0_1,3850,0.07160472111301523,0.04149174568258656
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,3,path_1_to_H,clip_0_1,11550,0.0655745975484414,0.036819257449998276
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,6,terminal_H,raw,3850,0.07645325640485631,0.04761497822090761
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,6,path_1_to_H,raw,23100,0.07013215260766713,0.041248352400560205
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,6,terminal_H,clip_0_1,3850,0.0764508664606238,0.047608443944119234
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,6,path_1_to_H,clip_0_1,23100,0.07012457525966945,0.041226426229634086
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,9,terminal_H,raw,3850,0.08473279935195238,0.057074624288591634
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,9,path_1_to_H,raw,34650,0.0744726559432066,0.04518495462658661
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,9,terminal_H,clip_0_1,3850,0.08473157988680233,0.057066206184454384
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,9,path_1_to_H,clip_0_1,34650,0.07446730639673062,0.045167970767664864
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,12,terminal_H,raw,3850,0.09298322853309805,0.060658387176617076
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,12,path_1_to_H,raw,46200,0.07884499448539631,0.0488828141249978
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,12,terminal_H,clip_0_1,3850,0.09297731414171559,0.06064231461135144
TIME_SMOOTH_D_g0.1,TIME_SMOOTH_D,0.1,12,path_1_to_H,clip_0_1,46200,0.07883977407372281,0.04886762042005967
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,3,terminal_H,raw,3850,0.07174316736246192,0.041599764353744274
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,3,path_1_to_H,raw,11550,0.06604563161844698,0.03715122550646141
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,3,terminal_H,clip_0_1,3850,0.07173714618449414,0.04157816368355603
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,3,path_1_to_H,clip_0_1,11550,0.06603645390120508,0.03711745972340088
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,6,terminal_H,raw,3850,0.07667009861461943,0.04771033899789872
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,6,path_1_to_H,raw,23100,0.07043159021462168,0.04144127821004864
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,6,terminal_H,clip_0_1,3850,0.07666777936855192,0.04770440021344441
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,6,path_1_to_H,clip_0_1,23100,0.07042656251742473,0.04141950591018928
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,9,terminal_H,raw,3850,0.08484578204732304,0.057204409664987604
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,9,path_1_to_H,raw,34650,0.07474122777984593,0.04538614588281725
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,9,terminal_H,clip_0_1,3850,0.08484441984747174,0.057195471928624696
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,9,path_1_to_H,clip_0_1,34650,0.07473747739816473,0.0453688577943613
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,12,terminal_H,raw,3850,0.092929109673015,0.06066345975503047
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,12,path_1_to_H,raw,46200,0.07903603095585589,0.04904361785364824
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,12,terminal_H,clip_0_1,3850,0.09292368937921137,0.06064933453773639
TIME_SMOOTH_D_g1,TIME_SMOOTH_D,1.0,12,path_1_to_H,clip_0_1,46200,0.0790320185416859,0.04902832423529683
SCRAMBLED_SMOOTH_D_g0.01,SCRAMBLED_SMOOTH_D,0.01,3,terminal_H,raw,3850,0.07155316018115777,0.04150820659038756
