evaluation_fold,horizon,fit_source,fit_cells,global_alpha_timexer,horizon_alpha_timexer
1,3,fold1_pretest_validation,1,0.5081204973742487,0.5398699025523835
1,6,fold1_pretest_validation,1,0.5081204973742487,0.4707124140191152
1,9,fold1_pretest_validation,1,0.5081204973742487,0.5104919454592924
1,12,fold1_pretest_validation,1,0.5081204973742487,0.5098860237194378
2,3,strict_prior_fold_oof_test_1_to_1,1,0.544851482696694,0.5383604759504406
2,6,strict_prior_fold_oof_test_1_to_1,1,0.544851482696694,0.5435257019352814
2,9,strict_prior_fold_oof_test_1_to_1,1,0.544851482696694,0.5682501437824697
2,12,strict_prior_fold_oof_test_1_to_1,1,0.544851482696694,0.5274038116538444
3,3,strict_prior_fold_oof_test_1_to_2,2,0.4810449657689995,0.4756199476335832
3,6,strict_prior_fold_oof_test_1_to_2,2,0.4810449657689995,0.43294446424619626
3,9,strict_prior_fold_oof_test_1_to_2,2,0.4810449657689995,0.5060687766282691
3,12,strict_prior_fold_oof_test_1_to_2,2,0.4810449657689995,0.49602202694349334
4,3,strict_prior_fold_oof_test_1_to_3,3,0.47445335283718326,0.4615878339394278
4,6,strict_prior_fold_oof_test_1_to_3,3,0.47445335283718326,0.4463477608496306
4,9,strict_prior_fold_oof_test_1_to_3,3,0.47445335283718326,0.5028808700612378
4,12,strict_prior_fold_oof_test_1_to_3,3,0.47445335283718326,0.4765517778708062
5,3,strict_prior_fold_oof_test_1_to_4,4,0.5615057537744987,0.5471024457948441
5,6,strict_prior_fold_oof_test_1_to_4,4,0.5615057537744987,0.5438471145329328
5,9,strict_prior_fold_oof_test_1_to_4,4,0.5615057537744987,0.5802730795010338
5,12,strict_prior_fold_oof_test_1_to_4,4,0.5615057537744987,0.5652989009338911
6,3,strict_prior_fold_oof_test_1_to_5,5,0.6013698894981687,0.5881744646708016
6,6,strict_prior_fold_oof_test_1_to_5,5,0.6013698894981687,0.6148227406221429
6,9,strict_prior_fold_oof_test_1_to_5,5,0.6013698894981687,0.6157202524105646
6,12,strict_prior_fold_oof_test_1_to_5,5,0.6013698894981687,0.5831025476631674
