stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
SELECT,BASE_FIXED,fixed,3,AVAILABLE,terminal_H,raw,3850,0.07354960699123887,0.0433089471074033
SELECT,BASE_FIXED,fixed,3,AVAILABLE,path_1_to_H,raw,11550,0.06702826968244342,0.03804927000298218
SELECT,BASE_FIXED,fixed,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07354598545725034,0.04329181412924197
SELECT,BASE_FIXED,fixed,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06697925001719443,0.03800269911730921
SELECT,BASE_FIXED,fixed,6,AVAILABLE,terminal_H,raw,3850,0.0774147141294465,0.04917356480023224
SELECT,BASE_FIXED,fixed,6,AVAILABLE,path_1_to_H,raw,23100,0.07159963314899552,0.04270906431798812
SELECT,BASE_FIXED,fixed,6,AVAILABLE,terminal_H,clip_0_1,3850,0.0774112684619087,0.04916638181941597
SELECT,BASE_FIXED,fixed,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.07157569658333661,0.04268117889772721
SELECT,BASE_FIXED,fixed,9,AVAILABLE,terminal_H,raw,3850,0.08718545443787465,0.05953483556796003
SELECT,BASE_FIXED,fixed,9,AVAILABLE,path_1_to_H,raw,34650,0.0760717422429881,0.04677592140078039
SELECT,BASE_FIXED,fixed,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08717078209420791,0.05951043286452604
SELECT,BASE_FIXED,fixed,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07605172805896687,0.04675180471589979
SELECT,BASE_FIXED,fixed,12,AVAILABLE,terminal_H,raw,3850,0.09575774948420335,0.06335523990509706
SELECT,BASE_FIXED,fixed,12,AVAILABLE,path_1_to_H,raw,46200,0.08067048081453988,0.05063606781822436
SELECT,BASE_FIXED,fixed,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09570686113383214,0.06328211745124553
SELECT,BASE_FIXED,fixed,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.08064559908151031,0.05060580393695238
SELECT,LINEAR_REPAIR,fixed,3,AVAILABLE,terminal_H,raw,3850,0.07119970784182462,0.041601381627454706
SELECT,LINEAR_REPAIR,fixed,3,AVAILABLE,path_1_to_H,raw,11550,0.06490120686959387,0.03686666748381963
SELECT,LINEAR_REPAIR,fixed,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07119712300325737,0.04158439259952877
SELECT,LINEAR_REPAIR,fixed,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06487833890622265,0.03682789773333393
SELECT,LINEAR_REPAIR,fixed,6,AVAILABLE,terminal_H,raw,3850,0.07676860188306803,0.04806532949125687
SELECT,LINEAR_REPAIR,fixed,6,AVAILABLE,path_1_to_H,raw,23100,0.06973878810850272,0.04133941286869594
SELECT,LINEAR_REPAIR,fixed,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07676647228608606,0.04805671140674232
SELECT,LINEAR_REPAIR,fixed,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06972727943673104,0.04131447442911324
SELECT,LINEAR_REPAIR,fixed,9,AVAILABLE,terminal_H,raw,3850,0.08470205443300403,0.05686280736595832
