stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,BASE_FIXED,fixed,3,AVAILABLE,terminal_H,raw,3850,0.1114718713913279,0.06540242052451378
DEV_EVAL,BASE_FIXED,fixed,3,AVAILABLE,path_1_to_H,raw,11550,0.11156312857973595,0.061317735624831046
DEV_EVAL,BASE_FIXED,fixed,3,AVAILABLE,terminal_H,clip_0_1,3850,0.11146477095117603,0.0653764375842311
DEV_EVAL,BASE_FIXED,fixed,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.11154515378259246,0.0612751024669815
DEV_EVAL,BASE_FIXED,fixed,6,AVAILABLE,terminal_H,raw,3850,0.11545810047375187,0.0700623355672198
DEV_EVAL,BASE_FIXED,fixed,6,AVAILABLE,path_1_to_H,raw,23100,0.11790215666715435,0.06704315896508924
DEV_EVAL,BASE_FIXED,fixed,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11545685977625662,0.0700466996141839
DEV_EVAL,BASE_FIXED,fixed,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11788849442434694,0.06700249556584963
DEV_EVAL,BASE_FIXED,fixed,9,AVAILABLE,terminal_H,raw,3850,0.1090769494216019,0.07097401772794641
DEV_EVAL,BASE_FIXED,fixed,9,AVAILABLE,path_1_to_H,raw,34650,0.11581140004941151,0.06815018621287029
DEV_EVAL,BASE_FIXED,fixed,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10907469951690252,0.07095449679169825
DEV_EVAL,BASE_FIXED,fixed,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11580164835096429,0.0681180385118491
DEV_EVAL,BASE_FIXED,fixed,12,AVAILABLE,terminal_H,raw,3850,0.11668773941340668,0.07795138732065614
DEV_EVAL,BASE_FIXED,fixed,12,AVAILABLE,path_1_to_H,raw,46200,0.11554566021154221,0.07003159825831125
DEV_EVAL,BASE_FIXED,fixed,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11667846697956072,0.0779219665178427
DEV_EVAL,BASE_FIXED,fixed,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.1155354208167655,0.07000002013833863
DEV_EVAL,LINEAR_REPAIR,fixed,3,AVAILABLE,terminal_H,raw,3850,0.10899338947425813,0.0628419915408525
DEV_EVAL,LINEAR_REPAIR,fixed,3,AVAILABLE,path_1_to_H,raw,11550,0.10788726659308284,0.05796187319716529
DEV_EVAL,LINEAR_REPAIR,fixed,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10899107759505038,0.06282257945412202
DEV_EVAL,LINEAR_REPAIR,fixed,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10788066886702989,0.05793025544035015
DEV_EVAL,LINEAR_REPAIR,fixed,6,AVAILABLE,terminal_H,raw,3850,0.11272375178218294,0.06650941491438038
DEV_EVAL,LINEAR_REPAIR,fixed,6,AVAILABLE,path_1_to_H,raw,23100,0.11573787959062551,0.06396244848710453
DEV_EVAL,LINEAR_REPAIR,fixed,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11272349095892256,0.06650397446936182
DEV_EVAL,LINEAR_REPAIR,fixed,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573457246300559,0.06394302398884201
DEV_EVAL,LINEAR_REPAIR,fixed,9,AVAILABLE,terminal_H,raw,3850,0.11007351565648787,0.07090492880158628
DEV_EVAL,LINEAR_REPAIR,fixed,9,AVAILABLE,path_1_to_H,raw,34650,0.11412330893164009,0.0655686131892966
DEV_EVAL,LINEAR_REPAIR,fixed,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11007343919272435,0.07090130853826133
DEV_EVAL,LINEAR_REPAIR,fixed,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11412106314261312,0.06555508655040619
DEV_EVAL,LINEAR_REPAIR,fixed,12,AVAILABLE,terminal_H,raw,3850,0.11554739129171883,0.07469219585242319
DEV_EVAL,LINEAR_REPAIR,fixed,12,AVAILABLE,path_1_to_H,raw,46200,0.11424104415940162,0.0675191969765671
DEV_EVAL,LINEAR_REPAIR,fixed,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11554718169882297,0.07469024959944948
DEV_EVAL,LINEAR_REPAIR,fixed,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11423903933064335,0.06750815015300611
DEV_EVAL,RIDGE_FULL,fixed,3,AVAILABLE,terminal_H,raw,3850,0.10887039335131089,0.06275004621150433
DEV_EVAL,RIDGE_FULL,fixed,3,AVAILABLE,path_1_to_H,raw,11550,0.10844216983936744,0.058215197733632706
DEV_EVAL,RIDGE_FULL,fixed,3,AVAILABLE,terminal_H,clip_0_1,3850,0.10886780811190436,0.06273469880252884
DEV_EVAL,RIDGE_FULL,fixed,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.10843753341885691,0.05819006858839025
DEV_EVAL,RIDGE_FULL,fixed,6,AVAILABLE,terminal_H,raw,3850,0.11250546994246287,0.0665814280472109
DEV_EVAL,RIDGE_FULL,fixed,6,AVAILABLE,path_1_to_H,raw,23100,0.11573379773837021,0.0641401073633475
DEV_EVAL,RIDGE_FULL,fixed,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11250526267504261,0.06657595630038025
DEV_EVAL,RIDGE_FULL,fixed,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11573146002772243,0.06412423873220525
DEV_EVAL,RIDGE_FULL,fixed,9,AVAILABLE,terminal_H,raw,3850,0.10869267033876627,0.07002267576815444
DEV_EVAL,RIDGE_FULL,fixed,9,AVAILABLE,path_1_to_H,raw,34650,0.11380050957884068,0.0655027878658581
DEV_EVAL,RIDGE_FULL,fixed,9,AVAILABLE,terminal_H,clip_0_1,3850,0.10869232862842484,0.07001665524068995
DEV_EVAL,RIDGE_FULL,fixed,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11379886871626999,0.06549087750715707
DEV_EVAL,RIDGE_FULL,fixed,12,AVAILABLE,terminal_H,raw,3850,0.11451864758001216,0.07462423058099567
DEV_EVAL,RIDGE_FULL,fixed,12,AVAILABLE,path_1_to_H,raw,46200,0.1137195144299465,0.06743035463423697
DEV_EVAL,RIDGE_FULL,fixed,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11451219890044605,0.0746072320687806
DEV_EVAL,RIDGE_FULL,fixed,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11371613644994719,0.06741728765730044
DEV_EVAL,FIXED_PRODUCT,20260915,3,AVAILABLE,terminal_H,raw,3850,0.11202593478935673,0.06635098218818355
DEV_EVAL,FIXED_PRODUCT,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.11115895993501644,0.061429323630509285
DEV_EVAL,FIXED_PRODUCT,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.11193721220836493,0.06626437872203289
DEV_EVAL,FIXED_PRODUCT,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.11100047266899647,0.06129290324888852
DEV_EVAL,FIXED_PRODUCT,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11832239024603168,0.07179438920709147
DEV_EVAL,FIXED_PRODUCT,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.11941300669970534,0.06787270885251499
DEV_EVAL,FIXED_PRODUCT,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11809926782868196,0.07164128922176523
DEV_EVAL,FIXED_PRODUCT,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.1192545010396265,0.06773247726512066
DEV_EVAL,FIXED_PRODUCT,20260915,9,AVAILABLE,terminal_H,raw,3850,0.11545495622976432,0.0739173666766487
DEV_EVAL,FIXED_PRODUCT,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.1189086339555135,0.06983198557646512
DEV_EVAL,FIXED_PRODUCT,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11526274145493706,0.07379881086842596
DEV_EVAL,FIXED_PRODUCT,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11871242645187022,0.06968782728995056
DEV_EVAL,FIXED_PRODUCT,20260915,12,AVAILABLE,terminal_H,raw,3850,0.1208036352874483,0.078182914424956
DEV_EVAL,FIXED_PRODUCT,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.11906003485459701,0.07153678074881577
DEV_EVAL,FIXED_PRODUCT,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.12079119458054889,0.07814976452410761
DEV_EVAL,FIXED_PRODUCT,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.11890429912618003,0.07141822234996577
DEV_EVAL,FIXED_PRODUCT,20260916,3,AVAILABLE,terminal_H,raw,3850,0.11153711814780627,0.06473433784269526
DEV_EVAL,FIXED_PRODUCT,20260916,3,AVAILABLE,path_1_to_H,raw,11550,0.11040728689619361,0.06018746521998073
DEV_EVAL,FIXED_PRODUCT,20260916,3,AVAILABLE,terminal_H,clip_0_1,3850,0.11133727196690858,0.06465492833838694
DEV_EVAL,FIXED_PRODUCT,20260916,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.11023029635139953,0.06009919725318785
DEV_EVAL,FIXED_PRODUCT,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11756102183167923,0.07080416764246349
DEV_EVAL,FIXED_PRODUCT,20260916,6,AVAILABLE,path_1_to_H,raw,23100,0.11844573105241359,0.06646677012303033
DEV_EVAL,FIXED_PRODUCT,20260916,6,AVAILABLE,terminal_H,clip_0_1,3850,0.11728512908611233,0.07065990915592513
DEV_EVAL,FIXED_PRODUCT,20260916,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.11825899968794341,0.06635074974187521
DEV_EVAL,FIXED_PRODUCT,20260916,9,AVAILABLE,terminal_H,raw,3850,0.11254057239440482,0.07298348953248705
DEV_EVAL,FIXED_PRODUCT,20260916,9,AVAILABLE,path_1_to_H,raw,34650,0.1173350541743416,0.0684685555090201
DEV_EVAL,FIXED_PRODUCT,20260916,9,AVAILABLE,terminal_H,clip_0_1,3850,0.11247908867863221,0.07290260068882039
DEV_EVAL,FIXED_PRODUCT,20260916,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.11714661151666503,0.06835394007124779
DEV_EVAL,FIXED_PRODUCT,20260916,12,AVAILABLE,terminal_H,raw,3850,0.1180953911960052,0.07714017984533517
DEV_EVAL,FIXED_PRODUCT,20260916,12,AVAILABLE,path_1_to_H,raw,46200,0.11707882997025591,0.07020552201924293
DEV_EVAL,FIXED_PRODUCT,20260916,12,AVAILABLE,terminal_H,clip_0_1,3850,0.11803722022188608,0.07708805284720097
