stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
DEV_DIAGNOSTIC,B3,fixed,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,B3,fixed,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,B3,fixed,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,B3,fixed,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,P_FWD_X,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,P_FWD_X,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,P_FWD_X,20260915,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,P_FWD_X,20260915,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,P_FWD_X,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,P_FWD_X,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,P_FWD_X,20260916,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,P_FWD_X,20260916,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,P_FWD_X,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,P_FWD_X,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,P_FWD_X,20260917,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,P_FWD_X,20260917,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,P_FWD_BC,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,P_FWD_BC,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,P_FWD_BC,20260915,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,P_FWD_BC,20260915,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,P_FWD_BC,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,P_FWD_BC,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,P_FWD_BC,20260916,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,P_FWD_BC,20260916,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,P_FWD_BC,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,P_FWD_BC,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,P_FWD_BC,20260917,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,P_FWD_BC,20260917,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,C_FWD_BC,20260915,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,C_FWD_BC,20260915,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,C_FWD_BC,20260915,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,C_FWD_BC,20260915,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,C_FWD_BC,20260916,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,C_FWD_BC,20260916,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,C_FWD_BC,20260916,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,C_FWD_BC,20260916,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
DEV_DIAGNOSTIC,C_FWD_BC,20260917,3,AVAILABLE,terminal_H,raw,3850,0.10968053715260535,0.06415063750914847
DEV_DIAGNOSTIC,C_FWD_BC,20260917,6,AVAILABLE,terminal_H,raw,3850,0.11338767223999659,0.06772430947919097
DEV_DIAGNOSTIC,C_FWD_BC,20260917,9,AVAILABLE,terminal_H,raw,3850,0.10888873688591114,0.07030768758852725
DEV_DIAGNOSTIC,C_FWD_BC,20260917,12,AVAILABLE,terminal_H,raw,3850,0.11504781393904617,0.07517643691446048
