model,seed,epoch,lr,training_mse,optimizer_steps,selection_rmse,log_scope
P_IS_X,20260915,0,0.0,0.9999999998683387,0,0.0814268562489681,epoch0 fixed parameters
P_IS_X,20260915,1,0.001,0.9939253339211824,37,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,2,0.0009985407886603944,0.9817309143745617,74,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,3,0.0009941726181870608,0.9706564224614543,111,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,4,0.0009869238178417234,0.960958277707361,148,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,5,0.0009768413988762155,0.9527257774675709,185,0.08175583098940384,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,6,0.000963990749646471,0.9454454035777333,222,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,7,0.0009484552115439444,0.9392847454805341,259,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,8,0.0009303355384947077,0.9343956874008855,296,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,9,0.0009097492435315756,0.9296502973086148,333,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,10,0.0008868298366769955,0.9258702842087158,370,0.0816878372544933,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,11,0.0008617259590793198,0.921716803886494,407,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,12,0.0008346004190179199,0.9186291029919098,444,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,13,0.0008056291360290202,0.9152936362753197,481,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,14,0.0007750000000000001,0.9129707149275379,518,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,15,0.0007429116526313744,0.9109042381485882,555,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,16,0.0007095721991691411,0.9084210336509709,592,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,17,0.0006751978587624037,0.9061808161860871,629,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,18,0.00064001156219922,0.9043260026089853,666,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,19,0.0006042415061148954,0.9025558980421746,703,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,20,0.0005681196730492369,0.9006936214574114,740,0.08171714862640467,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,21,0.0005318803269507632,0.8994567427259184,777,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,22,0.0004957584938851046,0.898025894543044,814,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,23,0.00045998843780078015,0.8963584531688739,851,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,24,0.0004248021412375964,0.895602391865831,888,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,25,0.00039042780083085903,0.8943803760383908,925,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,26,0.00035708834736862554,0.8932368472898583,962,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,27,0.0003249999999999999,0.8923247061816767,999,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,28,0.00029437086397097995,0.8916986137427977,1036,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,29,0.0002653995809820803,0.8909231940102941,1073,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,30,0.00023827404092068027,0.8903233296695954,1110,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,31,0.0002131701633230046,0.8897279967108943,1147,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,32,0.00019025075646842457,0.8894716926022588,1184,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,33,0.00016966446150529243,0.8888246522503803,1221,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,34,0.00015154478845605558,0.8883869301899582,1258,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,35,0.00013600925035352912,0.8880456952611226,1295,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,36,0.00012315860112378454,0.8877608553951716,1332,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,37,0.0001130761821582766,0.8873879622063924,1369,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,38,0.00010582738181293922,0.8871856548313957,1406,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,39,0.00010145921133960553,0.8870438818518049,1443,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260915,40,0.0001,0.8867700509831032,1480,0.08161217922037628,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,0,0.0,0.9999999998683387,0,0.0814268562489681,epoch0 fixed parameters
P_IS_X,20260916,1,0.001,0.9936613738770343,37,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,2,0.0009985407886603944,0.9821403513604545,74,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,3,0.0009941726181870608,0.9727990790705136,111,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,4,0.0009869238178417234,0.9642854580591017,148,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,5,0.0009768413988762155,0.9561827999508083,185,0.08169551640858516,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,6,0.000963990749646471,0.9498754553944146,222,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,7,0.0009484552115439444,0.94400481211247,259,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,8,0.0009303355384947077,0.9385658250923994,296,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,9,0.0009097492435315756,0.9342165822350518,333,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,10,0.0008868298366769955,0.9298337317475038,370,0.08165981349038723,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,11,0.0008617259590793198,0.9259073502099755,407,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,12,0.0008346004190179199,0.9222885315689273,444,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,13,0.0008056291360290202,0.9191392375719162,481,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,14,0.0007750000000000001,0.9158799252525239,518,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,15,0.0007429116526313744,0.913453395427341,555,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,16,0.0007095721991691411,0.9113776227008072,592,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,17,0.0006751978587624037,0.9087517602448086,629,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,18,0.00064001156219922,0.9071532074059551,666,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,19,0.0006042415061148954,0.9050348368817471,703,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,20,0.0005681196730492369,0.9034287990969708,740,0.08167612047546563,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,21,0.0005318803269507632,0.901741820525708,777,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,22,0.0004957584938851046,0.9006568950886665,814,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,23,0.00045998843780078015,0.8992671831792151,851,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,24,0.0004248021412375964,0.898095813204291,888,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,25,0.00039042780083085903,0.8971075348548307,925,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,26,0.00035708834736862554,0.8964038965922793,962,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,27,0.0003249999999999999,0.8950715804990165,999,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,28,0.00029437086397097995,0.8943413499889313,1036,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,29,0.0002653995809820803,0.893805160627041,1073,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,30,0.00023827404092068027,0.893083363360902,1110,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,31,0.0002131701633230046,0.8924390057800564,1147,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,32,0.00019025075646842457,0.8919608051334217,1184,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,33,0.00016966446150529243,0.8916147494399925,1221,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,34,0.00015154478845605558,0.8911549084230063,1258,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,35,0.00013600925035352912,0.8909523929947688,1295,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,36,0.00012315860112378454,0.8905421061470303,1332,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,37,0.0001130761821582766,0.8902854611968227,1369,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,38,0.00010582738181293922,0.8900321657330711,1406,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,39,0.00010145921133960553,0.8898239153672478,1443,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260916,40,0.0001,0.8895408703265788,1480,0.08160198752124642,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,0,0.0,0.9999999998683387,0,0.0814268562489681,epoch0 fixed parameters
P_IS_X,20260917,1,0.001,0.9938340528450798,37,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,2,0.0009985407886603944,0.9822236137886693,74,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,3,0.0009941726181870608,0.9732198379100836,111,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,4,0.0009869238178417234,0.9644165839127873,148,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,5,0.0009768413988762155,0.9566374178829253,185,0.08160781766896837,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,6,0.000963990749646471,0.9498365929600543,222,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,7,0.0009484552115439444,0.943574070977582,259,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,8,0.0009303355384947077,0.9383757897699057,296,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,9,0.0009097492435315756,0.93365822731301,333,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,10,0.0008868298366769955,0.929331485185315,370,0.08135885118378944,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,11,0.0008617259590793198,0.9258249355029086,407,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,12,0.0008346004190179199,0.9225265855025191,444,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,13,0.0008056291360290202,0.9207638689039861,481,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,14,0.0007750000000000001,0.9160975084296028,518,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,15,0.0007429116526313744,0.913865372689549,555,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,16,0.0007095721991691411,0.9117555804881702,592,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,17,0.0006751978587624037,0.9095855298613895,629,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,18,0.00064001156219922,0.907727274117948,666,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,19,0.0006042415061148954,0.9060201617798453,703,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,20,0.0005681196730492369,0.9044841121198264,740,0.08118362891472533,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,21,0.0005318803269507632,0.9030581956510066,777,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,22,0.0004957584938851046,0.9019627362169375,814,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,23,0.00045998843780078015,0.9008097854791006,851,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,24,0.0004248021412375964,0.8994148834290945,888,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,25,0.00039042780083085903,0.8985408459934341,925,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,26,0.00035708834736862554,0.8976009824558177,962,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,27,0.0003249999999999999,0.8968144503726285,999,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,28,0.00029437086397097995,0.8959398249842984,1036,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,29,0.0002653995809820803,0.8952076430083639,1073,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,30,0.00023827404092068027,0.8946909189811009,1110,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,31,0.0002131701633230046,0.8942194428464665,1147,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,32,0.00019025075646842457,0.8938770587752058,1184,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,33,0.00016966446150529243,0.8933055053710458,1221,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,34,0.00015154478845605558,0.8929605611524609,1258,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,35,0.00013600925035352912,0.8924917668097186,1295,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,36,0.00012315860112378454,0.892301725116224,1332,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,37,0.0001130761821582766,0.8920241941580237,1369,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,38,0.00010582738181293922,0.8917938476779963,1406,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,39,0.00010145921133960553,0.8915153181578832,1443,,during-traversal weighted batch means; not frozen FIT objective
P_IS_X,20260917,40,0.0001,0.8913579304677726,1480,0.08116707383675799,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,0,0.0,1.0902779505680837,0,0.0814268562489681,epoch0 fixed parameters
P_FWD_X,20260915,1,0.001,1.0662987397756087,37,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,2,0.0009985407886603944,1.032206858051855,74,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,3,0.0009941726181870608,1.017071844965454,111,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,4,0.0009869238178417234,1.005925794117578,148,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,5,0.0009768413988762155,0.9959292000668862,185,0.08318863994277888,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,6,0.000963990749646471,0.9873149602927696,222,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,7,0.0009484552115439444,0.9800264528970033,259,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,8,0.0009303355384947077,0.9739602827351237,296,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,9,0.0009097492435315756,0.9692923895541935,333,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,10,0.0008868298366769955,0.9649561707526021,370,0.08347019519316423,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,11,0.0008617259590793198,0.9607511527706346,407,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,12,0.0008346004190179199,0.9568105449505673,444,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,13,0.0008056291360290202,0.9527736916750416,481,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,14,0.0007750000000000001,0.9502535260515997,518,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,15,0.0007429116526313744,0.9476919763004004,555,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,16,0.0007095721991691411,0.9452113435397331,592,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,17,0.0006751978587624037,0.9426659957607767,629,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,18,0.00064001156219922,0.9407028797573727,666,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,19,0.0006042415061148954,0.9392729962285232,703,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,20,0.0005681196730492369,0.9369040523612397,740,0.0836510284891385,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,21,0.0005318803269507632,0.9356938592197707,777,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,22,0.0004957584938851046,0.9342519972233762,814,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,23,0.00045998843780078015,0.9325919931928417,851,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,24,0.0004248021412375964,0.9312837817208682,888,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,25,0.00039042780083085903,0.9300416079202969,925,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,26,0.00035708834736862554,0.9289296555870366,962,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,27,0.0003249999999999999,0.9279339005610621,999,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,28,0.00029437086397097995,0.9270911033473261,1036,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,29,0.0002653995809820803,0.9264112678596806,1073,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,30,0.00023827404092068027,0.9256268339573828,1110,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,31,0.0002131701633230046,0.9248848779074176,1147,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,32,0.00019025075646842457,0.9246114143801558,1184,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,33,0.00016966446150529243,0.9240168706288634,1221,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,34,0.00015154478845605558,0.923506814736967,1258,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,35,0.00013600925035352912,0.9230993008593629,1295,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,36,0.00012315860112378454,0.922733572813887,1332,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,37,0.0001130761821582766,0.9223733287657523,1369,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,38,0.00010582738181293922,0.9221718988210217,1406,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,39,0.00010145921133960553,0.9219379124991881,1443,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260915,40,0.0001,0.921678413890543,1480,0.08349510013445163,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,0,0.0,1.0902779505680837,0,0.0814268562489681,epoch0 fixed parameters
P_FWD_X,20260916,1,0.001,1.063856070281552,37,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,2,0.0009985407886603944,1.0301729552238486,74,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,3,0.0009941726181870608,1.0175987577773649,111,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,4,0.0009869238178417234,1.0083697580983846,148,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,5,0.0009768413988762155,1.000253241330001,185,0.08328280942903277,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,6,0.000963990749646471,0.9933721586098408,222,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,7,0.0009484552115439444,0.9865526514470069,259,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,8,0.0009303355384947077,0.9809086752349001,296,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,9,0.0009097492435315756,0.975707544759552,333,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,10,0.0008868298366769955,0.9709741560258838,370,0.08316366608359191,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,11,0.0008617259590793198,0.9662830911899319,407,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,12,0.0008346004190179199,0.9629003420100427,444,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,13,0.0008056291360290202,0.9590102389081128,481,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,14,0.0007750000000000001,0.9552813903726207,518,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,15,0.0007429116526313744,0.9528890158913352,555,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,16,0.0007095721991691411,0.9503805320434149,592,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,17,0.0006751978587624037,0.9476290355953323,629,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,18,0.00064001156219922,0.9454040352770896,666,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,19,0.0006042415061148954,0.942871902752178,703,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,20,0.0005681196730492369,0.9410216402312968,740,0.08325717275510125,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,21,0.0005318803269507632,0.9393402455456987,777,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,22,0.0004957584938851046,0.9376504209523382,814,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,23,0.00045998843780078015,0.9362390917859923,851,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,24,0.0004248021412375964,0.935011952501754,888,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,25,0.00039042780083085903,0.9336929520362389,925,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,26,0.00035708834736862554,0.9327265436094888,962,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,27,0.0003249999999999999,0.9314052175513549,999,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,28,0.00029437086397097995,0.930386871789421,1036,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,29,0.0002653995809820803,0.9297707615185279,1073,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,30,0.00023827404092068027,0.9289843403041692,1110,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,31,0.0002131701633230046,0.928371447828693,1147,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,32,0.00019025075646842457,0.927596413378298,1184,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,33,0.00016966446150529243,0.9272039119677988,1221,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,34,0.00015154478845605558,0.9266532686402126,1258,,during-traversal weighted batch means; not frozen FIT objective
P_FWD_X,20260916,35,0.00013600925035352912,0.9263042903201935,1295,,during-traversal weighted batch means; not frozen FIT objective
