method,method_label,batch_origins,process_repeats,samples,model_only_median_ms,model_only_mean_ms,model_only_p90_ms,model_only_p95_ms,end_to_end_median_ms,end_to_end_mean_ms,end_to_end_p90_ms,end_to_end_p95_ms,forecast_origins_per_second_p50,zone_horizon_predictions_per_second_p50,peak_gpu_memory_bytes,peak_cpu_rss_bytes,artifact_bytes,parameter_count,tree_count,leaf_count,measurement_source
dlinear,DLinear,1,5,5000,1.0209439992904663,1.1125812599897384,1.5099039912223817,1.6092560231685642,1.1657,1.25751196,1.6454000000000004,1.7627100000000004,857.8536501672814,943639.0151840097,34363904,685064192,13984,1352.0,,,measured
dlinear,DLinear,8,5,5000,1.0907679796218872,1.1607453062176705,1.3285855770111084,1.5517791867256165,2.11815,2.22533004,2.5522,2.873970000000001,3776.8807685952365,4154568.84545476,41217024,684306432,13984,1352.0,,,measured
dlinear,DLinear,32,5,5000,1.3067359924316406,1.5103889285326004,2.051065516471864,2.6789088964462286,5.38205,5.6654750400000005,7.0540400000000005,7.72778,5945.689839373474,6540258.82331082,63311360,685912064,13984,1352.0,,,measured
nlinear,NLinear,1,5,5000,0.5137280225753784,0.5513085571229458,0.6329056084156037,0.8530576139688492,0.674,0.7155903399999999,0.8081200000000001,1.0561350000000003,1483.6795252225518,1632047.477744807,34122752,663441408,8872,676.0,,,measured
nlinear,NLinear,8,5,5000,0.5189759731292725,0.5558341955959797,0.6601728022098542,0.7634623795747758,1.554,1.6185455,1.8665,2.1006650000000002,5148.005148005148,5662805.6628056625,39512064,676421632,8872,676.0,,,measured
nlinear,NLinear,32,5,5000,0.5078559815883636,0.6073650369167328,0.8569023787975313,1.0619440317153936,3.89595,4.1405185,4.90841,5.372805000000001,8213.657772815359,9035023.550096896,57356288,677126144,8872,676.0,,,measured
gbdt_forecaster,GBDT-Forecaster,1,5,5000,5.06175,5.2164281,5.476100000000001,5.7584,6.24245,6.457547399999999,6.79231,7.194650000000002,160.19351376462768,176212.86514109044,0,524804096,2113221,,667.0,20677.0,measured
gbdt_forecaster,GBDT-Forecaster,8,5,5000,37.154849999999996,38.73250478,42.53621,46.520685,40.1884,41.862406220000004,46.30139,50.260605,199.06241602054322,218968.65762259756,0,526307328,2113221,,667.0,20677.0,measured
gbdt_forecaster,GBDT-Forecaster,32,5,5000,144.7663,148.94269276,159.88127,172.40817000000004,157.08705,161.3439628,173.47225,186.20495000000003,203.708708006166,224079.5788067826,0,530735104,2113221,,667.0,20677.0,measured
caper,CAPER,1,5,5000,6.504447937011719,6.801279155254364,7.993177461624146,8.788601684570315,7.934,8.32774316,9.735000000000001,10.79837,126.03982858583312,138643.81144441644,35445760,1069539328,236680,47992.0,,,measured
caper,CAPER,8,5,5000,6.418735980987549,6.6737976722717285,7.704896020889284,8.685326528549195,10.74015,11.174205559999999,12.60922,14.252630000000002,744.8685539773653,819355.4093751018,39538688,1062789120,236680,47992.0,,,measured
caper,CAPER,32,5,5000,5.8367838859558105,6.313243644046784,7.801014518737794,8.51248140335083,19.75265,20.5214685,22.857580000000006,24.266185,1620.0357926657944,1782039.3719323736,54236672,1064804352,236680,47992.0,,,measured
timexer,TimeXer,1,5,5000,13.575488090515137,13.979844209289551,15.047731494903564,15.551225423812868,14.0672,14.387319219999998,15.4555,15.951965000000001,71.08735213830755,78196.0873521383,79566336,907821056,19769480,2358788.0,,,measured
timexer,TimeXer,8,5,5000,104.04681777954102,104.67785717468261,110.04795608520507,111.7884506225586,105.78,106.42802708,111.84208,113.815865,75.62866326337682,83191.5295897145,264739840,905424896,19769480,2358788.0,,,measured
timexer,TimeXer,32,5,5000,477.8860321044922,474.453344152832,508.6181915283204,515.0173767089843,482.1646,478.7944303400001,512.65071,519.8265,66.3673774474526,73004.11519219785,896551424,906608640,19769480,2358788.0,,,measured
global_fixed,Global Fixed CAPER+TimeXer,1,5,5000,19.464560508728027,21.047616928100584,25.822672653198246,31.2012565612793,20.93975,22.609454380000003,27.69584,33.122595,47.756062035124586,52531.668238637045,80197120,1253978112,20006160,2406781.0,,,measured
global_fixed,Global Fixed CAPER+TimeXer,8,5,5000,120.00965118408203,119.54409330291747,129.09502410888672,131.13408508300782,125.34965,125.01467884,134.83764000000002,136.94703,63.82147856017149,70203.62641618864,267985920,1250152448,20006160,2406781.0,,,measured
global_fixed,Global Fixed CAPER+TimeXer,32,5,5000,464.46507263183594,466.66862103881834,486.72910766601564,495.2636932373047,479.6344,481.95807324000003,502.22281,510.573795,66.71748314966565,73389.23146463222,909047296,1252397056,20006160,2406781.0,,,measured
