stage,model,horizon,target_scope,postprocess,scored_values,rmse,mae
SELECT,S,3,terminal_H,raw,3850,0.08936128832291461,0.05418692831162205
SELECT,S,3,path_1_to_H,raw,11550,0.08450319898457595,0.047059592461709564
SELECT,S,6,terminal_H,raw,3850,0.09613017966331702,0.06491831362004902
SELECT,S,6,path_1_to_H,raw,23100,0.08851888613819653,0.05396148700216234
SELECT,S,9,terminal_H,raw,3850,0.12056846683957681,0.08772841601847034
SELECT,S,9,path_1_to_H,raw,34650,0.09804563342948812,0.06267154975143108
SELECT,S,12,terminal_H,raw,3850,0.14915955816054113,0.10736459924865897
SELECT,S,12,path_1_to_H,raw,46200,0.11120408084084503,0.07281864415084142
SELECT,S,3,terminal_H,clip_0_1,3850,0.08936084070802403,0.05418668897716583
SELECT,S,3,path_1_to_H,clip_0_1,11550,0.08450304120206617,0.04705951268355749
SELECT,S,6,terminal_H,clip_0_1,3850,0.09613017966331702,0.06491831362004902
SELECT,S,6,path_1_to_H,clip_0_1,23100,0.08851881082590654,0.05396144711308631
SELECT,S,9,terminal_H,clip_0_1,3850,0.12056846683957681,0.08772841601847034
SELECT,S,9,path_1_to_H,clip_0_1,34650,0.0980455880998561,0.06267152315871372
SELECT,S,12,terminal_H,clip_0_1,3850,0.14915955816054113,0.10736459924865897
SELECT,S,12,path_1_to_H,clip_0_1,46200,0.11120405086641408,0.07281862420630342
SELECT,O_LONG,3,terminal_H,raw,3850,0.07251943610443075,0.04225480202931839
SELECT,O_LONG,3,path_1_to_H,raw,11550,0.06694192409593938,0.03785823194301682
SELECT,O_LONG,6,terminal_H,raw,3850,0.077677696626898,0.04847212000878245
SELECT,O_LONG,6,path_1_to_H,raw,23100,0.07149893939557968,0.04222271080841054
SELECT,O_LONG,9,terminal_H,raw,3850,0.08558795477437404,0.05783223434432039
SELECT,O_LONG,9,path_1_to_H,raw,34650,0.07579546525436151,0.046155371729357415
SELECT,O_LONG,12,terminal_H,raw,3850,0.09302160576715106,0.06122360275563009
SELECT,O_LONG,12,path_1_to_H,raw,46200,0.07986868606884516,0.049766133294389475
SELECT,O_LONG,3,terminal_H,clip_0_1,3850,0.0725047210429239,0.04223354904744325
SELECT,O_LONG,3,path_1_to_H,clip_0_1,11550,0.06692969237366841,0.03782510292610136
SELECT,O_LONG,6,terminal_H,clip_0_1,3850,0.0776764524423089,0.04846673626277428
SELECT,O_LONG,6,path_1_to_H,clip_0_1,23100,0.07148912100174606,0.04220157811677286
SELECT,O_LONG,9,terminal_H,clip_0_1,3850,0.08558239674008923,0.057821032788654005
SELECT,O_LONG,9,path_1_to_H,clip_0_1,34650,0.07578834143675804,0.04613809702933097
SELECT,O_LONG,12,terminal_H,clip_0_1,3850,0.09301004624033381,0.06120020794910869
SELECT,O_LONG,12,path_1_to_H,clip_0_1,46200,0.07986076377508051,0.04974895553887849
SELECT,D_LONG,3,terminal_H,raw,3850,0.07454469843054037,0.042674094097324915
SELECT,D_LONG,3,path_1_to_H,raw,11550,0.0684019501323896,0.0373308792910707
SELECT,D_LONG,6,terminal_H,raw,3850,0.07825246195401425,0.0483147872055953
SELECT,D_LONG,6,path_1_to_H,raw,23100,0.07273060143733064,0.04189475270290718
SELECT,D_LONG,9,terminal_H,raw,3850,0.08821877565292859,0.05872666455078339
SELECT,D_LONG,9,path_1_to_H,raw,34650,0.07734040868541384,0.046093594047814636
SELECT,D_LONG,12,terminal_H,raw,3850,0.09710395789709171,0.06323235967481906
SELECT,D_LONG,12,path_1_to_H,raw,46200,0.08193673157755396,0.0500946364677722
