stage,candidate,reference,horizon,target_scope,postprocess,origin,mse_gain,mae_gain
SELECT,O_LONG,S,3,terminal_H,raw,1056,0.003894585721340611,0.022672959643203223
SELECT,O_LONG,S,3,terminal_H,raw,1068,-0.0007796075293480379,-0.001585043404418105
SELECT,O_LONG,S,3,terminal_H,raw,1080,0.0045000249409811064,0.0232369344006825
SELECT,O_LONG,S,3,terminal_H,raw,1092,-8.46059563122905e-05,-0.0014148906448889697
SELECT,O_LONG,S,3,terminal_H,raw,1104,0.0023563260217764584,0.01512070683698802
SELECT,O_LONG,S,3,terminal_H,raw,1116,0.00084652174332802,0.0018199506991013826
SELECT,O_LONG,S,3,terminal_H,raw,1128,0.004879673147345906,0.01933320140545885
SELECT,O_LONG,S,3,terminal_H,raw,1140,0.001949586875433372,0.0031884410621927407
SELECT,O_LONG,S,3,terminal_H,raw,1152,0.002389237818903679,0.020129495380503383
SELECT,O_LONG,S,3,terminal_H,raw,1164,0.0008754737846209086,0.0025187001146417865
SELECT,O_LONG,S,3,terminal_H,raw,1176,0.007433800476914478,0.0275821555928514
SELECT,O_LONG,S,3,terminal_H,raw,1188,0.0014425204530909242,0.004757074991695543
SELECT,O_LONG,S,3,terminal_H,raw,1200,0.00586904567514951,0.0160935441089171
SELECT,O_LONG,S,3,terminal_H,raw,1212,0.0025966141563458028,0.013596537765322485
SELECT,O_LONG,S,3,path_1_to_H,raw,1056,0.0035329317437942796,0.01645974452830324
SELECT,O_LONG,S,3,path_1_to_H,raw,1068,-0.0003260451556769934,-0.0016351515254951238
SELECT,O_LONG,S,3,path_1_to_H,raw,1080,0.004212270689170209,0.017162868007827764
SELECT,O_LONG,S,3,path_1_to_H,raw,1092,0.00015216501899668859,-0.0009721948099176543
SELECT,O_LONG,S,3,path_1_to_H,raw,1104,0.002792359332168494,0.012619664560615576
SELECT,O_LONG,S,3,path_1_to_H,raw,1116,0.0010769378008661664,0.002689596592352858
SELECT,O_LONG,S,3,path_1_to_H,raw,1128,0.00462258208761205,0.01543314360383976
SELECT,O_LONG,S,3,path_1_to_H,raw,1140,0.0015014711266383763,0.002223891331552175
SELECT,O_LONG,S,3,path_1_to_H,raw,1152,0.0030411380129364294,0.014640081477976345
SELECT,O_LONG,S,3,path_1_to_H,raw,1164,0.0016000190025656407,0.0029201700421498692
SELECT,O_LONG,S,3,path_1_to_H,raw,1176,0.006621674480851155,0.02065620451523313
SELECT,O_LONG,S,3,path_1_to_H,raw,1188,0.0021496753629496276,0.004954941431794732
SELECT,O_LONG,S,3,path_1_to_H,raw,1200,0.003947261733696288,0.012340975716275382
SELECT,O_LONG,S,3,path_1_to_H,raw,1212,0.0023095308808761886,0.009325111789190488
