dataset,series,K,L,scope,origin_start,N,phase,model_A,model_B,ambiguous_labels,geometry_status,independent_lower,implication_lower,DP_lower,cover_LP_lower,cover_LP_lower_rounds,cover_LP_lower_max_violation,cover_LP_lower_primal_dual_gap_per_N,cover_LP_lower_fractionality,cover_ILP_lower,cover_ILP_lower_rounds,cover_ILP_lower_max_violation,cover_ILP_lower_primal_dual_gap_per_N,cover_ILP_lower_fractionality,independent_upper,implication_upper,DP_upper,cover_LP_upper,cover_LP_upper_rounds,cover_LP_upper_max_violation,cover_LP_upper_primal_dual_gap_per_N,cover_LP_upper_fractionality,cover_ILP_upper,cover_ILP_upper_rounds,cover_ILP_upper_max_violation,cover_ILP_upper_primal_dual_gap_per_N,cover_ILP_upper_fractionality,independent_direction,implication_direction,cover_LP_direction,cover_ILP_direction,DP_direction,cover_LP_width_gap,cover_LP_endpoint_gap,implication_width_gap,cover_ILP_DP_max_error
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,constant,logistic,453,PAIRWISE_INSUFFICIENT,0.04715416572346647,0.0472954342420514,0.04729543424207101,0.04729543424207142,1.0,0.0,-4.0662855428642565e-19,0.0,0.04729543424207142,1.0,0.0,0.0,0.0,0.07560844088043228,0.0755933081421289,0.0755933081421085,0.07559330814210892,1.0,0.0,-3.253028434291405e-18,0.0,0.07559330814210892,1.0,0.0,0.0,0.0,B,B,B,B,B,6.938893903907228e-18,4.163336342344337e-16,4.0016601143832986e-14,4.163336342344337e-16
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,constant,hist_gradient_boosting,453,PAIRWISE_INSUFFICIENT,0.05515674234630766,0.0552413477853017,0.055241347785321276,0.055241347785321734,1.0,0.0,4.0662855428642565e-19,0.0,0.055241347785321734,1.0,0.0,0.0,0.0,0.07523485862129362,0.0752348586213136,0.0752348586212946,0.07523485862129368,1.0,0.0,-6.50605686858281e-17,0.0,0.07523485862129362,1.0,0.0,6.18075402515367e-17,0.0,B,B,B,B,B,-1.3739009929736312e-15,-4.579669976578771e-16,3.857331121182028e-14,9.853229343548264e-16
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,logistic,hist_gradient_boosting,453,PAIRWISE_INSUFFICIENT,-0.0021613643485019368,-0.0019020409130778,-0.001902040913057862,-0.0019020409130578212,1.0,0.0,9.759085302874216e-18,0.0,-0.0019020409130578295,1.0,0.0,0.0,0.0,0.00979035871220446,0.0095915344928555,0.009591534492835571,0.00959153449283551,1.0,0.0,2.2872856178611444e-19,0.0,0.00959153449283551,1.0,0.0,0.0,0.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,-1.0234868508263162e-16,-4.0766001685454967e-17,3.9865680201423004e-14,6.071532165918825e-17
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.09106445898932632,0.0910644589893063,0.09106445898932632,0.09106445898932632,,,,,0.09106445898932632,,,,,0.09106445898932632,0.0910644589893462,0.09106445898932632,0.09106445898932632,,,,,0.09106445898932632,,,,,B,B,B,B,B,0.0,0.0,3.9898639947466563e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.055185351949696995,0.055185351949677,0.055185351949696995,0.055185351949696995,,,,,0.055185351949696995,,,,,0.055185351949696995,0.0551853519497169,0.055185351949696995,0.055185351949696995,,,,,0.055185351949696995,,,,,B,B,B,B,B,0.0,0.0,3.990557884137047e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,-0.03587910703962932,-0.0358791070396493,-0.03587910703962932,-0.03587910703962932,,,,,-0.03587910703962932,,,,,-0.03587910703962932,-0.0358791070396093,-0.03587910703962932,-0.03587910703962932,,,,,-0.03587910703962932,,,,,A,A,A,A,A,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.1333065795753812,0.1333065795753611,0.1333065795753812,0.1333065795753812,,,,,0.1333065795753812,,,,,0.1333065795753812,0.1333065795754012,0.1333065795753812,0.1333065795753812,,,,,0.1333065795753812,,,,,B,B,B,B,B,0.0,0.0,4.010680676458378e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,0.13710444424612836,0.1371044442461083,0.13710444424612836,0.13710444424612836,,,,,0.13710444424612836,,,,,0.13710444424612836,0.1371044442461483,0.13710444424612836,0.13710444424612836,,,,,0.13710444424612836,,,,,B,B,B,B,B,0.0,0.0,3.9995784462121264e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,0.003797864670747201,0.0037978646707272,0.003797864670747201,0.003797864670747201,,,,,0.003797864670747201,,,,,0.003797864670747201,0.0037978646707672,0.003797864670747201,0.003797864670747201,,,,,0.003797864670747201,,,,,B,B,B,B,B,0.0,0.0,3.999968758994221e-14,0.0
beijing,Aotizhongxin,24,3,origin_week,9096,168,AP1,constant,logistic,0,PAIRWISE_EXACT,0.1070517135917936,0.1070517135917736,0.1070517135917936,0.1070517135917936,,,,,0.1070517135917936,,,,,0.1070517135917936,0.1070517135918135,0.1070517135917936,0.1070517135917936,,,,,0.1070517135917936,,,,,B,B,B,B,B,0.0,0.0,3.9898639947466563e-14,0.0
