dataset,series,K,L,scope,origin_start,N,phase,ambiguous_labels,geometry_status,unary_constraints,irreducible_two_covers,generated_constraints,seconds
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,453,PAIRWISE_INSUFFICIENT,1233,86126,1233,0.2626204999996844
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006966000000829808
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007033000001683831
beijing,Aotizhongxin,24,3,origin_week,9096,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00038049999966460746
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005808999994769692
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005625000012514647
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000575399999434012
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00058309999985795
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005768999999418156
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,48,PAIRWISE_INSUFFICIENT,3,7545,3,0.04133029999866267
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004231000002619112
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000659700001051533
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006264000003284309
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00039759999890520703
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00035820000084640924
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004372000003058929
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006095000007917406
beijing,Aotizhongxin,24,3,origin_week,11448,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006224999997357372
beijing,Aotizhongxin,24,3,origin_week,11616,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004521000009845011
beijing,Aotizhongxin,24,3,origin_week,11784,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00034889999915321823
beijing,Aotizhongxin,24,3,origin_week,11952,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00045339999996940605
beijing,Aotizhongxin,24,3,origin_week,12120,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006565000003320165
beijing,Aotizhongxin,24,3,origin_week,12288,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005973000006633811
beijing,Aotizhongxin,24,3,origin_week,12456,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00045399999908113386
beijing,Aotizhongxin,24,3,origin_week,12624,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00033880000046337955
beijing,Aotizhongxin,24,3,origin_week,12792,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007089999999152496
beijing,Aotizhongxin,24,3,origin_week,12960,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005522999999811873
beijing,Aotizhongxin,24,3,origin_week,13128,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005329999985406175
beijing,Aotizhongxin,24,3,origin_week,13296,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005672999996022554
beijing,Aotizhongxin,24,3,origin_week,13464,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005200000014156103
beijing,Aotizhongxin,24,3,origin_week,13632,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005153999991307501
beijing,Aotizhongxin,24,3,origin_week,13800,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00034890000097220764
beijing,Aotizhongxin,24,3,origin_week,13968,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006071000007068506
beijing,Aotizhongxin,24,3,origin_week,14136,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005603999998129439
beijing,Aotizhongxin,24,3,origin_week,14304,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000509299999976065
beijing,Aotizhongxin,24,3,origin_week,14472,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005311999993864447
beijing,Aotizhongxin,24,3,origin_week,14640,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005130999998073094
beijing,Aotizhongxin,24,3,origin_week,14808,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005707000000256812
beijing,Aotizhongxin,24,3,origin_week,14976,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00037309999970602803
beijing,Aotizhongxin,24,3,origin_week,15144,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00046240000119723845
beijing,Aotizhongxin,24,3,origin_week,15312,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003899000003002584
beijing,Aotizhongxin,24,3,origin_week,15480,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005977000000711996
beijing,Aotizhongxin,24,3,origin_week,15648,168,AP1,103,PAIRWISE_INSUFFICIENT,537,15651,537,0.07474759999968228
beijing,Aotizhongxin,24,3,origin_week,15816,168,AP1,168,PAIRWISE_INSUFFICIENT,0,35266,0,0.06042600000000675
beijing,Aotizhongxin,24,3,origin_week,15984,168,AP1,111,PAIRWISE_INSUFFICIENT,231,20559,231,0.05281660000036936
beijing,Aotizhongxin,24,3,origin_week,16152,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007713000013609417
beijing,Aotizhongxin,24,3,origin_week,16320,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005450999997265171
beijing,Aotizhongxin,24,3,origin_week,16488,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005049999999755528
beijing,Aotizhongxin,24,3,origin_week,16656,168,AP1,23,PAIRWISE_INSUFFICIENT,462,21,462,0.03983200000038778
beijing,Aotizhongxin,24,3,origin_week,16824,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00042070000017702114
beijing,Aotizhongxin,24,3,origin_week,16992,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005330000003596069
beijing,Aotizhongxin,24,3,origin_week,17160,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005717999993066769
beijing,Aotizhongxin,24,3,origin_week,17328,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004427999992913101
beijing,Aotizhongxin,24,3,origin_week,17496,1,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004996999996365048
beijing,Aotizhongxin,72,3,annual,8760,8689,AP1,353,PAIRWISE_INSUFFICIENT,1120,722223,1564,0.4549693000008119
beijing,Aotizhongxin,72,3,origin_week,8760,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0008288999997603241
beijing,Aotizhongxin,72,3,origin_week,8928,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00044239999988349155
beijing,Aotizhongxin,72,3,origin_week,9096,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003350000006321352
beijing,Aotizhongxin,72,3,origin_week,9264,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0002996000002895016
beijing,Aotizhongxin,72,3,origin_week,9432,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006391999995685183
beijing,Aotizhongxin,72,3,origin_week,9600,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005728999985876726
beijing,Aotizhongxin,72,3,origin_week,9768,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005466999991767807
beijing,Aotizhongxin,72,3,origin_week,9936,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00037909999991825316
beijing,Aotizhongxin,72,3,origin_week,10104,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003127999989374075
beijing,Aotizhongxin,72,3,origin_week,10272,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000490100001115934
beijing,Aotizhongxin,72,3,origin_week,10440,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005147000010765623
beijing,Aotizhongxin,72,3,origin_week,10608,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00046859999929438345
beijing,Aotizhongxin,72,3,origin_week,10776,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003186000012647128
beijing,Aotizhongxin,72,3,origin_week,10944,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00032470000041939784
beijing,Aotizhongxin,72,3,origin_week,11112,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005657999990944518
beijing,Aotizhongxin,72,3,origin_week,11280,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003827999989880482
beijing,Aotizhongxin,72,3,origin_week,11448,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004031999997096136
beijing,Aotizhongxin,72,3,origin_week,11616,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003194999990228098
beijing,Aotizhongxin,72,3,origin_week,11784,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00039629999992030207
beijing,Aotizhongxin,72,3,origin_week,11952,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000347400000464404
beijing,Aotizhongxin,72,3,origin_week,12120,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005304000005708076
beijing,Aotizhongxin,72,3,origin_week,12288,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00032309999915014487
beijing,Aotizhongxin,72,3,origin_week,12456,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000305800000205636
beijing,Aotizhongxin,72,3,origin_week,12624,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00031680000029155053
beijing,Aotizhongxin,72,3,origin_week,12792,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005619000003207475
beijing,Aotizhongxin,72,3,origin_week,12960,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00033960000109800603
beijing,Aotizhongxin,72,3,origin_week,13128,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003118999993603211
beijing,Aotizhongxin,72,3,origin_week,13296,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003028999999514781
beijing,Aotizhongxin,72,3,origin_week,13464,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003950000009353971
beijing,Aotizhongxin,72,3,origin_week,13632,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00041289999899163377
beijing,Aotizhongxin,72,3,origin_week,13800,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00038810000114608556
beijing,Aotizhongxin,72,3,origin_week,13968,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00046549999933631625
beijing,Aotizhongxin,72,3,origin_week,14136,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00032310000096913427
beijing,Aotizhongxin,72,3,origin_week,14304,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000307400001474889
beijing,Aotizhongxin,72,3,origin_week,14472,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006396999997377861
beijing,Aotizhongxin,72,3,origin_week,14640,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004228999987390125
beijing,Aotizhongxin,72,3,origin_week,14808,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00032129999999597203
beijing,Aotizhongxin,72,3,origin_week,14976,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.00030810000134806614
beijing,Aotizhongxin,72,3,origin_week,15144,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0002989000004163245
beijing,Aotizhongxin,72,3,origin_week,15312,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0002858000007108785
beijing,Aotizhongxin,72,3,origin_week,15480,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000668799999402836
beijing,Aotizhongxin,72,3,origin_week,15648,168,AP1,115,PAIRWISE_INSUFFICIENT,714,151107,784,0.13719599999967613
beijing,Aotizhongxin,72,3,origin_week,15816,168,AP1,168,PAIRWISE_INSUFFICIENT,0,291410,374,0.1348137000004499
beijing,Aotizhongxin,72,3,origin_week,15984,168,AP1,70,PAIRWISE_INSUFFICIENT,406,51086,406,0.0484000999986165
beijing,Aotizhongxin,72,3,origin_week,16152,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007523999993281905
beijing,Aotizhongxin,72,3,origin_week,16320,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007195000016508857
beijing,Aotizhongxin,72,3,origin_week,16488,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005771999985881848
beijing,Aotizhongxin,72,3,origin_week,16656,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006344000012177275
beijing,Aotizhongxin,72,3,origin_week,16824,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.000553399999262183
beijing,Aotizhongxin,72,3,origin_week,16992,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005624999994324753
beijing,Aotizhongxin,72,3,origin_week,17160,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005553000009967946
beijing,Aotizhongxin,72,3,origin_week,17328,121,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005950000013399404
beijing,Changping,24,3,annual,8760,8737,AP1,187,PAIRWISE_INSUFFICIENT,488,23481,492,0.13255519999984244
beijing,Changping,24,3,origin_week,8760,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0008055999987846008
beijing,Changping,24,3,origin_week,8928,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006990999991103308
beijing,Changping,24,3,origin_week,9096,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003457000002526911
beijing,Changping,24,3,origin_week,9264,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007733999991614837
beijing,Changping,24,3,origin_week,9432,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005187999995541759
beijing,Changping,24,3,origin_week,9600,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006233000003703637
beijing,Changping,24,3,origin_week,9768,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003285000002506422
beijing,Changping,24,3,origin_week,9936,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004891999997198582
beijing,Changping,24,3,origin_week,10104,168,AP1,45,PAIRWISE_INSUFFICIENT,0,6853,0,0.03139080000073591
beijing,Changping,24,3,origin_week,10272,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007030999986454844
beijing,Changping,24,3,origin_week,10440,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003512999992381083
beijing,Changping,24,3,origin_week,10608,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003307999995740829
beijing,Changping,24,3,origin_week,10776,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0004318999999668449
beijing,Changping,24,3,origin_week,10944,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005292000005283626
beijing,Changping,24,3,origin_week,11112,168,AP1,3,PAIRWISE_EXACT,3,0,3,0.02135959999941406
beijing,Changping,24,3,origin_week,11280,168,AP1,20,PAIRWISE_EXACT,122,0,122,0.028165699999590288
beijing,Changping,24,3,origin_week,11448,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005713999998988584
beijing,Changping,24,3,origin_week,11616,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0007595000006404007
beijing,Changping,24,3,origin_week,11784,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0006009000007907161
beijing,Changping,24,3,origin_week,11952,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005824999989272328
beijing,Changping,24,3,origin_week,12120,168,AP1,30,PAIRWISE_INSUFFICIENT,231,1848,234,0.041101100001469604
beijing,Changping,24,3,origin_week,12288,168,AP1,64,PAIRWISE_INSUFFICIENT,6,11238,6,0.03650039999956789
beijing,Changping,24,3,origin_week,12456,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003954999992856756
beijing,Changping,24,3,origin_week,12624,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0003573000012693228
beijing,Changping,24,3,origin_week,12792,168,AP1,0,PAIRWISE_EXACT,0,0,0,0.0005309999996825354
