dataset,series,K,L,scope,origin_start,N,phase,ambiguous_labels,previous_status,geometry_status,essential_cover_count
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,453,HIGHER_STRUCTURE,PAIRWISE_INSUFFICIENT,447
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,9096,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,48,UNRESOLVED_BUDGET,PAIRWISE_INSUFFICIENT,46
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,11448,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,11616,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,11784,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,11952,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,12120,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,12288,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,12456,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,12624,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,12792,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
beijing,Aotizhongxin,24,3,origin_week,12960,168,AP1,0,STRUCTURALLY_EXACT,PAIRWISE_EXACT,0
