dataset,series,K,L,scope,origin_start,N,phase,model_A,model_B,ambiguous_labels,geometry_status,pairwise_direction,joint_direction,higher_order_new,objective_tighter
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,constant,logistic,453,PAIRWISE_INSUFFICIENT,B,B,False,False
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,constant,hist_gradient_boosting,453,PAIRWISE_INSUFFICIENT,B,B,False,False
beijing,Aotizhongxin,24,3,annual,8760,8737,AP1,logistic,hist_gradient_boosting,453,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,8760,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,8928,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9096,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9096,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9096,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9264,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9432,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9600,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9768,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,9936,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,constant,logistic,48,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,constant,hist_gradient_boosting,48,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,10104,168,AP1,logistic,hist_gradient_boosting,48,PAIRWISE_INSUFFICIENT,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,False,False
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,constant,logistic,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,10272,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10440,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10608,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10776,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,10944,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11112,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,constant,logistic,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,11280,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11448,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11448,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11448,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,11616,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11616,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11616,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,11784,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11784,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11784,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11952,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11952,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,11952,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12120,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12120,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12120,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12288,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12288,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12288,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12456,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12456,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12456,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12624,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12624,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12624,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12792,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12792,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12792,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12960,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12960,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,12960,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13128,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13128,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13128,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13296,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13296,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13296,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13464,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13464,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13464,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13632,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13632,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13632,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,13800,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13800,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,13800,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,13968,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13968,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,13968,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,A,A,False,False
beijing,Aotizhongxin,24,3,origin_week,14136,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14136,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14136,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14304,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14304,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14304,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14472,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14472,168,AP1,constant,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14472,168,AP1,logistic,hist_gradient_boosting,0,PAIRWISE_EXACT,B,B,False,False
beijing,Aotizhongxin,24,3,origin_week,14640,168,AP1,constant,logistic,0,PAIRWISE_EXACT,B,B,False,False
