stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
SELECT,BASE_OD,fixed,3,AVAILABLE,terminal_H,raw,3850,0.0715574909183269,0.041504047151979244
SELECT,BASE_OD,fixed,3,AVAILABLE,path_1_to_H,raw,11550,0.06533001779708271,0.036699402746601786
SELECT,BASE_OD,fixed,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07155532535344221,0.041488150614960834
SELECT,BASE_OD,fixed,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06530269670120245,0.036659928979940214
SELECT,BASE_OD,fixed,6,AVAILABLE,terminal_H,raw,3850,0.07640047146889449,0.04762812144991269
SELECT,BASE_OD,fixed,6,AVAILABLE,path_1_to_H,raw,23100,0.06998650595652077,0.041143550736475555
SELECT,BASE_OD,fixed,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07639800240261255,0.04762124960119467
SELECT,BASE_OD,fixed,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06997297823626444,0.04111893887692641
SELECT,BASE_OD,fixed,9,AVAILABLE,terminal_H,raw,3850,0.08468624593246257,0.05697164942179302
SELECT,BASE_OD,fixed,9,AVAILABLE,path_1_to_H,raw,34650,0.0743449749734721,0.04506060979594299
SELECT,BASE_OD,fixed,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08468509333991608,0.0569635524336505
SELECT,BASE_OD,fixed,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.0743359271806204,0.04504229630533494
SELECT,BASE_OD,fixed,12,AVAILABLE,terminal_H,raw,3850,0.09306321667618843,0.060727166549893394
SELECT,BASE_OD,fixed,12,AVAILABLE,path_1_to_H,raw,46200,0.07876578519461831,0.04879192592169455
SELECT,BASE_OD,fixed,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09305738102667872,0.060710732536325016
SELECT,BASE_OD,fixed,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07875791627267542,0.048775701404106815
