epoch,stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
0,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,raw,3850,0.0715574909183269,0.041504047151979244
0,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.06533001779708271,0.036699402746601786
0,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07155532535344221,0.041488150614960834
0,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06530269670120245,0.036659928979940214
0,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,raw,3850,0.07640047146889449,0.04762812144991269
0,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.06998650595652077,0.041143550736475555
0,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07639800240261255,0.04762124960119467
0,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06997297823626444,0.04111893887692641
0,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,raw,3850,0.08468624593246257,0.05697164942179302
0,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.0743449749734721,0.04506060979594299
0,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08468509333991608,0.0569635524336505
0,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.0743359271806204,0.04504229630533494
0,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,raw,3850,0.09306321667618843,0.060727166549893394
0,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.07876578519461831,0.04879192592169455
0,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09305738102667872,0.060710732536325016
0,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07875791627267542,0.048775701404106815
5,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,raw,3850,0.07172821899749397,0.04181146223188448
5,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.06576052956903954,0.037424928871749745
5,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07172072789906458,0.041796438361550566
5,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06573511824917745,0.037394358188184484
5,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,raw,3850,0.07626786725141912,0.04736524372758499
5,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.07012550322930448,0.041424695430160995
5,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.0762587675868547,0.04733958908105557
5,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.07010655566588912,0.041398908235762547
5,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,raw,3850,0.08382062506640765,0.0566587460105316
5,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.07435589199216903,0.04523001313428794
5,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08381905887512983,0.05664688698599976
5,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07434047452665986,0.04520356205647279
5,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,raw,3850,0.09206052126980128,0.060293485347158456
5,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.07854163483262921,0.04882869452390381
5,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09204841440462833,0.06027667826463592
5,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.0785288587246494,0.0488059979201941
10,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,raw,3850,0.07148102530966463,0.04191406234826324
10,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.0652873500954652,0.03703464742123759
10,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07146971232775305,0.04189155912553329
10,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06525585543484902,0.03698972051614044
10,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,raw,3850,0.0753800339537548,0.046686780282481626
10,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.06951684417014384,0.04102314491158376
10,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.075365131627899,0.04664394131907754
10,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06949277414660032,0.04098211640269012
10,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,raw,3850,0.08354554926221675,0.05636350631875882
10,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.07369920244323412,0.04474677285370311
10,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08354229739559382,0.05634327753139665
10,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07368001117228619,0.044707586369575156
10,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,raw,3850,0.09165632440890278,0.059954439030671394
10,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.07793579949435105,0.04842055220556194
10,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09164885746144882,0.05994086232927693
10,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07792028938327167,0.04838816736434923
20,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,raw,3850,0.07087466788289888,0.04128627444843409
20,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.06488187259880421,0.03666601032349462
20,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07084448262592438,0.041238190836585024
20,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06483142738721676,0.036597454297010536
20,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,raw,3850,0.0752335363496166,0.04667187518871413
20,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.06928725461711202,0.040786054052055994
20,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.07521719022531331,0.04663532924854383
20,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,clip_0_1,23100,0.06925532381039703,0.040732954589916735
20,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,raw,3850,0.0836047813924219,0.0564984950273772
20,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,raw,34650,0.07355257337537306,0.04464930172393905
20,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,terminal_H,clip_0_1,3850,0.08360335325452307,0.05648576734084439
20,SELECT,PRODUCT_MSE,20260915,9,AVAILABLE,path_1_to_H,clip_0_1,34650,0.07353064328548277,0.044606418075421914
20,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,raw,3850,0.09184948844709467,0.060165300543151515
20,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,raw,46200,0.0778343578824711,0.048347370325251396
20,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,terminal_H,clip_0_1,3850,0.09184618997033864,0.060148751693258326
20,SELECT,PRODUCT_MSE,20260915,12,AVAILABLE,path_1_to_H,clip_0_1,46200,0.07781817409107439,0.04831311649169054
40,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,raw,3850,0.07078593771161869,0.04135530414568814
40,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,raw,11550,0.06480616799621045,0.03677679534225288
40,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,terminal_H,clip_0_1,3850,0.07075783849392067,0.04130736849482052
40,SELECT,PRODUCT_MSE,20260915,3,AVAILABLE,path_1_to_H,clip_0_1,11550,0.06475661526993134,0.03670920566982032
40,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,raw,3850,0.07502081367028786,0.0464723411589543
40,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,path_1_to_H,raw,23100,0.06916129737223795,0.04082803051653732
40,SELECT,PRODUCT_MSE,20260915,6,AVAILABLE,terminal_H,clip_0_1,3850,0.0749965494611293,0.04642148974206036
