phase,dataset,series,K,scope,model_A,model_B,panel_start,independent_width,width_reduction,active_ambiguous_windows,components,mixed_sign_components,independent_bounds_provably_exact
initial,beijing,Aotizhongxin,24,full_station,constant,logistic,6570,0.0054071104650337,3.747440631557408e-06,23,1,1,False
initial,beijing,Aotizhongxin,24,full_station,constant,hist_gradient_boosting,6570,0.0050830493213124,0.0015576619050541,23,1,1,False
initial,beijing,Aotizhongxin,24,full_station,logistic,hist_gradient_boosting,6570,0.0023849026152862,0.0004124847251466,23,1,1,False
initial,beijing,Aotizhongxin,24,fixed_panel,constant,logistic,6570,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,logistic,hist_gradient_boosting,6570,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,logistic,6738,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,logistic,hist_gradient_boosting,6738,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,logistic,6906,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,logistic,hist_gradient_boosting,6906,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,logistic,7074,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,logistic,hist_gradient_boosting,7074,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,logistic,7242,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,logistic,hist_gradient_boosting,7242,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,logistic,7410,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,logistic,hist_gradient_boosting,7410,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,logistic,7578,0.0,0.0,0,0,0,True
initial,beijing,Aotizhongxin,24,fixed_panel,constant,hist_gradient_boosting,7578,0.0,0.0,0,0,0,True
