dataset,K,model_A,model_B,series_count,windows,independent_lower,independent_upper,joint_lower,joint_upper,independent_winner,joint_winner
beijing,24,constant,logistic,12,26004,0.05842688878368667,0.06569726411773295,0.058512077664271016,0.0655894672538011,B,B
beijing,24,constant,hist_gradient_boosting,12,26004,0.033850086583321164,0.040891039702670835,0.034376866613849304,0.04031277497517181,B,B
beijing,24,logistic,hist_gradient_boosting,12,26004,-0.026243706814720727,-0.0231393198007069,-0.025974884963675178,-0.02341122892767102,A,A
beijing,72,constant,logistic,12,25428,0.003536563975674957,0.0037937648156838354,0.003536911346081052,0.003785022550425752,B,B
beijing,72,constant,hist_gradient_boosting,12,25428,-0.017456947936004014,-0.01673728109574408,-0.017431173506892998,-0.01676516049384187,A,A
beijing,72,logistic,hist_gradient_boosting,12,25428,-0.021064601078802026,-0.020459956744304855,-0.020974375901129272,-0.02055018192197757,A,A
household,60,constant,logistic,1,43141,0.08078465231102797,0.08078465231102797,0.08078465231102801,0.08078465231102801,B,B
household,60,constant,hist_gradient_boosting,1,43141,0.08538947850298421,0.08538947850298421,0.08538947850298578,0.08538947850298578,B,B
household,60,logistic,hist_gradient_boosting,1,43141,0.004604826191956277,0.004604826191956277,0.004604826191956262,0.004604826191956262,B,B
household,180,constant,logistic,1,43021,0.09003075631504019,0.09003075631504019,0.09003075631503965,0.09003075631503965,B,B
household,180,constant,hist_gradient_boosting,1,43021,0.12404127289222996,0.12404127289222996,0.1240412728922317,0.1240412728922317,B,B
household,180,logistic,hist_gradient_boosting,1,43021,0.03401051657718976,0.03401051657718976,0.03401051657718989,0.03401051657718989,B,B
