dataset,series,scope,mask,K,L,panel_start,model_A,model_B,windows,missing_snapshots,ambiguous_windows,independent_lower,independent_upper,joint_lower,joint_upper,reachable_states,seconds,truth_delta,truth_covered,independent_width,joint_width,width_reduction,relative_width_reduction,independent_winner,joint_winner,new_strict_decision
household,household,full_station,natural,60,5,172800,constant,logistic,86341,3763,3858,0.02145468378513133,0.04492539760792111,0.02149218377738418,0.044887897615668144,271,0.05094699999608565,,,0.023470713822789778,0.023395713838283965,7.499998450581288e-05,0.003195470963179177,B,B,False
household,household,full_station,natural,60,5,172800,constant,hist_gradient_boosting,86341,3763,3858,0.011975871531007962,0.03207447127839952,0.011996143713579113,0.032040215996422546,271,0.026445100011187606,,,0.020098599747391557,0.020044072282843432,5.452746454812432e-05,0.0027129981806419635,B,B,False
household,household,full_station,natural,60,5,172800,logistic,hist_gradient_boosting,86341,3763,3858,-0.013021218031490827,-0.009308520552154123,-0.012991147141432683,-0.00933859144221231,271,0.02677189999667462,,,0.003712697479336703,0.0036525556992203726,6.0141780116330576e-05,0.016198944420075745,A,A,False
household,household,fixed_panel,natural,60,5,172800,constant,logistic,10021,0,0,0.03146480945507203,0.03146480945507203,0.03146480945507204,0.03146480945507204,271,0.0024588999949628487,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,172800,constant,hist_gradient_boosting,10021,0,0,0.01920328051406735,0.01920328051406735,0.01920328051406732,0.01920328051406732,271,0.002418000003672205,,,0.0,0.0,0.0,0.0,B,B,False
household,household,fixed_panel,natural,60,5,172800,logistic,hist_gradient_boosting,10021,0,0,-0.012261528941004672,-0.012261528941004672,-0.012261528941004655,-0.012261528941004655,271,0.0023707000073045492,,,0.0,0.0,0.0,0.0,A,A,False
household,household,fixed_panel,natural,60,5,182880,constant,logistic,10021,2463,2459,-0.07251968690589106,0.05651523316756101,-0.07251968690588699,0.05651523316756103,271,0.003946300013922155,,,0.12903492007345208,0.12903492007344802,4.052314039881821e-15,3.1404785910473495e-14,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,60,5,182880,constant,hist_gradient_boosting,10021,2463,2459,-0.05401107753323756,0.05000413062813829,-0.05401107753323872,0.04988365215435264,271,0.003882700009853579,,,0.10401520816137586,0.10389472968759136,0.00012047847378449106,0.0011582774857074078,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,60,5,182880,logistic,hist_gradient_boosting,10021,2463,2459,-0.007445676673686561,0.019443183506917316,-0.007445676673686646,0.019443183506916307,271,0.004164199999650009,,,0.02688886018060388,0.026888860180602953,9.26342336171615e-16,3.4450784821285454e-14,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,60,5,192960,constant,logistic,10021,1260,1256,-0.025026011266557898,0.04138821393401645,-0.025026011266555844,0.04138821393401647,271,0.003196000005118549,,,0.06641422520057434,0.06641422520057232,2.0261570199409107e-15,3.0507877097441296e-14,UNRESOLVED,UNRESOLVED,False
household,household,fixed_panel,natural,60,5,192960,constant,hist_gradient_boosting,10021,1260,1256,-0.03838247578665837,0.026937831469022913,-0.038382475786657745,0.026937831469023038,271,0.0030724999960511923,,,0.06532030725568128,0.06532030725568078,4.996003610813204e-16,7.648469244422719e-15,UNRESOLVED,UNRESOLVED,False
