dataset,series,K,model,identified_windows,brier_on_identified,mean_prediction
beijing,Aotizhongxin,24,constant,2144,0.18333696410900072,0.6944044747988569
beijing,Aotizhongxin,24,logistic,2144,0.12990351662030777,0.7409229444207591
beijing,Aotizhongxin,24,hist_gradient_boosting,2144,0.15305806512146608,0.6851336680259348
beijing,Changping,24,constant,2144,0.20455461667566707,0.6944044747988569
beijing,Changping,24,logistic,2144,0.14503132157642074,0.6710697599441254
beijing,Changping,24,hist_gradient_boosting,2144,0.15975122798559108,0.6618677752550002
beijing,Dingling,24,constant,2138,0.249239546353758,0.6944044747988569
beijing,Dingling,24,logistic,2138,0.15245037753114812,0.6252737791132852
beijing,Dingling,24,hist_gradient_boosting,2138,0.1706777763147786,0.6384965671172161
beijing,Dongsi,24,constant,2144,0.17535767596427151,0.6944044747988569
beijing,Dongsi,24,logistic,2144,0.11139972743820398,0.7576574482535747
beijing,Dongsi,24,hist_gradient_boosting,2144,0.14515218241618216,0.6854048730438467
beijing,Guanyuan,24,constant,2140,0.17987136334469694,0.6944044747988569
beijing,Guanyuan,24,logistic,2140,0.11885733156854632,0.7344448720002762
beijing,Guanyuan,24,hist_gradient_boosting,2140,0.15103048565497154,0.6874068110449219
beijing,Gucheng,24,constant,2146,0.16767178873920785,0.6944044747988569
beijing,Gucheng,24,logistic,2146,0.12169456655036831,0.7397038717582166
beijing,Gucheng,24,hist_gradient_boosting,2146,0.1446475319357366,0.7123826618469978
beijing,Huairou,24,constant,2096,0.21730292766192855,0.6944044747988569
beijing,Huairou,24,logistic,2096,0.14610701213933983,0.688627871189178
beijing,Huairou,24,hist_gradient_boosting,2096,0.15141294279867631,0.7044028426534212
beijing,Nongzhanguan,24,constant,2144,0.17009859968706362,0.6944044747988569
beijing,Nongzhanguan,24,logistic,2144,0.11172631208397586,0.7604959505166076
beijing,Nongzhanguan,24,hist_gradient_boosting,2144,0.14298066739691892,0.694853718158089
beijing,Shunyi,24,constant,2143,0.19208767709069757,0.6944044747988569
beijing,Shunyi,24,logistic,2143,0.13633008478441982,0.7126988407302154
beijing,Shunyi,24,hist_gradient_boosting,2143,0.15696971399494394,0.6772231109063639
beijing,Tiantan,24,constant,2131,0.17275600797697724,0.6944044747988569
beijing,Tiantan,24,logistic,2131,0.11055566170428052,0.7436602938314816
beijing,Tiantan,24,hist_gradient_boosting,2131,0.14836812298682675,0.6801885423835151
beijing,Wanliu,24,constant,2147,0.15985014551777427,0.6944044747988569
beijing,Wanliu,24,logistic,2147,0.09894853504617054,0.7887895058427917
beijing,Wanliu,24,hist_gradient_boosting,2147,0.12225379286367244,0.7179449476017563
beijing,Wanshouxigong,24,constant,2140,0.16497307649095275,0.6944044747988569
beijing,Wanshouxigong,24,logistic,2140,0.10020430550936775,0.7857935950097144
