independent_undominated,independent_best,pairwise_undominated,pairwise_best,joint_undominated,joint_best,phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,N,pairwise_set_changed,joint_set_changed,higher_order_set_changed
constant,constant,constant,constant,constant,constant,AP0,beijing,Aotizhongxin,fixed_panel,natural,6570,2013-11-29 18:00:00,2013Q4,beijing_2013-11-29T18:00:00,24,3,145,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP0,beijing,Aotizhongxin,fixed_panel,natural,6738,2013-12-06 18:00:00,2013Q4,beijing_2013-12-06T18:00:00,24,3,145,False,False,False
constant,constant,constant,constant,constant,constant,AP0,beijing,Aotizhongxin,fixed_panel,natural,6906,2013-12-13 18:00:00,2013Q4,beijing_2013-12-13T18:00:00,24,3,145,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP0,beijing,Aotizhongxin,fixed_panel,natural,7074,2013-12-20 18:00:00,2013Q4,beijing_2013-12-20T18:00:00,24,3,145,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP0,beijing,Aotizhongxin,fixed_panel,natural,7242,2013-12-27 18:00:00,2013Q4,beijing_2013-12-27T18:00:00,24,3,145,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP0,beijing,Aotizhongxin,fixed_panel,natural,7410,2014-01-03 18:00:00,2014Q1,beijing_2014-01-03T18:00:00,24,3,145,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP0,beijing,Aotizhongxin,fixed_panel,natural,7578,2014-01-10 18:00:00,2014Q1,beijing_2014-01-10T18:00:00,24,3,145,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP0,beijing,Aotizhongxin,fixed_panel,natural,7746,2014-01-17 18:00:00,2014Q1,beijing_2014-01-17T18:00:00,24,3,145,False,False,False
hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,AP0,beijing,Aotizhongxin,fixed_panel,natural,7914,2014-01-24 18:00:00,2014Q1,beijing_2014-01-24T18:00:00,24,3,145,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP0,beijing,Aotizhongxin,fixed_panel,natural,8082,2014-01-31 18:00:00,2014Q1,beijing_2014-01-31T18:00:00,24,3,145,False,False,False
hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP0,beijing,Aotizhongxin,fixed_panel,natural,8250,2014-02-07 18:00:00,2014Q1,beijing_2014-02-07T18:00:00,24,3,145,False,False,False
constant,constant,constant,constant,constant,constant,AP0,beijing,Aotizhongxin,fixed_panel,natural,8418,2014-02-14 18:00:00,2014Q1,beijing_2014-02-14T18:00:00,24,3,145,False,False,False
logistic,logistic,logistic,logistic,logistic,logistic,AP0,beijing,Aotizhongxin,fixed_panel,natural,8586,2014-02-21 18:00:00,2014Q1,beijing_2014-02-21T18:00:00,24,3,145,False,False,False
