phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,model_A,model_B,N,support_records,missing_records,ambiguous_windows,independent_lower,independent_upper,pairwise_lower,pairwise_upper,joint_lower,joint_upper,joint_enclosure_lower,joint_enclosure_upper,numeric_method,Gamma_minus,Gamma_plus,W_ind,ambiguous_weight,lower_zero_margin,upper_zero_margin,mixed_components,implications,lp_variables,lp_constraints,pair_preprocess_seconds,pair_solve_seconds,pair_status,joint_seconds,independent_direction,pairwise_direction,joint_direction,independent_undirected,pairwise_new,joint_new,higher_order_new,category,truth_delta,truth_contained,locf_delta,locf_wrong,identified_delta,identified_wrong
AP0,beijing,Aotizhongxin,fixed_panel,natural,6570,2013-11-29 18:00:00,2013Q4,beijing_2013-11-29T18:00:00,24,3,constant,logistic,145,168,0,0,-0.011872417523227121,-0.011872417523227121,-0.01187241752324712,-0.011872417523207134,-0.01187241752322707,-0.01187241752322707,-0.011872417523545498,-0.011872417522908643,FLOAT_OUTWARD,7.294512216482474e-15,0.0,0.0,0.0,0.011872417523227121,-0.011872417523227121,0,0,0,0,0.6932796000037342,2.710000262595713e-05,ANALYTIC,0.03730310000537429,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6570,2013-11-29 18:00:00,2013Q4,beijing_2013-11-29T18:00:00,24,3,constant,hist_gradient_boosting,145,168,0,0,-0.05332802375857529,-0.05332802375857529,-0.053328023758595286,-0.05332802375855532,-0.05332802375857528,-0.05332802375857528,-0.05332802375889371,-0.053328023758256855,FLOAT_OUTWARD,1.0061396160665481e-15,0.0,0.0,0.0,0.05332802375857529,-0.05332802375857529,0,0,0,0,0.6932796000037342,1.3900003978051245e-05,ANALYTIC,0.00018649999401532114,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6570,2013-11-29 18:00:00,2013Q4,beijing_2013-11-29T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,0,0,-0.04145560623534819,-0.04145560623534819,-0.04145560623536817,-0.04145560623532819,-0.04145560623534817,-0.04145560623534817,-0.041455606235666596,-0.041455606235029745,FLOAT_OUTWARD,3.0184188481996443e-15,0.0,0.0,0.0,0.04145560623534819,-0.04145560623534819,0,0,0,0,0.6932796000037342,1.2600008631125093e-05,ANALYTIC,9.359999967273325e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6738,2013-12-06 18:00:00,2013Q4,beijing_2013-12-06T18:00:00,24,3,constant,logistic,145,168,0,0,0.19333392020832404,0.19333392020832404,0.19333392020830406,0.19333392020834406,0.19333392020832404,0.19333392020832404,0.1933339202080056,0.19333392020864248,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,-0.19333392020832404,0.19333392020832404,0,0,0,0,2.7999994927085936e-05,1.4300007023848593e-05,ANALYTIC,0.00014649999502580613,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6738,2013-12-06 18:00:00,2013Q4,beijing_2013-12-06T18:00:00,24,3,constant,hist_gradient_boosting,145,168,0,0,0.16612846725984975,0.16612846725984975,0.16612846725982974,0.16612846725986974,0.16612846725984967,0.16612846725984967,0.16612846725953123,0.1661284672601681,FLOAT_OUTWARD,0.0,1.2073675392798577e-14,0.0,0.0,-0.16612846725984975,0.16612846725984975,0,0,0,0,2.7999994927085936e-05,1.3500000932253897e-05,ANALYTIC,9.90999978967011e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6738,2013-12-06 18:00:00,2013Q4,beijing_2013-12-06T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,0,0,-0.027205452948474332,-0.027205452948474332,-0.02720545294849433,-0.02720545294845433,-0.02720545294847433,-0.02720545294847433,-0.027205452948792758,-0.0272054529481559,FLOAT_OUTWARD,5.030698080332741e-16,0.0,0.0,0.0,0.027205452948474332,-0.027205452948474332,0,0,0,0,2.7999994927085936e-05,1.2199991033412516e-05,ANALYTIC,8.690000686328858e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6906,2013-12-13 18:00:00,2013Q4,beijing_2013-12-13T18:00:00,24,3,constant,logistic,145,168,1,0,-0.04746187725614914,-0.04746187725614914,-0.04746187725616914,-0.04746187725612915,-0.0474618772561491,-0.0474618772561491,-0.04746187725646753,-0.047461877255830676,FLOAT_OUTWARD,6.036837696399289e-15,0.0,0.0,0.0,0.04746187725614914,-0.04746187725614914,0,0,0,0,2.0400009816512465e-05,1.3500000932253897e-05,ANALYTIC,0.00011520000407472253,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6906,2013-12-13 18:00:00,2013Q4,beijing_2013-12-13T18:00:00,24,3,constant,hist_gradient_boosting,145,168,1,0,-0.143502646210737,-0.143502646210737,-0.143502646210757,-0.14350264621071698,-0.143502646210737,-0.143502646210737,-0.14350264621105543,-0.14350264621041856,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,0.143502646210737,-0.143502646210737,0,0,0,0,2.0400009816512465e-05,1.2100004823878407e-05,ANALYTIC,8.950001210905612e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,6906,2013-12-13 18:00:00,2013Q4,beijing_2013-12-13T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,1,0,-0.09604076895458785,-0.09604076895458785,-0.09604076895460785,-0.09604076895456787,-0.09604076895458785,-0.09604076895458785,-0.09604076895490628,-0.09604076895426943,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,0.09604076895458785,-0.09604076895458785,0,0,0,0,2.0400009816512465e-05,1.170000177808106e-05,ANALYTIC,8.090000483207405e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7074,2013-12-20 18:00:00,2013Q4,beijing_2013-12-20T18:00:00,24,3,constant,logistic,145,168,0,0,0.0957001097767884,0.0957001097767884,0.0957001097767684,0.0957001097768084,0.0957001097767884,0.0957001097767884,0.09570010977646998,0.09570010977710683,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,-0.0957001097767884,0.0957001097767884,0,0,0,0,2.020000829361379e-05,1.4000004739500582e-05,ANALYTIC,0.00011510000331327319,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7074,2013-12-20 18:00:00,2013Q4,beijing_2013-12-20T18:00:00,24,3,constant,hist_gradient_boosting,145,168,0,0,0.049259205079041725,0.049259205079041725,0.04925920507902173,0.049259205079061695,0.049259205079041676,0.049259205079041676,0.04925920507872325,0.0492592050793601,FLOAT_OUTWARD,0.0,7.042977312465837e-15,0.0,0.0,-0.049259205079041725,0.049259205079041725,0,0,0,0,2.020000829361379e-05,1.270000939257443e-05,ANALYTIC,8.779999916441739e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7074,2013-12-20 18:00:00,2013Q4,beijing_2013-12-20T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,0,0,-0.04644090469774669,-0.04644090469774669,-0.04644090469776669,-0.04644090469772671,-0.04644090469774671,-0.04644090469774671,-0.04644090469806514,-0.04644090469742829,FLOAT_OUTWARD,0.0,3.0184188481996443e-15,0.0,0.0,0.04644090469774669,-0.04644090469774669,0,0,0,0,2.020000829361379e-05,1.2199991033412516e-05,ANALYTIC,9.99000039882958e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7242,2013-12-27 18:00:00,2013Q4,beijing_2013-12-27T18:00:00,24,3,constant,logistic,145,168,0,0,0.019546677569132403,0.019546677569132403,0.0195466775691124,0.019546677569152394,0.019546677569132365,0.019546677569132365,0.019546677568813935,0.019546677569450794,FLOAT_OUTWARD,0.0,5.533767888366015e-15,0.0,0.0,-0.019546677569132403,0.019546677569132403,0,0,0,0,1.8999999156221747e-05,1.3800003216601908e-05,ANALYTIC,0.00011269999959040433,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7242,2013-12-27 18:00:00,2013Q4,beijing_2013-12-27T18:00:00,24,3,constant,hist_gradient_boosting,145,168,0,0,0.013770488492950634,0.013770488492950634,0.013770488492930635,0.013770488492970627,0.013770488492950615,0.013770488492950615,0.013770488492632188,0.013770488493269043,FLOAT_OUTWARD,0.0,2.7668839441830073e-15,0.0,0.0,-0.013770488492950634,0.013770488492950634,0,0,0,0,1.8999999156221747e-05,1.270000939257443e-05,ANALYTIC,8.930001058615744e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7242,2013-12-27 18:00:00,2013Q4,beijing_2013-12-27T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,0,0,-0.005776189076181762,-0.005776189076181762,-0.005776189076201755,-0.005776189076161762,-0.00577618907618181,-0.00577618907618181,-0.005776189076500238,-0.0057761890758633826,FLOAT_OUTWARD,0.0,7.042977312465837e-15,0.0,0.0,0.005776189076181762,-0.005776189076181762,0,0,0,0,1.8999999156221747e-05,1.2199991033412516e-05,ANALYTIC,8.33000085549429e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7410,2014-01-03 18:00:00,2014Q1,beijing_2014-01-03T18:00:00,24,3,constant,logistic,145,168,0,0,0.01611525161158153,0.01611525161158153,0.016115251611561538,0.01611525161160153,0.01611525161158148,0.01611525161158148,0.01611525161126305,0.01611525161189991,FLOAT_OUTWARD,0.0,7.042977312465837e-15,0.0,0.0,-0.01611525161158153,0.01611525161158153,0,0,0,0,1.8999999156221747e-05,1.340000017080456e-05,ANALYTIC,0.00012430000060703605,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7410,2014-01-03 18:00:00,2014Q1,beijing_2014-01-03T18:00:00,24,3,constant,hist_gradient_boosting,145,168,0,0,0.01774830268408406,0.01774830268408406,0.017748302684064115,0.017748302684104062,0.017748302684084307,0.017748302684084307,0.017748302683765878,0.017748302684402736,FLOAT_OUTWARD,3.571795637036246e-14,0.0,0.0,0.0,-0.01774830268408406,0.01774830268408406,0,0,0,0,1.8999999156221747e-05,1.2299991794861853e-05,ANALYTIC,8.830000297166407e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7410,2014-01-03 18:00:00,2014Q1,beijing_2014-01-03T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,0,0,0.001633051072502566,0.001633051072502566,0.001633051072482566,0.0016330510725225652,0.001633051072502575,0.001633051072502575,0.001633051072184147,0.001633051072821003,FLOAT_OUTWARD,1.3205582460873444e-15,0.0,0.0,0.0,-0.001633051072502566,0.001633051072502566,0,0,0,0,1.8999999156221747e-05,1.200000406242907e-05,ANALYTIC,9.429999045096338e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7578,2014-01-10 18:00:00,2014Q1,beijing_2014-01-10T18:00:00,24,3,constant,logistic,145,168,0,0,0.0649374856014018,0.0649374856014018,0.06493748560138181,0.0649374856014218,0.06493748560140175,0.06493748560140175,0.06493748560108333,0.06493748560172018,FLOAT_OUTWARD,0.0,8.049116928532385e-15,0.0,0.0,-0.0649374856014018,0.0649374856014018,0,0,0,0,2.300000051036477e-05,1.3800003216601908e-05,ANALYTIC,0.0001238000113517046,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7578,2014-01-10 18:00:00,2014Q1,beijing_2014-01-10T18:00:00,24,3,constant,hist_gradient_boosting,145,168,0,0,0.06694260465743126,0.06694260465743126,0.06694260465741127,0.06694260465745126,0.06694260465743121,0.06694260465743121,0.06694260465711278,0.06694260465774964,FLOAT_OUTWARD,0.0,8.049116928532385e-15,0.0,0.0,-0.06694260465743126,0.06694260465743126,0,0,0,0,2.300000051036477e-05,1.2799995602108538e-05,ANALYTIC,8.859999070409685e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7578,2014-01-10 18:00:00,2014Q1,beijing_2014-01-10T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,0,0,0.002005119056029459,0.002005119056029459,0.002005119056009459,0.002005119056049459,0.002005119056029453,0.002005119056029453,0.002005119055711025,0.002005119056347881,FLOAT_OUTWARD,0.0,8.803721640582296e-16,0.0,0.0,-0.002005119056029459,0.002005119056029459,0,0,0,0,2.300000051036477e-05,1.1899988749064505e-05,ANALYTIC,8.360001083929092e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7746,2014-01-17 18:00:00,2014Q1,beijing_2014-01-17T18:00:00,24,3,constant,logistic,145,168,1,0,0.032210980817277406,0.032210980817277406,0.03221098081725742,0.032210980817297404,0.032210980817277406,0.032210980817277406,0.03221098081695898,0.03221098081759583,FLOAT_OUTWARD,0.0,0.0,0.0,0.0,-0.032210980817277406,0.032210980817277406,0,0,0,0,1.9500002963468432e-05,1.3299999409355223e-05,ANALYTIC,0.00011160000576637685,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7746,2014-01-17 18:00:00,2014Q1,beijing_2014-01-17T18:00:00,24,3,constant,hist_gradient_boosting,145,168,1,0,0.02048805916199056,0.02048805916199056,0.020488059161970565,0.02048805916201056,0.02048805916199053,0.02048805916199053,0.020488059161672102,0.02048805916230896,FLOAT_OUTWARD,0.0,4.0245584642661925e-15,0.0,0.0,-0.02048805916199056,0.02048805916199056,0,0,0,0,1.9500002963468432e-05,1.270000939257443e-05,ANALYTIC,8.980001439340413e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7746,2014-01-17 18:00:00,2014Q1,beijing_2014-01-17T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,1,0,-0.01172292165528686,-0.01172292165528686,-0.011722921655306853,-0.01172292165526686,-0.011722921655286836,-0.011722921655286836,-0.011722921655605264,-0.011722921654968408,FLOAT_OUTWARD,3.5214886562329184e-15,0.0,0.0,0.0,0.01172292165528686,-0.01172292165528686,0,0,0,0,1.9500002963468432e-05,1.2200005585327744e-05,ANALYTIC,8.339999476447701e-05,A,A,A,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7914,2014-01-24 18:00:00,2014Q1,beijing_2014-01-24T18:00:00,24,3,constant,logistic,145,168,5,23,-0.000634779736327668,0.0801735539031767,-0.0006067773092825754,0.08014555147613157,-0.0006067773092625173,0.08014555147611159,-0.0006067773095809452,0.08014555147643002,FLOAT_OUTWARD,0.004060351924446862,0.004060351924440181,0.08080833363950436,0.08080833363950436,0.000634779736327668,0.0801735539031767,1,462,45,226,0.02419089998875279,0.026682700001401827,OPTIMAL_DUAL_OUTWARD,0.00018360000103712082,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,True,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7914,2014-01-24 18:00:00,2014Q1,beijing_2014-01-24T18:00:00,24,3,constant,hist_gradient_boosting,145,168,5,23,0.004225271747324456,0.08019056746652464,0.015159054240984755,0.0678453613515882,0.015159054241004818,0.06784536135156821,0.015159054240686391,0.06784536135188664,FLOAT_OUTWARD,1.5853984615836527,1.7900548866686825,0.07596529571920019,0.07596529571920019,-0.004225271747324456,0.08019056746652464,1,462,45,226,0.02419089998875279,0.004970999987563118,OPTIMAL_DUAL_OUTWARD,0.00020989999757148325,B,B,B,False,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,7914,2014-01-24 18:00:00,2014Q1,beijing_2014-01-24T18:00:00,24,3,logistic,hist_gradient_boosting,145,168,5,23,-0.015382446674173296,0.02025951172117339,-0.012300190124563374,0.01717725517156346,-0.012300190124543366,0.017177255171543462,-0.012300190124861794,0.01717725517186189,FLOAT_OUTWARD,0.44692719969633987,0.4469271996963394,0.03564195839534669,0.03564195839534668,0.015382446674173296,0.02025951172117339,1,462,45,226,0.02419089998875279,0.004355900004156865,OPTIMAL_DUAL_OUTWARD,0.00012229999992996454,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,True,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8082,2014-01-31 18:00:00,2014Q1,beijing_2014-01-31T18:00:00,24,3,constant,logistic,145,168,0,0,0.08330884117074715,0.08330884117074715,0.08330884117072715,0.08330884117076715,0.0833088411707471,0.0833088411707471,0.08330884117042868,0.08330884117106553,FLOAT_OUTWARD,0.0,6.036837696399289e-15,0.0,0.0,-0.08330884117074715,0.08330884117074715,0,0,0,0,2.239999594166875e-05,1.3800003216601908e-05,ANALYTIC,0.00012419999984558672,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
AP0,beijing,Aotizhongxin,fixed_panel,natural,8082,2014-01-31 18:00:00,2014Q1,beijing_2014-01-31T18:00:00,24,3,constant,hist_gradient_boosting,145,168,0,0,0.08754216895285453,0.08754216895285453,0.08754216895283454,0.08754216895287453,0.08754216895285448,0.08754216895285448,0.08754216895253605,0.0875421689531729,FLOAT_OUTWARD,0.0,8.049116928532385e-15,0.0,0.0,-0.08754216895285453,0.08754216895285453,0,0,0,0,2.239999594166875e-05,1.1999989510513842e-05,ANALYTIC,8.81000014487654e-05,B,B,B,False,False,False,False,NO_AMBIGUOUS_LABELS,,,,,,
