phase,dataset,K,scope,mask,panels,pairwise_set_changes,joint_set_changes,higher_order_set_changes,newly_confirmed_best
AP0,beijing,24,fixed_panel,natural,156,3,3,0,3
AP0,beijing,24,full_station,natural,12,0,0,0,0
AP0,beijing,72,fixed_panel,natural,156,0,0,0,0
AP0,beijing,72,full_station,natural,12,0,0,0,0
AP0,household,60,fixed_panel,natural,5,0,0,0,0
AP0,household,60,full_station,natural,1,0,0,0,0
AP0,household,180,fixed_panel,natural,5,0,0,0,0
AP0,household,180,full_station,natural,1,0,0,0,0
AP0_EXTENSION,household,60,fixed_panel,natural,9,0,0,0,0
AP0_EXTENSION,household,60,full_station,natural,1,0,0,0,0
AP0_EXTENSION,household,180,fixed_panel,natural,9,0,0,0,0
AP0_EXTENSION,household,180,full_station,natural,1,0,0,0,0
AP1,beijing,24,annual,natural,12,0,0,0,0
AP1,beijing,24,artificial,blocks_10,12,2,2,0,1
AP1,beijing,24,artificial,iid_10,12,0,0,0,0
AP1,beijing,24,artificial,iid_30,12,2,2,0,1
AP1,beijing,24,origin_week,natural,636,0,0,0,0
AP1,beijing,72,annual,natural,12,1,1,0,0
AP1,beijing,72,artificial,blocks_10,12,0,0,0,0
AP1,beijing,72,artificial,iid_10,12,0,0,0,0
AP1,beijing,72,artificial,iid_30,12,0,0,0,0
AP1,beijing,72,origin_week,natural,624,5,5,0,3
AP1,household,60,annual,natural,1,0,0,0,0
AP1,household,60,artificial,blocks_10,1,0,0,0,0
AP1,household,60,artificial,iid_10,1,0,0,0,0
AP1,household,60,artificial,iid_30,1,0,0,0,0
AP1,household,60,origin_week,natural,53,0,0,0,0
AP1,household,180,annual,natural,1,0,0,0,0
AP1,household,180,artificial,blocks_10,1,0,0,0,0
AP1,household,180,artificial,iid_10,1,0,0,0,0
AP1,household,180,artificial,iid_30,1,0,0,0,0
AP1,household,180,origin_week,natural,53,0,0,0,0
