K,L,construction_seconds,states,determinize_seconds,minimize_seconds,union_product_seconds,method
8,1,0.002563299989560619,9,0.0003552999842213467,0.0019566999981179833,9.290000889450312e-05,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
8,3,0.0010149999870918691,16,0.00021729999571107328,0.0006463000026997179,6.929996015969664e-05,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
8,4,0.0007774999976390973,15,0.00016989999858196825,0.0004940000217175111,5.309998232405633e-05,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
8,5,0.0005634999979520217,12,0.00011779999476857483,0.0003646999830380082,3.709999145939946e-05,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
8,8,9.26000066101551e-05,9,3.8300000596791506e-05,4.999998782295734e-05,0.0,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
16,1,0.0027242999931331724,17,0.0006056000129319727,0.0016997999919112772,0.0001923000527312979,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
16,3,0.004748699997435324,40,0.0010481000354047865,0.0030276999750640243,0.0003443000459810719,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
16,5,0.004829400000744499,51,0.001025900011882186,0.0031267999875126407,0.0003463999892119318,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
16,8,0.003137299994705245,45,0.0006641999643761665,0.002034100005403161,0.00022600000374950469,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
16,16,0.00018509999790694565,17,8.769999840296805e-05,9.089999366551638e-05,0.0,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
24,1,0.005597099996521138,25,0.0012218000192660838,0.0035308999940752983,0.000404699967475608,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
24,3,0.011668899998767301,64,0.0025460999604547396,0.007497400016291067,0.0008251999970525503,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
24,5,0.013873399992007762,91,0.0029712000250583515,0.00898359996790532,0.0010106000263476744,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
24,12,0.007904399986728095,91,0.001661599992075935,0.005160499989870004,0.000587099973927252,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
24,24,0.00029579999682027847,25,0.00015100000018719584,0.0001365999924018979,0.0,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
72,1,0.046968899987405166,73,0.00932229997124523,0.03188839988433756,0.002957699995022267,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
72,3,0.15493350000178907,208,0.05092030002560932,0.08889799994358327,0.007939699935377575,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
72,5,0.21492579999903683,331,0.04232220002450049,0.14727279996441212,0.013353900008951314,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
72,36,0.20563319999200758,703,0.035314900043886155,0.14691609992587473,0.012718799960566685,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
72,72,0.001791699993191287,73,0.001078899993444793,0.0006893000099807978,0.0,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
180,1,0.36901019999640994,181,0.0581777000479633,0.27658830005384516,0.017957100077182986,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
180,3,1.2086199000041233,532,0.2296276999550173,0.8714566001144703,0.054212599905440584,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
180,5,1.9853896999993594,871,0.3226411999494303,1.4416308999207104,0.10604130000865553,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
180,90,3.599603800001205,4186,0.5948660000576638,2.495807599974796,0.22320820001186803,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
180,180,0.0068802000023424625,181,0.005071399995358661,0.0017324999935226515,0.0,"Generic NFA determinization, concatenation/union and Hopcroft minimization; incremental regular expression evaluation"
