phase,dataset,K,scope,category,comparisons
AP0,beijing,24,fixed_panel,INDEPENDENT_ALREADY_DIRECTED,26
AP0,beijing,24,fixed_panel,JOINT_NEW_STRICT,6
AP0,beijing,24,fixed_panel,JOINT_OPPOSITE_POSSIBLE,19
AP0,beijing,24,fixed_panel,NO_AMBIGUOUS_LABELS,417
AP0,beijing,24,full_station,INDEPENDENT_ALREADY_DIRECTED,36
AP0,beijing,72,fixed_panel,INDEPENDENT_ALREADY_DIRECTED,3
AP0,beijing,72,fixed_panel,JOINT_OPPOSITE_POSSIBLE,3
AP0,beijing,72,fixed_panel,NO_AMBIGUOUS_LABELS,462
AP0,beijing,72,full_station,INDEPENDENT_ALREADY_DIRECTED,6
AP0,beijing,72,full_station,NO_AMBIGUOUS_LABELS,30
AP0,household,60,fixed_panel,NO_AMBIGUOUS_LABELS,15
AP0,household,60,full_station,NO_AMBIGUOUS_LABELS,3
AP0,household,180,fixed_panel,NO_AMBIGUOUS_LABELS,15
AP0,household,180,full_station,NO_AMBIGUOUS_LABELS,3
AP0_EXTENSION,household,60,fixed_panel,INDEPENDENT_ALREADY_DIRECTED,4
AP0_EXTENSION,household,60,fixed_panel,JOINT_OPPOSITE_POSSIBLE,5
AP0_EXTENSION,household,60,fixed_panel,NO_AMBIGUOUS_LABELS,18
AP0_EXTENSION,household,60,full_station,INDEPENDENT_ALREADY_DIRECTED,3
AP0_EXTENSION,household,180,fixed_panel,INDEPENDENT_ALREADY_DIRECTED,3
AP0_EXTENSION,household,180,fixed_panel,JOINT_OPPOSITE_POSSIBLE,6
AP0_EXTENSION,household,180,fixed_panel,NO_AMBIGUOUS_LABELS,18
AP0_EXTENSION,household,180,full_station,INDEPENDENT_ALREADY_DIRECTED,2
AP0_EXTENSION,household,180,full_station,JOINT_OPPOSITE_POSSIBLE,1
AP1,beijing,24,annual,INDEPENDENT_ALREADY_DIRECTED,31
AP1,beijing,24,annual,JOINT_OPPOSITE_POSSIBLE,5
AP1,beijing,24,artificial,INDEPENDENT_ALREADY_DIRECTED,77
AP1,beijing,24,artificial,JOINT_NEW_STRICT,4
AP1,beijing,24,artificial,JOINT_OPPOSITE_POSSIBLE,27
AP1,beijing,24,origin_week,INDEPENDENT_ALREADY_DIRECTED,262
AP1,beijing,24,origin_week,JOINT_OPPOSITE_POSSIBLE,71
AP1,beijing,24,origin_week,NO_AMBIGUOUS_LABELS,1575
AP1,beijing,72,annual,INDEPENDENT_ALREADY_DIRECTED,27
AP1,beijing,72,annual,JOINT_NEW_STRICT,1
AP1,beijing,72,annual,JOINT_OPPOSITE_POSSIBLE,8
AP1,beijing,72,artificial,INDEPENDENT_ALREADY_DIRECTED,51
AP1,beijing,72,artificial,JOINT_NEW_STRICT,1
AP1,beijing,72,artificial,JOINT_OPPOSITE_POSSIBLE,41
AP1,beijing,72,artificial,NO_AMBIGUOUS_LABELS,15
AP1,beijing,72,origin_week,INDEPENDENT_ALREADY_DIRECTED,103
AP1,beijing,72,origin_week,JOINT_NEW_STRICT,5
AP1,beijing,72,origin_week,JOINT_OPPOSITE_POSSIBLE,69
AP1,beijing,72,origin_week,NO_AMBIGUOUS_LABELS,1695
AP1,household,60,annual,INDEPENDENT_ALREADY_DIRECTED,3
AP1,household,60,artificial,INDEPENDENT_ALREADY_DIRECTED,6
AP1,household,60,artificial,JOINT_NEW_STRICT,1
AP1,household,60,artificial,JOINT_OPPOSITE_POSSIBLE,2
AP1,household,60,origin_week,INDEPENDENT_ALREADY_DIRECTED,5
AP1,household,60,origin_week,JOINT_OPPOSITE_POSSIBLE,1
AP1,household,60,origin_week,NO_AMBIGUOUS_LABELS,153
AP1,household,180,annual,INDEPENDENT_ALREADY_DIRECTED,3
AP1,household,180,artificial,INDEPENDENT_ALREADY_DIRECTED,6
AP1,household,180,artificial,JOINT_OPPOSITE_POSSIBLE,3
AP1,household,180,origin_week,INDEPENDENT_ALREADY_DIRECTED,6
AP1,household,180,origin_week,NO_AMBIGUOUS_LABELS,153
