T,K,L,layout,missing_rate,specialized_state_kernel_seconds,generic_dfa_same_kernel_seconds,generic_rd_edge_kernel_seconds,suffix_kernel_seconds,suffix_status,generic_status,generic_bound_error,rolling_extrema_bytes,graph_array_bytes,specialized_construct_seconds,generic_construct_seconds,specialized_cold_graph_warm_kernel_seconds,generic_cold_graph_warm_kernel_seconds
2048,8,1,iid30,0.29638671875,0.0002277000021422,0.0002240000030724,0.0005037999944761,0.0006073000113246,COMPLETE,COMPLETE,0.0,288,153,5.149999924469739e-05,0.001284999991185,0.0002792000013868974,0.0015089999942574
2048,8,1,blocks30,0.27685546875,0.0002180000010412,0.000213999999687,0.0002965000021504,0.0006017000123392,COMPLETE,COMPLETE,0.0,288,153,5.149999924469739e-05,0.001284999991185,0.0002695000002858974,0.001498999990872
2048,8,1,natural_power,0.0,0.0001846000086516,0.0001862000062828,0.0002872000040952,0.000525600000401,COMPLETE,COMPLETE,0.0,288,153,5.149999924469739e-05,0.001284999991185,0.0002361000078962974,0.0014711999974678
32768,8,1,iid30,0.300537109375,0.0045379000075627,0.0031402000022353,0.0045584000035887,0.0075918000075034,COMPLETE,COMPLETE,0.0,288,153,5.149999924469739e-05,0.001284999991185,0.004589400006807397,0.0044251999934203
32768,8,1,blocks30,0.27813720703125,0.0030753999890293,0.0030732000013813,0.0041472000011708,0.0070626000087941,COMPLETE,COMPLETE,0.0,288,153,5.149999924469739e-05,0.001284999991185,0.003126899988273997,0.0043581999925663
32768,8,1,natural_power,0.003997802734375,0.0027572999970288,0.002684400009457,0.0037789000052725,0.0053570000018225,COMPLETE,COMPLETE,0.0,288,153,5.149999924469739e-05,0.001284999991185,0.0028087999962734976,0.003969400000642
2048,8,3,iid30,0.2861328125,0.0002631999959703,0.0002924000000348,0.0003042999887838,0.0004488999984459,COMPLETE,COMPLETE,0.0,512,272,0.0002043999993475,0.0014073999918764,0.0004675999953178,0.0016997999919112
2048,8,3,blocks30,0.27880859375,0.0002338000049348,0.0002361000078963,0.0006046000053174,0.000433699999121,COMPLETE,COMPLETE,0.0,512,272,0.0002043999993475,0.0014073999918764,0.0004382000042823,0.0016434999997727
2048,8,3,natural_power,0.0,0.00030169999809,0.0001904999953694,0.000267099996563,0.0004801000031875,COMPLETE,COMPLETE,0.0,512,272,0.0002043999993475,0.0014073999918764,0.0005060999974375001,0.0015978999872458
32768,8,3,iid30,0.300384521484375,0.00349560000177,0.0034257999941473,0.0049892999959411,0.0078650999930687,COMPLETE,COMPLETE,0.0,512,272,0.0002043999993475,0.0014073999918764,0.0037000000011175004,0.0048331999860237
32768,8,3,blocks30,0.27752685546875,0.0033044999872799,0.0032614999945508,0.00498399999924,0.0070046000037109,COMPLETE,COMPLETE,0.0,512,272,0.0002043999993475,0.0014073999918764,0.0035088999866274,0.0046688999864272
32768,8,3,natural_power,0.003997802734375,0.0027399999962653,0.0028639000083785,0.0044131999893579,0.0056075999891618,COMPLETE,COMPLETE,0.0,512,272,0.0002043999993475,0.0014073999918764,0.0029443999956128,0.0042713000002549
2048,8,4,iid30,0.29443359375,0.0002330999996047,0.0002059000107692,0.0003197000041836,0.0004770999948959,COMPLETE,COMPLETE,0.0,480,255,3.229999856557697e-05,0.00091170000087,0.00026539999817027694,0.0011176000116392
2048,8,4,blocks30,0.27294921875,0.0002286999952048,0.0002282000059494,0.0003085999924223,0.0004542999959085,COMPLETE,COMPLETE,0.0,480,255,3.229999856557697e-05,0.00091170000087,0.000260999993770377,0.0011399000068194
2048,8,4,natural_power,0.0,0.0001839000033214,0.0001782000035746,0.0002890000032493,0.0003414999955566,COMPLETE,COMPLETE,0.0,480,255,3.229999856557697e-05,0.00091170000087,0.00021620000188697698,0.0010899000044446
32768,8,4,iid30,0.29522705078125,0.00331179999921,0.0033642000053077,0.0049938000011025,0.0073556999996071,COMPLETE,COMPLETE,0.0,480,255,3.229999856557697e-05,0.00091170000087,0.003344099997775577,0.0042759000061777
32768,8,4,blocks30,0.27691650390625,0.0032132000051205,0.0032715999986976,0.004924499997287,0.0071751999930711,COMPLETE,COMPLETE,0.0,480,255,3.229999856557697e-05,0.00091170000087,0.003245500003686077,0.0041832999995676
32768,8,4,natural_power,0.003997802734375,0.0027943000022787,0.0027832999912789,0.0043991999991703,0.0053578999941237,COMPLETE,COMPLETE,0.0,480,255,3.229999856557697e-05,0.00091170000087,0.0028266000008442768,0.0036949999921489
2048,8,5,iid30,0.2744140625,0.0002151999942725,0.0001990000018849,0.0002743999939411,0.0004960000078426,COMPLETE,COMPLETE,0.0,384,204,3.090000245720148e-05,0.0007157999934861,0.0002460999967297015,0.0009147999953709999
2048,8,5,blocks30,0.28271484375,0.0001971000019693,0.0001937000051839,0.000287599992589,0.0004731999943032,COMPLETE,COMPLETE,0.0,384,204,3.090000245720148e-05,0.0007157999934861,0.00022800000442650147,0.00090949999867
2048,8,5,natural_power,0.0,0.0001668000040808,0.0001727000053506,0.0002617999998619,0.0003484999906504,COMPLETE,COMPLETE,0.0,384,204,3.090000245720148e-05,0.0007157999934861,0.00019770000653800148,0.0008884999988366999
32768,8,5,iid30,0.30078125,0.0032093000045279,0.0032150000042747,0.0046261999959824,0.0079470000055152,COMPLETE,COMPLETE,0.0,384,204,3.090000245720148e-05,0.0007157999934861,0.0032402000069851017,0.0039307999977608
32768,8,5,blocks30,0.277587890625,0.003146499991999,0.0032471000013174,0.0046034999977564,0.0089940000034403,COMPLETE,COMPLETE,0.0,384,204,3.090000245720148e-05,0.0007157999934861,0.0031773999944562014,0.0039628999948035
32768,8,5,natural_power,0.003997802734375,0.0031623000104445,0.0028429999947547,0.0045316999894566,0.0055339000100502,COMPLETE,COMPLETE,0.0,384,204,3.090000245720148e-05,0.0007157999934861,0.0031932000129017016,0.0035587999882408
2048,8,8,iid30,0.30224609375,0.0001857000024756,0.0001740000006975,0.0002379000070504,0.0004499000060604,COMPLETE,COMPLETE,0.0,288,153,2.4900000425986946e-05,0.000152300010086,0.00021060000290158695,0.00032630001078350003
2048,8,8,blocks30,0.27587890625,0.000191300001461,0.0001803999912226,0.0002400999946985,0.0004458000039448,COMPLETE,COMPLETE,0.0,288,153,2.4900000425986946e-05,0.000152300010086,0.00021620000188698696,0.0003327000013086
