phase,dataset,series,K,scope,mask,origin_start,model_A,model_B,endpoint,Gamma,core_size,size_lower_bound,kind,window_indices
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,constant,logistic,lower,7.294512216482474e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,constant,hist_gradient_boosting,lower,1.0061396160665481e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,constant,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,logistic,hist_gradient_boosting,lower,3.0184188481996443e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6738,constant,logistic,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6738,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6738,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6738,constant,hist_gradient_boosting,upper,1.2073675392798576e-14,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6738,logistic,hist_gradient_boosting,lower,5.030698080332742e-16,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6738,logistic,hist_gradient_boosting,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6906,constant,logistic,lower,6.036837696399289e-15,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6906,constant,logistic,upper,0.0,0,0,NUMERIC_ZERO,
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6906,constant,hist_gradient_boosting,lower,0.0,0,0,NUMERIC_ZERO,
