dataset,series,K,role,quarter,origin_state,windows,identified,identified_positive,identified_negative
beijing,Aotizhongxin,24,fit,2013Q1,low,238,238,145,93
beijing,Aotizhongxin,24,fit,2013Q1,high,338,338,319,19
beijing,Aotizhongxin,24,fit,2013Q2,missing,5,5,4,1
beijing,Aotizhongxin,24,fit,2013Q2,low,1185,1185,699,486
beijing,Aotizhongxin,24,fit,2013Q2,high,994,991,918,73
beijing,Aotizhongxin,24,fit,2013Q3,missing,2,2,2,0
beijing,Aotizhongxin,24,fit,2013Q3,low,1374,1374,619,755
beijing,Aotizhongxin,24,fit,2013Q3,high,832,832,763,69
beijing,Aotizhongxin,24,fit,2013Q4,missing,3,3,2,1
beijing,Aotizhongxin,24,fit,2013Q4,low,818,818,392,426
beijing,Aotizhongxin,24,fit,2013Q4,high,620,620,580,40
beijing,Aotizhongxin,24,select,2013Q4,missing,1,1,1,0
beijing,Aotizhongxin,24,select,2013Q4,low,485,485,266,219
beijing,Aotizhongxin,24,select,2013Q4,high,258,258,235,23
beijing,Aotizhongxin,24,select,2014Q1,missing,26,25,21,4
beijing,Aotizhongxin,24,select,2014Q1,low,587,565,371,194
beijing,Aotizhongxin,24,select,2014Q1,high,780,780,745,35
beijing,Changping,24,fit,2013Q1,low,256,256,140,116
beijing,Changping,24,fit,2013Q1,high,320,320,303,17
beijing,Changping,24,fit,2013Q2,missing,31,31,14,17
beijing,Changping,24,fit,2013Q2,low,1257,1252,573,679
beijing,Changping,24,fit,2013Q2,high,896,891,813,78
beijing,Changping,24,fit,2013Q3,low,1481,1481,534,947
beijing,Changping,24,fit,2013Q3,high,727,727,652,75
beijing,Changping,24,fit,2013Q4,missing,2,2,0,2
beijing,Changping,24,fit,2013Q4,low,932,932,330,602
beijing,Changping,24,fit,2013Q4,high,507,507,465,42
beijing,Changping,24,select,2013Q4,low,504,504,227,277
beijing,Changping,24,select,2013Q4,high,240,240,208,32
beijing,Changping,24,select,2014Q1,missing,42,41,38,3
beijing,Changping,24,select,2014Q1,low,590,569,324,245
beijing,Changping,24,select,2014Q1,high,761,760,731,29
beijing,Dingling,24,fit,2013Q1,low,280,280,151,129
beijing,Dingling,24,fit,2013Q1,high,296,296,281,15
beijing,Dingling,24,fit,2013Q2,missing,54,31,27,4
beijing,Dingling,24,fit,2013Q2,low,1297,1275,565,710
