dataset,series,evaluation_records,missing,missing_rate,missing_runs,max_missing_run,median_missing_run
beijing,Aotizhongxin,8760,493,0.05627853881278539,47,343,2.0
beijing,Changping,8760,263,0.03002283105022831,42,93,2.0
beijing,Dingling,8760,160,0.0182648401826484,60,23,1.0
beijing,Dongsi,8760,86,0.009817351598173516,45,17,1.0
beijing,Guanyuan,8760,184,0.021004566210045664,45,71,2.0
beijing,Gucheng,8760,140,0.01598173515981735,41,25,1.0
beijing,Huairou,8760,304,0.034703196347031964,68,93,1.0
beijing,Nongzhanguan,8760,172,0.019634703196347032,75,19,1.0
beijing,Shunyi,8760,164,0.01872146118721461,47,71,1.0
beijing,Tiantan,8760,308,0.03515981735159817,190,24,1.0
beijing,Wanliu,8760,72,0.00821917808219178,35,13,1.0
beijing,Wanshouxigong,8760,152,0.017351598173515982,38,26,2.0
household,household,527040,168,0.0003187613843351548,16,83,1.0
