dataset,series,K,origin_start,N,support_end_exclusive,shared_missing_with_next_block
beijing,Aotizhongxin,24,8760,168,8951,0
beijing,Aotizhongxin,24,8928,168,9119,0
beijing,Aotizhongxin,24,9096,168,9287,0
beijing,Aotizhongxin,24,9264,168,9455,0
beijing,Aotizhongxin,24,9432,168,9623,0
beijing,Aotizhongxin,24,9600,168,9791,0
beijing,Aotizhongxin,24,9768,168,9959,0
beijing,Aotizhongxin,24,9936,168,10127,7
beijing,Aotizhongxin,24,10104,168,10295,0
beijing,Aotizhongxin,24,10272,168,10463,0
beijing,Aotizhongxin,24,10440,168,10631,0
beijing,Aotizhongxin,24,10608,168,10799,2
beijing,Aotizhongxin,24,10776,168,10967,0
beijing,Aotizhongxin,24,10944,168,11135,0
beijing,Aotizhongxin,24,11112,168,11303,0
beijing,Aotizhongxin,24,11280,168,11471,0
beijing,Aotizhongxin,24,11448,168,11639,0
beijing,Aotizhongxin,24,11616,168,11807,0
beijing,Aotizhongxin,24,11784,168,11975,0
beijing,Aotizhongxin,24,11952,168,12143,0
beijing,Aotizhongxin,24,12120,168,12311,0
beijing,Aotizhongxin,24,12288,168,12479,0
beijing,Aotizhongxin,24,12456,168,12647,0
beijing,Aotizhongxin,24,12624,168,12815,0
beijing,Aotizhongxin,24,12792,168,12983,0
beijing,Aotizhongxin,24,12960,168,13151,0
beijing,Aotizhongxin,24,13128,168,13319,0
beijing,Aotizhongxin,24,13296,168,13487,0
beijing,Aotizhongxin,24,13464,168,13655,0
beijing,Aotizhongxin,24,13632,168,13823,0
beijing,Aotizhongxin,24,13800,168,13991,0
beijing,Aotizhongxin,24,13968,168,14159,0
beijing,Aotizhongxin,24,14136,168,14327,0
beijing,Aotizhongxin,24,14304,168,14495,0
beijing,Aotizhongxin,24,14472,168,14663,0
beijing,Aotizhongxin,24,14640,168,14831,0
beijing,Aotizhongxin,24,14808,168,14999,0
beijing,Aotizhongxin,24,14976,168,15167,0
beijing,Aotizhongxin,24,15144,168,15335,0
beijing,Aotizhongxin,24,15312,168,15503,0
beijing,Aotizhongxin,24,15480,168,15671,2
beijing,Aotizhongxin,24,15648,168,15839,23
beijing,Aotizhongxin,24,15816,168,16007,23
beijing,Aotizhongxin,24,15984,168,16175,0
beijing,Aotizhongxin,24,16152,168,16343,0
beijing,Aotizhongxin,24,16320,168,16511,0
beijing,Aotizhongxin,24,16488,168,16679,0
beijing,Aotizhongxin,24,16656,168,16847,0
beijing,Aotizhongxin,24,16824,168,17015,0
beijing,Aotizhongxin,24,16992,168,17183,0
beijing,Aotizhongxin,24,17160,168,17351,0
beijing,Aotizhongxin,24,17328,168,17519,0
beijing,Aotizhongxin,24,17496,1,17520,0
beijing,Aotizhongxin,72,8760,168,8999,0
beijing,Aotizhongxin,72,8928,168,9167,0
beijing,Aotizhongxin,72,9096,168,9335,0
beijing,Aotizhongxin,72,9264,168,9503,0
beijing,Aotizhongxin,72,9432,168,9671,0
beijing,Aotizhongxin,72,9600,168,9839,0
beijing,Aotizhongxin,72,9768,168,10007,0
beijing,Aotizhongxin,72,9936,168,10175,55
beijing,Aotizhongxin,72,10104,168,10343,0
beijing,Aotizhongxin,72,10272,168,10511,2
beijing,Aotizhongxin,72,10440,168,10679,0
beijing,Aotizhongxin,72,10608,168,10847,2
beijing,Aotizhongxin,72,10776,168,11015,0
beijing,Aotizhongxin,72,10944,168,11183,0
beijing,Aotizhongxin,72,11112,168,11351,0
beijing,Aotizhongxin,72,11280,168,11519,0
beijing,Aotizhongxin,72,11448,168,11687,0
beijing,Aotizhongxin,72,11616,168,11855,0
beijing,Aotizhongxin,72,11784,168,12023,1
beijing,Aotizhongxin,72,11952,168,12191,0
beijing,Aotizhongxin,72,12120,168,12359,0
beijing,Aotizhongxin,72,12288,168,12527,0
beijing,Aotizhongxin,72,12456,168,12695,0
beijing,Aotizhongxin,72,12624,168,12863,0
beijing,Aotizhongxin,72,12792,168,13031,1
beijing,Aotizhongxin,72,12960,168,13199,0
beijing,Aotizhongxin,72,13128,168,13367,0
beijing,Aotizhongxin,72,13296,168,13535,0
beijing,Aotizhongxin,72,13464,168,13703,0
beijing,Aotizhongxin,72,13632,168,13871,2
beijing,Aotizhongxin,72,13800,168,14039,1
beijing,Aotizhongxin,72,13968,168,14207,0
beijing,Aotizhongxin,72,14136,168,14375,0
beijing,Aotizhongxin,72,14304,168,14543,0
beijing,Aotizhongxin,72,14472,168,14711,2
beijing,Aotizhongxin,72,14640,168,14879,0
beijing,Aotizhongxin,72,14808,168,15047,0
beijing,Aotizhongxin,72,14976,168,15215,0
beijing,Aotizhongxin,72,15144,168,15383,0
