dataset,K,scope,mask,series,origin_start,pair_prepare,pair_solve,joint,pair_total
beijing,24,annual,natural,Aotizhongxin,8760,0.0251710000011371,0.0322484000062103,0.025957600009860297,0.057419400007347396
beijing,24,annual,natural,Changping,8760,0.0009577000018907,0.0371527000097557,0.0053671000059692005,0.0381104000116464
beijing,24,annual,natural,Dingling,8760,0.0020568000036291,0.0438377999817019,0.0036085000028833,0.045894599985331
beijing,24,annual,natural,Dongsi,8760,0.0008990000060293,0.0302445999841437,0.0053282000008038,0.031143599990173
beijing,24,annual,natural,Guanyuan,8760,0.0025604000111343,0.052195500000379896,0.004736999995657101,0.054755900011514196
beijing,24,annual,natural,Gucheng,8760,0.0016978000057861,0.035931900012656004,0.0054250999965005,0.037629700018442104
beijing,24,annual,natural,Huairou,8760,0.0097211999964201,0.0819052000006194,0.0078030000004218,0.0916263999970395
beijing,24,annual,natural,Nongzhanguan,8760,0.0011156000109622,0.0274736999999731,0.0038971000030867996,0.028589300010935303
beijing,24,annual,natural,Shunyi,8760,0.0010543999960646,0.0252065999811747,0.0035656000109154998,0.0262609999772393
beijing,24,annual,natural,Tiantan,8760,0.0036627999943448,0.0781351000186986,0.0039388000004691,0.08179790001304339
beijing,24,annual,natural,Wanliu,8760,0.000658500008285,0.0222911999881034,0.0054292999993776,0.0229496999963884
beijing,24,annual,natural,Wanshouxigong,8760,0.0019265000009909,0.0350885000079869,0.0039970999932847,0.0370150000089778
beijing,24,artificial,blocks_10,Aotizhongxin,8760,0.001146399998106,0.0489933999924686,0.0010252999927614,0.0501397999905746
beijing,24,artificial,blocks_10,Changping,8760,0.001726200003759,0.0385163999890209,0.0006893000099807,0.0402425999927799
beijing,24,artificial,blocks_10,Dingling,16429,0.0016107999981613,0.041062999996938604,0.0008939999970605001,0.042673799995099904
beijing,24,artificial,blocks_10,Dongsi,9401,0.0009805000008782,0.0481641000078524,0.0010685000015654,0.0491446000087306
beijing,24,artificial,blocks_10,Guanyuan,16596,0.0015076999989105,0.034111600005417,0.0011229999945497,0.035619300004327496
beijing,24,artificial,blocks_10,Gucheng,9061,0.0008505000005243,0.020697399988421,0.0008782000222708,0.0215478999889453
beijing,24,artificial,blocks_10,Huairou,14688,0.0007639999967068,0.018691599994781302,0.0006184999947435,0.019455599991488104
beijing,24,artificial,blocks_10,Nongzhanguan,12216,0.001347600002191,0.0328392999945207,0.0006942000036359,0.0341868999967117
beijing,24,artificial,blocks_10,Shunyi,8760,0.0010145999985979,0.0272669999976641,0.0007002999918766,0.028281599996262
beijing,24,artificial,blocks_10,Tiantan,9016,0.0009776000079,0.0225085000129182,0.0007689000049139,0.023486100020818197
beijing,24,artificial,blocks_10,Wanliu,11604,0.0008477000083075,0.0272227000095881,0.0010109000140799,0.0280704000178956
beijing,24,artificial,blocks_10,Wanshouxigong,9539,0.0020437999919522,0.0439810999960171,0.0014076999941607,0.0460248999879693
beijing,24,artificial,iid_10,Aotizhongxin,8760,0.0003817999968305,0.0122526000050128,0.0012374999932944,0.0126344000018433
beijing,24,artificial,iid_10,Changping,8760,0.000379699995392,0.007635599991772234,0.0006981999904381001,0.008015299987164234
beijing,24,artificial,iid_10,Dingling,16429,0.0003756000078283,0.0108799000008729,0.0007767000060993001,0.011255500008701201
beijing,24,artificial,iid_10,Dongsi,9401,0.0008237000001827,0.0228991999902063,0.0010452999995321,0.023722899990389002
beijing,24,artificial,iid_10,Guanyuan,16596,0.0005442999972729,0.0155274999997344,0.0006710999878122,0.0160717999970073
beijing,24,artificial,iid_10,Gucheng,9061,8.47000046633184e-05,6.150000263005495e-05,0.0006826000026192,0.00014620000729337335
beijing,24,artificial,iid_10,Huairou,14688,0.0005109000048832,0.0147505000204545,0.0006684999825664,0.0152614000253377
beijing,24,artificial,iid_10,Nongzhanguan,12216,0.0003807000030064,0.0111333999957423,0.0005188000068301,0.0115140999987487
beijing,24,artificial,iid_10,Shunyi,8760,0.0004213999927742,0.0119590000103925,0.0006288000004132,0.012380400003166701
beijing,24,artificial,iid_10,Tiantan,9016,0.0004466000100364,0.008674500015331361,0.0005816999910164,0.009121100025367762
beijing,24,artificial,iid_10,Wanliu,11604,0.0004256000102031,0.013530600015656001,0.0010837000154423,0.013956200025859102
beijing,24,artificial,iid_10,Wanshouxigong,9539,0.0005258000019239,0.0129675999924073,0.0006992999842622,0.0134933999943312
beijing,24,artificial,iid_30,Aotizhongxin,8760,0.0021132999972905,0.050057899992680094,0.0011630999943006998,0.05217119998997059
beijing,24,artificial,iid_30,Changping,8760,0.0030305000109365,0.041291699992143396,0.0009156000014625999,0.0443222000030799
beijing,24,artificial,iid_30,Dingling,16429,0.0014513999922201,0.0346109000238356,0.0009643999947001,0.0360623000160557
beijing,24,artificial,iid_30,Dongsi,9401,0.0023195999965537,0.0645719000021926,0.0014519999967886,0.0668914999987463
beijing,24,artificial,iid_30,Guanyuan,16596,0.00136609999754,0.043574900002567904,0.0008177999843609,0.0449410000001079
beijing,24,artificial,iid_30,Gucheng,9061,0.001300900010392,0.0442583000112789,0.0013803000038023002,0.0455592000216709
beijing,24,artificial,iid_30,Huairou,14688,0.0017657999997027,0.0400801000068894,0.0007192000193753,0.0418459000065921
beijing,24,artificial,iid_30,Nongzhanguan,12216,0.0027291000005789,0.0353039000183343,0.0007413999846902,0.0380330000189132
beijing,24,artificial,iid_30,Shunyi,8760,0.0024120000016409,0.0450688999990233,0.0007976999913806,0.0474809000006642
beijing,24,artificial,iid_30,Tiantan,9016,0.0016783000028226,0.0465376999927683,0.0008527000172759999,0.0482159999955909
beijing,24,artificial,iid_30,Wanliu,11604,0.0018053000094369,0.039121400011936,0.0010005000076488,0.0409267000213729
beijing,24,artificial,iid_30,Wanshouxigong,9539,0.0012101999891456,0.0309336999926016,0.0009792000055312,0.0321438999817472
beijing,24,origin_week,natural,Aotizhongxin,8760,3.070000093430281e-05,6.070001109037548e-05,0.0004105999978491,9.140001202467829e-05
beijing,24,origin_week,natural,Aotizhongxin,8928,1.6599995433352888e-05,4.05999890062958e-05,0.0003479000151855021,5.719998443964869e-05
beijing,24,origin_week,natural,Aotizhongxin,9096,1.5000012353993952e-05,3.91000066883862e-05,0.00031069999386086416,5.4100019042380154e-05
beijing,24,origin_week,natural,Aotizhongxin,9264,2.239999594166875e-05,3.9099992136470973e-05,0.0003317999944556499,6.149998807813972e-05
beijing,24,origin_week,natural,Aotizhongxin,9432,1.479999627918005e-05,3.9600025047548115e-05,0.00030440000409723007,5.4400021326728165e-05
beijing,24,origin_week,natural,Aotizhongxin,9600,1.4899997040629389e-05,5.919999966863543e-05,0.0003923000040229,7.409999670926481e-05
