dataset,K,model_A,model_B,N,series_count,independent_lower,independent_upper,independent_direction,pairwise_lower,pairwise_upper,pairwise_direction,joint_lower,joint_upper,joint_direction
beijing,24,constant,hist_gradient_boosting,104844,12,0.07474597600588269,0.08541428683073315,B,0.07506003576896216,0.08501516621354537,B,0.07508084857600081,0.08500338667717348,B
beijing,24,constant,logistic,104844,12,0.0754499637749946,0.08655118174799964,B,0.07572028599986198,0.08619627804285815,B,0.07572394803744593,0.086194906680877,B
beijing,24,logistic,hist_gradient_boosting,104844,12,-0.003252439145407787,0.0014115564590293833,OPPOSITE_POSSIBLE,-0.0030925542037634032,0.0012728855013975082,OPPOSITE_POSSIBLE,-0.0030898569222106054,0.0012613750601285832,OPPOSITE_POSSIBLE
beijing,72,constant,hist_gradient_boosting,104268,12,0.002820405272990875,0.005184236385178992,B,0.003041124100455175,0.0049740693443575505,B,0.0030725830809791334,0.004972086423565824,B
beijing,72,constant,logistic,104268,12,0.0040560346893628915,0.007086283867233384,B,0.004162980124470692,0.006937307005563484,B,0.004174207164961,0.006937307021124358,B
beijing,72,logistic,hist_gradient_boosting,104268,12,-0.0025716633065843747,-0.0005660135918419416,A,-0.002404408580295692,-0.0007105964469045914,A,-0.002404286962606575,-0.0007224689553266833,A
household,60,constant,hist_gradient_boosting,526981,1,0.0548327151480066,0.0549244318500658,B,0.0548327151479866,0.0549241062030092,B,0.0548327142117746,0.0549241071392194,B
household,60,constant,logistic,526981,1,0.0536339843649771,0.0540638045058491,B,0.0536345690295515,0.0540632198412747,B,0.0536345680933404,0.0540632207774859,B
household,60,logistic,hist_gradient_boosting,526981,1,0.0008524086056739,0.0012069495215721,B,0.0008547395757765,0.001205362598823,B,0.0008547386395654,0.0012045564336328,B
household,180,constant,hist_gradient_boosting,526861,1,0.0637346650947115,0.0639354294526693,B,0.0637353512135264,0.0639347433338544,B,0.0637353502773221,0.063934744270072,B
household,180,constant,logistic,526861,1,0.0514065363744764,0.0517431262200094,B,0.0514627653064335,0.0517217014691666,B,0.0514627643702222,0.0517217024053777,B
household,180,logistic,hist_gradient_boosting,526861,1,0.0120991437801667,0.0124212881727283,B,0.0121295242371106,0.0123695424553829,B,0.0121473683609784,0.012369543391595,B
