dataset,K,quarter,comparisons,ambiguous_comparisons,independent_undirected,pairwise_new,joint_new,higher_order_new,joint_new_fraction_all,joint_new_fraction_independent_undirected,higher_order_tighter
beijing,24,2014Q1,180,3,0,0,0,0,0.0,,0
beijing,24,2014Q2,468,108,24,0,0,0,0.0,0.0,9
beijing,24,2014Q3,468,81,21,0,0,0,0.0,0.0,2
beijing,24,2014Q4,468,105,22,0,0,0,0.0,0.0,2
beijing,24,2015Q1,324,36,4,0,0,0,0.0,0.0,0
beijing,72,2014Q1,180,3,1,0,0,0,0.0,0.0,0
beijing,72,2014Q2,468,60,17,2,2,0,0.004273504273504274,0.11764705882352941,3
beijing,72,2014Q3,468,45,23,2,2,0,0.004273504273504274,0.08695652173913043,5
beijing,72,2014Q4,468,66,33,1,1,0,0.002136752136752137,0.030303030303030304,5
beijing,72,2015Q1,288,3,0,0,0,0,0.0,,0
household,60,2007Q3,42,6,1,0,0,0,0.0,0.0,1
household,60,2007Q4,39,0,0,0,0,0,0.0,,0
household,60,2008Q1,39,0,0,0,0,0,0.0,,0
household,60,2008Q2,39,0,0,0,0,0,0.0,,0
household,180,2007Q3,42,6,0,0,0,0,0.0,,1
household,180,2007Q4,39,0,0,0,0,0,0.0,,0
household,180,2008Q1,39,0,0,0,0,0,0.0,,0
household,180,2008Q2,39,0,0,0,0,0,0.0,,0
