phase,dataset,K,scope,mask,comparisons,ambiguous_comparisons,independent_undirected,pairwise_new,joint_new,higher_order_new,joint_new_fraction_all,joint_new_fraction_independent_undirected,higher_order_tighter
AP0,beijing,24,fixed_panel,natural,468,51,25,6,6,0,0.01282051282051282,0.24,0
AP0,beijing,24,full_station,natural,36,36,0,0,0,0,0.0,,0
AP0,beijing,72,fixed_panel,natural,468,6,3,0,0,0,0.0,0.0,0
AP0,beijing,72,full_station,natural,36,6,0,0,0,0,0.0,,0
AP0,household,60,fixed_panel,natural,15,0,0,0,0,0,0.0,,0
AP0,household,60,full_station,natural,3,0,0,0,0,0,0.0,,0
AP0,household,180,fixed_panel,natural,15,0,0,0,0,0,0.0,,0
AP0,household,180,full_station,natural,3,0,0,0,0,0,0.0,,0
AP0_EXTENSION,household,60,fixed_panel,natural,27,9,5,0,0,0,0.0,0.0,1
AP0_EXTENSION,household,60,full_station,natural,3,3,0,0,0,0,0.0,,1
AP0_EXTENSION,household,180,fixed_panel,natural,27,9,6,0,0,0,0.0,0.0,1
AP0_EXTENSION,household,180,full_station,natural,3,3,1,0,0,0,0.0,0.0,1
AP1,beijing,24,annual,natural,36,36,5,0,0,0,0.0,0.0,11
AP1,beijing,24,artificial,blocks_10,36,36,11,2,2,0,0.05555555555555555,0.18181818181818182,13
AP1,beijing,24,artificial,iid_10,36,36,1,0,0,0,0.0,0.0,0
AP1,beijing,24,artificial,iid_30,36,36,19,2,2,0,0.05555555555555555,0.10526315789473684,7
AP1,beijing,24,origin_week,natural,1908,333,71,0,0,0,0.0,0.0,13
AP1,beijing,72,annual,natural,36,36,9,1,1,0,0.027777777777777776,0.1111111111111111,8
AP1,beijing,72,artificial,blocks_10,36,27,11,0,0,0,0.0,0.0,0
AP1,beijing,72,artificial,iid_10,36,30,5,1,1,0,0.027777777777777776,0.2,1
AP1,beijing,72,artificial,iid_30,36,36,26,0,0,0,0.0,0.0,2
AP1,beijing,72,origin_week,natural,1872,177,74,5,5,0,0.002670940170940171,0.06756756756756757,13
AP1,household,60,annual,natural,3,3,0,0,0,0,0.0,,1
AP1,household,60,artificial,blocks_10,3,3,2,1,1,0,0.3333333333333333,0.5,3
AP1,household,60,artificial,iid_10,3,3,0,0,0,0,0.0,,0
AP1,household,60,artificial,iid_30,3,3,1,0,0,0,0.0,0.0,3
AP1,household,60,origin_week,natural,159,6,1,0,0,0,0.0,0.0,1
AP1,household,180,annual,natural,3,3,0,0,0,0,0.0,,1
AP1,household,180,artificial,blocks_10,3,3,1,0,0,0,0.0,0.0,0
AP1,household,180,artificial,iid_10,3,3,0,0,0,0,0.0,,0
AP1,household,180,artificial,iid_30,3,3,2,0,0,0,0.0,0.0,1
AP1,household,180,origin_week,natural,159,6,0,0,0,0,0.0,,1
