dataset,K,model,value,validation_brier,fit_windows,validation_windows,seconds,warnings,selected
beijing,24,logistic,0.01,0.11955475696292835,75885,25297,0.32580990000860766,,False
beijing,24,logistic,0.1,0.1194821722935821,75885,25297,0.37748199999623466,,True
beijing,24,logistic,1.0,0.11950798215632961,75885,25297,0.3423138999933144,,False
beijing,24,logistic,10.0,0.11949955393712415,75885,25297,0.3503134000056889,,False
beijing,24,hist_gradient_boosting,7.0,0.13521316555913376,75885,25297,3.6175836000038544,,True
beijing,24,hist_gradient_boosting,15.0,0.1389209736736545,75885,25297,1.8873359999997774,,False
beijing,24,hist_gradient_boosting,31.0,0.1445115871888374,75885,25297,2.0922430000064196,,False
beijing,24,hist_gradient_boosting,63.0,0.15122545609474825,75885,25297,3.0098717999935616,,False
beijing,24,constant,0.6718410267898323,0.1889454711425534,75885,25297,0.0,,True
beijing,72,logistic,0.01,0.047159158124061476,75613,25024,0.19316799999796785,,True
beijing,72,logistic,0.1,0.04768843362232993,75613,25024,0.24911160000192467,,False
beijing,72,logistic,1.0,0.04779461522729242,75613,25024,0.25238839999656193,,False
beijing,72,logistic,10.0,0.04778968319459899,75613,25024,0.26330410000809934,,False
beijing,72,hist_gradient_boosting,7.0,0.06008940080762549,75613,25024,1.2513756999978796,,True
beijing,72,hist_gradient_boosting,15.0,0.06683184350009229,75613,25024,1.7118144999985816,,False
beijing,72,hist_gradient_boosting,31.0,0.07011287935707196,75613,25024,1.831908200008911,,False
beijing,72,hist_gradient_boosting,63.0,0.06955919458615563,75613,25024,2.57268149999436,,False
beijing,72,constant,0.9210606361171725,0.052369061606657955,75613,25024,0.0,,True
household,60,logistic,0.01,0.09878511661489545,189127,64657,0.8071903999953065,,True
household,60,logistic,0.1,0.09964176118349281,189127,64657,1.6331892000016524,,False
household,60,logistic,1.0,0.09996162274000275,189127,64657,1.8411462999938522,,False
household,60,logistic,10.0,0.10010250695456085,189127,64657,1.7436818999995012,,False
household,60,hist_gradient_boosting,7.0,0.09733791639063379,189127,64657,2.869054100010544,,True
household,60,hist_gradient_boosting,15.0,0.09744880942019725,189127,64657,3.1052829999971436,,False
household,60,hist_gradient_boosting,31.0,0.0997902949547247,189127,64657,3.595431499998085,,False
household,60,hist_gradient_boosting,63.0,0.10250775997410083,189127,64657,4.342417799998657,,False
household,60,constant,0.23762617049738538,0.14015702480728817,189127,64657,0.0,,True
household,180,logistic,0.01,0.1794327912509512,188940,64417,0.7960022000042954,,True
household,180,logistic,0.1,0.17944549364866794,188940,64417,0.948676300002262,,False
household,180,logistic,1.0,0.17948587760863005,188940,64417,1.0975077000039164,,False
household,180,logistic,10.0,0.17947122276141247,188940,64417,0.8990155999927083,,False
household,180,hist_gradient_boosting,7.0,0.1659076169753666,188940,64417,2.702000200006296,,True
household,180,hist_gradient_boosting,15.0,0.16978511415958353,188940,64417,3.2018313000007765,,False
household,180,hist_gradient_boosting,31.0,0.17909680177487464,188940,64417,3.6603131000010762,,False
household,180,hist_gradient_boosting,63.0,0.1851258814305225,188940,64417,4.393174500000896,,False
household,180,constant,0.39958823342613076,0.22341540106452099,188940,64417,0.0,,True
