phase,dataset,series,K,scope,mask,origin_start,extent,status,N,constraint_rows,variables,model_A,model_B,seconds,max_abs_error,message,planned_full_constraint_rows,planned_full_variables
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,FULL_PANEL,OPTIMAL_MATCH,145,3999,479,constant,logistic,0.7204216000100132,4.9002947293800006e-17,,3999,479
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,FULL_PANEL,OPTIMAL_MATCH,145,3999,479,constant,hist_gradient_boosting,0.0387199999968288,3.675221047035001e-17,,3999,479
AP0,beijing,Aotizhongxin,24,fixed_panel,natural,6570,FULL_PANEL,OPTIMAL_MATCH,145,3999,479,logistic,hist_gradient_boosting,0.0316345000028377,0.0,,3999,479
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,FULL_PANEL,OPTIMAL_MATCH,97,7551,431,constant,logistic,0.0687782000022707,1.831295710721908e-17,,7551,431
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,FULL_PANEL,OPTIMAL_MATCH,97,7551,431,constant,hist_gradient_boosting,0.1450754999968921,1.831295710721908e-17,,7551,431
AP0,beijing,Aotizhongxin,72,fixed_panel,natural,6570,FULL_PANEL,OPTIMAL_MATCH,97,7551,431,logistic,hist_gradient_boosting,0.082390800002031,1.831295710721908e-17,,7551,431
AP0,household,household,60,fixed_panel,natural,86400,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,10021,631653,30177,,,0.0,,Not attempted; no OOM or runtime inferred,631653,30177
AP0,household,household,60,fixed_panel,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,logistic,0.0883903000067221,2.775557561562892e-17,,631653,30177
AP0,household,household,60,fixed_panel,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,hist_gradient_boosting,0.1591014000005088,5.551115123125783e-17,,631653,30177
AP0,household,household,60,fixed_panel,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,logistic,hist_gradient_boosting,0.0937207000097259,1.6653345369377348e-16,,631653,30177
AP0,household,household,180,fixed_panel,natural,86400,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,9901,1812933,30057,,,0.0,,Not attempted; no OOM or runtime inferred,1812933,30057
AP0,household,household,180,fixed_panel,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,logistic,0.2825452999968547,4.163336342344337e-17,,1812933,30057
AP0,household,household,180,fixed_panel,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,constant,hist_gradient_boosting,0.3054091000085464,1.1102230246251563e-16,,1812933,30057
AP0,household,household,180,fixed_panel,natural,86400,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,24474,738,logistic,hist_gradient_boosting,0.2731859000050463,2.220446049250313e-16,,1812933,30057
AP0_EXTENSION,household,household,60,fixed_panel,natural,172800,FULL_PANEL,DECLARED_SIZE_BUDGET_CUTOFF,10021,631653,30177,,,0.0,,Not attempted; no OOM or runtime inferred,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,172800,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,logistic,0.1642505999916466,0.0,,631653,30177
AP0_EXTENSION,household,household,60,fixed_panel,natural,172800,FIRST_128_ORIGIN_DIAGNOSTIC,OPTIMAL_MATCH,128,8394,498,constant,hist_gradient_boosting,0.205912299992633,0.0,,631653,30177
