dataset,time_start,comparisons,joint_new,affected_series,higher_order_new
beijing,2014-03-01 00:00:00,72,0,,0
beijing,2014-03-08 00:00:00,72,0,,0
beijing,2014-03-15 00:00:00,72,0,,0
beijing,2014-03-22 00:00:00,72,0,,0
beijing,2014-03-29 00:00:00,72,0,,0
beijing,2014-04-05 00:00:00,72,0,,0
beijing,2014-04-12 00:00:00,72,0,,0
beijing,2014-04-19 00:00:00,72,0,,0
beijing,2014-04-26 00:00:00,72,1,Guanyuan,0
beijing,2014-05-03 00:00:00,72,0,,0
beijing,2014-05-10 00:00:00,72,0,,0
beijing,2014-05-17 00:00:00,72,0,,0
beijing,2014-05-24 00:00:00,72,0,,0
beijing,2014-05-31 00:00:00,72,1,Huairou,0
beijing,2014-06-07 00:00:00,72,0,,0
beijing,2014-06-14 00:00:00,72,0,,0
beijing,2014-06-21 00:00:00,72,0,,0
beijing,2014-06-28 00:00:00,72,0,,0
beijing,2014-07-05 00:00:00,72,1,Guanyuan,0
beijing,2014-07-12 00:00:00,72,0,,0
beijing,2014-07-19 00:00:00,72,1,Gucheng,0
beijing,2014-07-26 00:00:00,72,0,,0
beijing,2014-08-02 00:00:00,72,0,,0
beijing,2014-08-09 00:00:00,72,0,,0
beijing,2014-08-16 00:00:00,72,0,,0
beijing,2014-08-23 00:00:00,72,0,,0
beijing,2014-08-30 00:00:00,72,0,,0
beijing,2014-09-06 00:00:00,72,0,,0
beijing,2014-09-13 00:00:00,72,0,,0
beijing,2014-09-20 00:00:00,72,0,,0
beijing,2014-09-27 00:00:00,72,0,,0
beijing,2014-10-04 00:00:00,72,0,,0
beijing,2014-10-11 00:00:00,72,0,,0
beijing,2014-10-18 00:00:00,72,0,,0
beijing,2014-10-25 00:00:00,72,0,,0
beijing,2014-11-01 00:00:00,72,1,Wanliu,0
beijing,2014-11-08 00:00:00,72,0,,0
beijing,2014-11-15 00:00:00,72,0,,0
beijing,2014-11-22 00:00:00,72,0,,0
beijing,2014-11-29 00:00:00,72,0,,0
beijing,2014-12-06 00:00:00,72,0,,0
beijing,2014-12-13 00:00:00,72,0,,0
beijing,2014-12-20 00:00:00,72,0,,0
beijing,2014-12-27 00:00:00,72,0,,0
beijing,2015-01-03 00:00:00,72,0,,0
beijing,2015-01-10 00:00:00,72,0,,0
beijing,2015-01-17 00:00:00,72,0,,0
beijing,2015-01-24 00:00:00,72,0,,0
beijing,2015-01-31 00:00:00,72,0,,0
beijing,2015-02-07 00:00:00,72,0,,0
beijing,2015-02-14 00:00:00,72,0,,0
beijing,2015-02-21 00:00:00,72,0,,0
beijing,2015-02-28 00:00:00,36,0,,0
household,2007-07-01 00:00:00,6,0,,0
household,2007-07-08 00:00:00,6,0,,0
household,2007-07-15 00:00:00,6,0,,0
household,2007-07-22 00:00:00,6,0,,0
household,2007-07-29 00:00:00,6,0,,0
household,2007-08-05 00:00:00,6,0,,0
household,2007-08-12 00:00:00,6,0,,0
household,2007-08-19 00:00:00,6,0,,0
household,2007-08-26 00:00:00,6,0,,0
household,2007-09-02 00:00:00,6,0,,0
household,2007-09-09 00:00:00,6,0,,0
household,2007-09-16 00:00:00,6,0,,0
household,2007-09-23 00:00:00,6,0,,0
household,2007-09-30 00:00:00,6,0,,0
household,2007-10-07 00:00:00,6,0,,0
household,2007-10-14 00:00:00,6,0,,0
household,2007-10-21 00:00:00,6,0,,0
household,2007-10-28 00:00:00,6,0,,0
household,2007-11-04 00:00:00,6,0,,0
household,2007-11-11 00:00:00,6,0,,0
household,2007-11-18 00:00:00,6,0,,0
household,2007-11-25 00:00:00,6,0,,0
household,2007-12-02 00:00:00,6,0,,0
household,2007-12-09 00:00:00,6,0,,0
household,2007-12-16 00:00:00,6,0,,0
household,2007-12-23 00:00:00,6,0,,0
household,2007-12-30 00:00:00,6,0,,0
household,2008-01-06 00:00:00,6,0,,0
household,2008-01-13 00:00:00,6,0,,0
household,2008-01-20 00:00:00,6,0,,0
household,2008-01-27 00:00:00,6,0,,0
household,2008-02-03 00:00:00,6,0,,0
household,2008-02-10 00:00:00,6,0,,0
household,2008-02-17 00:00:00,6,0,,0
household,2008-02-24 00:00:00,6,0,,0
household,2008-03-02 00:00:00,6,0,,0
household,2008-03-09 00:00:00,6,0,,0
household,2008-03-16 00:00:00,6,0,,0
household,2008-03-23 00:00:00,6,0,,0
household,2008-03-30 00:00:00,6,0,,0
household,2008-04-06 00:00:00,6,0,,0
household,2008-04-13 00:00:00,6,0,,0
household,2008-04-20 00:00:00,6,0,,0
household,2008-04-27 00:00:00,6,0,,0
household,2008-05-04 00:00:00,6,0,,0
household,2008-05-11 00:00:00,6,0,,0
household,2008-05-18 00:00:00,6,0,,0
household,2008-05-25 00:00:00,6,0,,0
household,2008-06-01 00:00:00,6,0,,0
household,2008-06-08 00:00:00,6,0,,0
household,2008-06-15 00:00:00,6,0,,0
household,2008-06-22 00:00:00,6,0,,0
household,2008-06-29 00:00:00,6,0,,0
