phase,dataset,series,K,L,scope,origin_start,N,component,first_origin,last_origin,labels,unknowns,status,patterns,closure_operation,pattern_a,pattern_b,unreachable_pattern,assignment_a,assignment_b
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,0,1356,1403,48,65,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,1,6953,7334,382,348,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,2,8031,8053,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,0,12,59,48,65,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,24,3,origin_week,15648,168,0,65,167,103,90,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,24,3,origin_week,15816,168,0,0,167,168,191,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,24,3,origin_week,15984,168,0,0,110,111,113,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,24,3,origin_week,16656,168,0,135,157,23,4,HIGHER_STRUCTURE,4.0,AND,0x3fffff,0x7ffffe,0x3ffffe,1110,0111
AP1,beijing,Aotizhongxin,72,3,annual,8760,8689,0,6941,7293,353,350,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,72,3,origin_week,15648,168,0,53,167,115,140,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,72,3,origin_week,15816,168,0,0,167,168,239,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Aotizhongxin,72,3,origin_week,15984,168,0,0,69,70,113,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,0,1359,1403,45,64,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,1,2517,2527,11,6,EXACT_CLOSED,5.0,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,2,2663,2674,12,22,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,3,3498,3591,94,93,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,4,5937,5944,8,6,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,5,7028,7034,7,6,EXACT_CLOSED,7.0,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,6,7138,7140,3,3,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Changping,24,3,annual,8760,8737,7,8023,8029,7,7,EXACT_CLOSED,8.0,,,,,,
AP1,beijing,Changping,24,3,origin_week,10104,168,0,15,59,45,64,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,origin_week,11112,168,0,165,167,3,5,EXACT_CLOSED,4.0,,,,,,
AP1,beijing,Changping,24,3,origin_week,11280,168,0,0,7,8,6,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Changping,24,3,origin_week,11280,168,1,143,154,12,22,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,origin_week,12120,168,0,138,167,30,32,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,origin_week,12288,168,0,0,63,64,84,UNRESOLVED_BUDGET,,,,,,,
AP1,beijing,Changping,24,3,origin_week,14640,168,0,57,64,8,6,EXACT_CLOSED,2.0,,,,,,
AP1,beijing,Changping,24,3,origin_week,15648,168,0,140,146,7,6,EXACT_CLOSED,7.0,,,,,,
