phase,dataset,series,K,L,scope,origin_start,N,comparison_id,model_A,model_B,independent_direction,pairwise_direction,joint_direction,ambiguous_windows,structure_status,witness_lower,witness_upper,information_insufficient_proved,lower_tightening,upper_tightening,needed_lower_shift_to_zero,needed_upper_shift_to_zero,reason
AP1,beijing,Aotizhongxin,72,3,annual,8760,8689,AP1_beijing_Aotizhongxin_K72_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,353,HIGHER_STRUCTURE,-0.0014145596583964,0.001443580899277,True,0.0001242526684995,2.0100024075708767e-14,0.0014145596583965,0.0014435808992768,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Aotizhongxin,72,3,annual,8760,8689,AP1_beijing_Aotizhongxin_K72_annual_8760_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,353,HIGHER_STRUCTURE,-0.0013289608525368,0.0018025293801562,True,2.0000060635405603e-14,7.676485923600049e-06,0.0013289608525368,0.0018025293801561,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Aotizhongxin,72,3,origin_week,15648,168,AP1_beijing_Aotizhongxin_K72_origin_week_15648_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,115,HIGHER_STRUCTURE,-0.0416377829549586,0.0061869408007586,True,0.003011706901664,2.00004943162746e-14,0.0416377829549586,0.0061869408007585,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Aotizhongxin,72,3,origin_week,15648,168,AP1_beijing_Aotizhongxin_K72_origin_week_15648_logistic_hist_gradient_boosting,logistic,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,115,HIGHER_STRUCTURE,-0.002542211314037,0.0335747777718218,True,2.0000060635405603e-14,0.0003970296786869,0.002542211314037,0.0335747777718218,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Aotizhongxin,72,3,origin_week,15816,168,AP1_beijing_Aotizhongxin_K72_origin_week_15816_constant_hist_gradient_boosting,constant,hist_gradient_boosting,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,168,HIGHER_STRUCTURE,-0.0586451792532572,0.0069085343700285,True,0.003414670696111,1.9999626954536612e-14,0.0586451792532572,0.0069085343700284,OBSERVATION_INFORMATION_INSUFFICIENT
AP1,beijing,Changping,24,3,annual,8760,8737,AP1_beijing_Changping_K24_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,187,HIGHER_STRUCTURE,0.0995483178884897,0.1071136437097176,False,1.8168030467974328e-06,1.816803046394977e-06,0.0,0.1071136437097178,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Changping,24,3,origin_week,12120,168,AP1_beijing_Changping_K24_origin_week_12120_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,30,HIGHER_STRUCTURE,0.1048522785335791,0.1423065875664582,False,9.448457170520286e-05,2.0011770018868447e-14,0.0,0.1423065875664582,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Dingling,24,3,annual,8760,8737,AP1_beijing_Dingling_K24_annual_8760_constant_logistic,constant,logistic,B,B,B,212,HIGHER_STRUCTURE,0.1085696116094989,0.1238974760375034,False,3.571481040950952e-05,1.990074771640593e-14,0.0,0.1238974760375036,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Dingling,24,3,annual,8760,8737,AP1_beijing_Dingling_K24_annual_8760_constant_hist_gradient_boosting,constant,hist_gradient_boosting,B,B,B,212,HIGHER_STRUCTURE,0.1026053371925856,0.121495566666701,False,2.919828565109417e-06,2.009503674571533e-14,0.0,0.1214955666667008,INDEPENDENT_ALREADY_DIRECTED
AP1,beijing,Dingling,24,3,origin_week,10104,168,AP1_beijing_Dingling_K24_origin_week_10104_constant_logistic,constant,logistic,B,B,B,18,HIGHER_STRUCTURE,0.100145475585939,0.119706785408594,False,0.001857382728426,1.990074771640593e-14,0.0,0.1197067854085941,INDEPENDENT_ALREADY_DIRECTED
