phase,dataset,series,K,L,scope,origin_start,N,structure_status,components,unreachable_LP_patterns
AP1,beijing,Aotizhongxin,24,3,annual,8760,8737,HIGHER_STRUCTURE,3,0
AP1,beijing,Aotizhongxin,24,3,origin_week,8760,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,8928,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,9096,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,9264,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,9432,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,9600,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,9768,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,9936,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,10104,168,UNRESOLVED_BUDGET,1,0
AP1,beijing,Aotizhongxin,24,3,origin_week,10272,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,10440,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,10608,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,10776,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,10944,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,11112,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,11280,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,11448,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,11616,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,11784,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,11952,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,12120,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,12288,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,12456,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,12624,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,12792,168,STRUCTURALLY_EXACT,0,0
AP1,beijing,Aotizhongxin,24,3,origin_week,12960,168,STRUCTURALLY_EXACT,0,0
