phase,dataset,series,K,L,scope,origin_start,N,comparison_id,endpoint,pairwise_pattern_feasible,pairwise_pattern_value,pairwise_reported_bound,witness_delta,absolute_pattern_DP_gap,equality_status,independent_conflict
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,AP2_beijing_Aotizhongxin_K24_annual_17520_constant_logistic,lower,True,0.08846861380052422,0.0884686138005042,0.08846861380052423,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,6625;6622
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,AP2_beijing_Aotizhongxin_K24_annual_17520_constant_logistic,upper,True,0.09570895668416901,0.095708956684189,0.09570895668416902,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,1207;1210
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,AP2_beijing_Aotizhongxin_K24_annual_17520_constant_hist_gradient_boosting,lower,True,0.09289878483891513,0.0928987848388951,0.09289878483891512,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,6625;6622
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,AP2_beijing_Aotizhongxin_K24_annual_17520_constant_hist_gradient_boosting,upper,True,0.10183385044078117,0.1018338504408011,0.10183385044078115,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,1207;1211
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,AP2_beijing_Aotizhongxin_K24_annual_17520_logistic_hist_gradient_boosting,lower,True,0.003287027070035327,0.0032870270700153,0.003287027070035328,8.673617379884035e-19,REALIZABLE_LP_OPTIMUM_NUMERIC,2446;2448
AP2,beijing,Aotizhongxin,24,3,annual,17520,8761,AP2_beijing_Aotizhongxin_K24_annual_17520_logistic_hist_gradient_boosting,upper,True,0.007164281525347601,0.0071642815253676,0.007164281525347601,0.0,REALIZABLE_LP_OPTIMUM_NUMERIC,2445;2446
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_constant_logistic,lower,True,0.035823125267438645,0.0358231252674186,0.035823125267438645,0.0,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_constant_logistic,upper,True,0.09888953748867743,0.0988895374886974,0.09888953748867745,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_constant_hist_gradient_boosting,lower,True,0.009579462242875045,0.009579462242855,0.009579462242875045,0.0,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_constant_hist_gradient_boosting,upper,True,0.10397992174145543,0.1039799217414754,0.10397992174145543,0.0,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_logistic_hist_gradient_boosting,lower,True,-0.02624366302456361,-0.0262436630245836,-0.026243663024563605,3.469446951953614e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18360,168,AP2_beijing_Aotizhongxin_K24_origin_week_18360_logistic_hist_gradient_boosting,upper,True,0.005090384252777969,0.0050903842527979,0.005090384252777971,2.6020852139652106e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_constant_logistic,lower,True,0.02785223987244768,0.0278522398724277,0.02785223987244769,1.0408340855860843e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_constant_logistic,upper,True,0.03683535537272848,0.0368353553727484,0.036835355372728494,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,31;34
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_constant_hist_gradient_boosting,lower,True,0.03902955190479713,0.0390295519047771,0.039029551904797136,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_constant_hist_gradient_boosting,upper,True,0.048537567433840044,0.04853756743386,0.04853756743384005,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,31;35
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_logistic_hist_gradient_boosting,lower,True,0.004159082011765865,0.0041590820117458,0.004159082011765857,7.806255641895632e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,18696,168,AP2_beijing_Aotizhongxin_K24_origin_week_18696_logistic_hist_gradient_boosting,upper,True,0.014435744538975382,0.0144357445389953,0.014435744538975373,8.673617379884035e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,AP2_beijing_Aotizhongxin_K24_origin_week_19872_constant_logistic,lower,True,0.04012417382893364,0.0401241738289136,0.04012417382893365,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,AP2_beijing_Aotizhongxin_K24_origin_week_19872_constant_logistic,upper,True,0.11104022923353635,0.1110402292335563,0.11104022923353636,1.3877787807814457e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,93;97
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,AP2_beijing_Aotizhongxin_K24_origin_week_19872_constant_hist_gradient_boosting,lower,True,0.05013449578939506,0.050134495789375,0.050134495789395064,6.938893903907228e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,AP2_beijing_Aotizhongxin_K24_origin_week_19872_constant_hist_gradient_boosting,upper,True,0.20498534506220104,0.204985345062221,0.20498534506220106,2.7755575615628914e-17,REALIZABLE_LP_OPTIMUM_NUMERIC,93;98
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,AP2_beijing_Aotizhongxin_K24_origin_week_19872_logistic_hist_gradient_boosting,lower,True,0.008884257212278899,0.0088842572122588,0.008884257212278894,5.204170427930421e-18,REALIZABLE_LP_OPTIMUM_NUMERIC,94;96
AP2,beijing,Aotizhongxin,24,3,origin_week,19872,168,AP2_beijing_Aotizhongxin_K24_origin_week_19872_logistic_hist_gradient_boosting,upper,True,0.0939451158286647,0.0939451158286847,0.0939451158286647,0.0,REALIZABLE_LP_OPTIMUM_NUMERIC,93;94
