dataset,K,mask,method,comparisons,directed,wrong_direction,undirected,truth_contained
beijing,24,blocks_10,independent,36,24,0,12,36.0
beijing,24,blocks_10,pairwise,36,25,0,11,36.0
beijing,24,blocks_10,joint,36,25,0,11,36.0
beijing,24,blocks_10,locf,36,36,0,0,
beijing,24,blocks_10,identified,36,36,2,0,
beijing,24,iid_10,independent,36,35,0,1,36.0
beijing,24,iid_10,pairwise,36,36,0,0,36.0
beijing,24,iid_10,joint,36,36,0,0,36.0
beijing,24,iid_10,locf,36,36,0,0,
beijing,24,iid_10,identified,36,36,0,0,
beijing,24,iid_30,independent,36,17,0,19,36.0
beijing,24,iid_30,pairwise,36,17,0,19,36.0
beijing,24,iid_30,joint,36,17,0,19,36.0
beijing,24,iid_30,locf,36,36,1,0,
beijing,24,iid_30,identified,36,36,2,0,
beijing,72,blocks_10,independent,36,28,0,8,36.0
beijing,72,blocks_10,pairwise,36,30,0,6,36.0
beijing,72,blocks_10,joint,36,30,0,6,36.0
beijing,72,blocks_10,locf,36,36,0,0,
beijing,72,blocks_10,identified,36,36,2,0,
beijing,72,iid_10,independent,36,33,0,3,36.0
beijing,72,iid_10,pairwise,36,36,0,0,36.0
beijing,72,iid_10,joint,36,36,0,0,36.0
beijing,72,iid_10,locf,36,36,0,0,
beijing,72,iid_10,identified,36,36,0,0,
beijing,72,iid_30,independent,36,16,0,20,36.0
beijing,72,iid_30,pairwise,36,20,0,16,36.0
beijing,72,iid_30,joint,36,20,0,16,36.0
beijing,72,iid_30,locf,36,36,2,0,
beijing,72,iid_30,identified,36,36,11,0,
household,60,blocks_10,independent,3,1,0,2,3.0
household,60,blocks_10,pairwise,3,2,0,1,3.0
household,60,blocks_10,joint,3,2,0,1,3.0
household,60,blocks_10,locf,3,3,0,0,
household,60,blocks_10,identified,3,3,0,0,
household,60,iid_10,independent,3,3,0,0,3.0
household,60,iid_10,pairwise,3,3,0,0,3.0
household,60,iid_10,joint,3,3,0,0,3.0
household,60,iid_10,locf,3,3,0,0,
household,60,iid_10,identified,3,3,0,0,
household,60,iid_30,independent,3,2,0,1,3.0
household,60,iid_30,pairwise,3,2,0,1,3.0
household,60,iid_30,joint,3,2,0,1,3.0
household,60,iid_30,locf,3,3,0,0,
household,60,iid_30,identified,3,3,0,0,
household,180,blocks_10,independent,3,2,0,1,3.0
household,180,blocks_10,pairwise,3,2,0,1,3.0
household,180,blocks_10,joint,3,2,0,1,3.0
household,180,blocks_10,locf,3,3,0,0,
household,180,blocks_10,identified,3,3,0,0,
household,180,iid_10,independent,3,3,0,0,3.0
household,180,iid_10,pairwise,3,3,0,0,3.0
household,180,iid_10,joint,3,3,0,0,3.0
household,180,iid_10,locf,3,3,0,0,
household,180,iid_10,identified,3,3,0,0,
household,180,iid_30,independent,3,1,0,2,3.0
household,180,iid_30,pairwise,3,1,0,2,3.0
household,180,iid_30,joint,3,1,0,2,3.0
household,180,iid_30,locf,3,3,0,0,
household,180,iid_30,identified,3,3,0,0,
