dataset,series,rows,start,end,missing,missing_rate,train_missing,evaluation_missing,negative_measurements,regular_grid
beijing,Aotizhongxin,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,746,0.028360705596107056,10,216,0,True
beijing,Changping,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,660,0.02509124087591241,33,322,0,True
beijing,Dingling,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,496,0.018856447688564478,133,127,0,True
beijing,Dongsi,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,371,0.014104318734793187,142,111,0,True
beijing,Guanyuan,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,426,0.016195255474452556,101,104,0,True
beijing,Gucheng,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,491,0.018666362530413625,136,171,0,True
beijing,Huairou,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,815,0.030983880778588806,259,177,0,True
beijing,Nongzhanguan,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,486,0.018476277372262775,38,247,0,True
beijing,Shunyi,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,587,0.022315997566909974,260,116,0,True
beijing,Tiantan,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,539,0.0204911800486618,17,153,0,True
beijing,Wanliu,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,271,0.010302615571776155,17,150,0,True
beijing,Wanshouxigong,26304,2013-03-01 00:00:00,2016-02-29 23:00:00,484,0.01840024330900243,40,227,0,True
household,household,1335276,2006-12-16 17:24:00,2009-06-30 23:59:00,7448,0.005577873038982203,3732,3505,0,True
