dataset,series,K,L,scope,origin_start,N,model_A,model_B,higher_order_new,status,constraint_rows,milp_lower,milp_upper,max_abs_error,lower_missing_bits,upper_missing_bits
beijing,Aotizhongxin,24,3,origin_week,18360,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,4620,-0.026243663024563612,0.005090384252777974,1.1102230246251565e-16,111,000
beijing,Aotizhongxin,72,3,origin_week,18360,168,constant,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,-0.0019902529977778175,0.0001866747848086312,3.119791751327039e-17,0000,1110
beijing,Aotizhongxin,72,3,origin_week,19872,168,constant,logistic,False,OPTIMAL_MATCH,12876,-0.010316396002153696,-0.0026649752947015444,4.423544863740858e-17,0000000000000000000000000000,0000011111111111111111111111
beijing,Changping,72,3,origin_week,22728,168,constant,logistic,False,OPTIMAL_MATCH,12876,-0.13896781557560936,-0.009605346046651716,5.551115123125783e-17,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
beijing,Changping,72,3,origin_week,22728,168,constant,hist_gradient_boosting,True,OPTIMAL_MATCH,12876,-0.038115767599010274,-0.0005900870994380964,7.632783294297951e-17,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000101000000000001010000000000000000000000111000000000000000000000000000000100110000001010000000000000000000000000000000000000000111000
beijing,Changping,72,3,origin_week,22728,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,0.004162634865530347,0.10085204797659905,5.551115123125783e-17,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
beijing,Dingling,72,3,origin_week,25080,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,0.0012200779662683821,0.011460579306998979,8.218252467440124e-17,00011100,00000000
beijing,Dingling,72,3,origin_week,25752,168,constant,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,0.002258185368284704,0.002368099759480034,1.0408340855860843e-16,0000,0111
beijing,Dongsi,24,3,origin_week,23736,168,constant,logistic,False,OPTIMAL_MATCH,4620,0.0032574862715527724,0.011655291982854801,7.24247051220317e-17,1,0
beijing,Dongsi,72,3,origin_week,18192,168,constant,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,-0.0021070428965029968,-0.0003254556340083415,4.1470733097570545e-17,00000000,00111000
beijing,Guanyuan,24,3,origin_week,18360,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,4620,0.0032267579694883236,0.005300832423330361,6.158268339717665e-17,000,111
beijing,Gucheng,72,3,origin_week,21720,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,-0.0201308568753552,-0.005928049564481806,6.071532165918825e-18,000,111
beijing,Huairou,24,3,origin_week,22728,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,4620,-0.02450691966856074,-0.0014014912197095873,8.716985466783456e-17,100000000000000,000001110000000
beijing,Nongzhanguan,72,3,origin_week,22728,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,0.0021309760116963385,0.028068806474188863,6.245004513516506e-17,000111111111111111111111111111111111111111111111111111111110,000111000000000000000000000000000000000000000000000000000000
beijing,Shunyi,24,3,origin_week,20040,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,4620,-0.0020416612230882212,-2.169693198367504e-05,2.1250362580715887e-17,0000,0111
beijing,Tiantan,72,3,origin_week,20712,168,constant,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,0.0013816367458637474,0.004815860521021327,4.7488055154865094e-17,0111,0000
beijing,Wanliu,72,3,origin_week,25584,168,constant,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,0.0015896046470877416,0.0451784345993284,4.163336342344337e-17,11100,00000
beijing,Wanliu,72,3,origin_week,25584,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,0.00360721478049503,0.03677175587991994,4.163336342344337e-17,11100,00000
beijing,Wanshouxigong,24,3,origin_week,18528,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,4620,0.0010490573772761298,0.04402388259799713,3.469446951953614e-17,0000111111111,0011000000000
beijing,Wanshouxigong,72,3,annual,17520,8713,constant,hist_gradient_boosting,False,DECLARED_SIZE_CUTOFF,653751,,,,,
beijing,Wanshouxigong,72,3,origin_week,21888,168,constant,logistic,False,OPTIMAL_MATCH,12876,-0.009599855645949562,-0.0005679567166281369,6.245004513516506e-17,0000000000111111110000,0000000000000000000000
beijing,Wanshouxigong,72,3,origin_week,21888,168,logistic,hist_gradient_boosting,False,OPTIMAL_MATCH,12876,-0.02423836186606924,-0.0035239316993217235,4.163336342344337e-17,0000000000000000000000,0000000000111111110000
household,household,60,5,origin_week,1112076,10080,logistic,hist_gradient_boosting,False,DECLARED_SIZE_CUTOFF,635370,,,,,
household,household,180,5,origin_week,1041516,10080,constant,logistic,False,DECLARED_SIZE_CUTOFF,1845690,,,,,
