phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,model_A,model_B,N,support_records,missing_records,ambiguous_windows,independent_lower,independent_upper,pairwise_lower,pairwise_upper,joint_lower,joint_upper,joint_enclosure_lower,joint_enclosure_upper,numeric_method,Gamma_minus,Gamma_plus,W_ind,ambiguous_weight,lower_zero_margin,upper_zero_margin,mixed_components,implications,lp_variables,lp_constraints,pair_preprocess_seconds,pair_solve_seconds,pair_status,joint_seconds,independent_direction,pairwise_direction,joint_direction,independent_undirected,pairwise_new,joint_new,higher_order_new,category,truth_delta,truth_contained,locf_delta,locf_wrong,identified_delta,identified_wrong
AP2,beijing,Aotizhongxin,origin_week,natural,18360,2015-04-05 00:00:00,2015Q2,beijing_2015-04-05T00:00:00,24,3,logistic,hist_gradient_boosting,168,191,3,21,-0.0262436630245636,0.0050903842527779,-0.0262436630245836,0.0050903842527979,-0.0262436630245635,0.0050903842527779,-0.0262436630249228,0.0050903842531372,FLOAT_OUTWARD,1.7486012637846217e-15,2.6229018956769323e-15,0.0313340472773415,0.0313340472773415,0.0262436630245636,0.0050903842527779,0,420,41,134,0.000731099999939,4.350000017439015e-05,ANALYTIC,0.0002039000000877,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,True,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
AP2,beijing,Aotizhongxin,origin_week,natural,18360,2015-04-05 00:00:00,2015Q2,beijing_2015-04-05T00:00:00,72,3,constant,hist_gradient_boosting,168,239,4,3,-0.0019902529977778,0.0001866747848086,-0.0019902529977978,0.0001866747848286,-0.0019902529977778,0.0001866747848086,-0.0019902529982223,0.0001866747852531,FLOAT_OUTWARD,3.570060913560269e-15,0.0,0.0021769277825864,0.0021769277825864,0.0019902529977778,0.0001866747848086,0,6,5,9,0.0003776000003199,2.9400000130408444e-05,ANALYTIC,0.0002163999997719,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,True,False,False,False,JOINT_OPPOSITE_POSSIBLE,,,,,,
AP2,beijing,Aotizhongxin,origin_week,natural,19872,2015-06-07 00:00:00,2015Q2,beijing_2015-06-07T00:00:00,72,3,constant,logistic,168,239,28,31,-0.0130415206227434,6.014932588820672e-05,-0.0103163960021736,-0.0026649752946815,-0.0103163960021537,-0.0026649752947015,-0.0103163960025982,-0.0026649752942569,FLOAT_OUTWARD,0.457820936259078,0.4578209362590768,0.0131016699486316,0.0131016699486316,0.0130415206227434,6.014932588820672e-05,1,696,61,227,0.0007240000004458,0.0087255999997069,OPTIMAL_DUAL_OUTWARD,0.0002478999995219,OPPOSITE_POSSIBLE,A,A,True,True,True,False,JOINT_NEW_STRICT,,,,,,
AP2,beijing,Changping,origin_week,natural,22728,2015-10-04 00:00:00,2015Q4,beijing_2015-10-04T00:00:00,72,3,constant,logistic,168,239,153,151,-0.1389678155756093,-0.0096053460466517,-0.1389678155756293,-0.0096053460466317,-0.1389678155756093,-0.0096053460466517,-0.1389678155760539,-0.0096053460462071,FLOAT_OUTWARD,0.0,3.497202527569243e-15,0.1293624695289576,0.1293624695289576,0.1389678155756093,-0.0096053460466517,0,2415,139,365,0.0007906999999249,5.450000026030466e-05,ANALYTIC,0.0003614999995988,A,A,A,False,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP2,beijing,Changping,origin_week,natural,22728,2015-10-04 00:00:00,2015Q4,beijing_2015-10-04T00:00:00,72,3,constant,hist_gradient_boosting,168,239,153,151,-0.0452950194180562,0.0017365406379246,-0.0449371883559173,0.0017365406379446,-0.0381157675990102,-0.0005900870994381,-0.0381157675994548,-0.0005900870989935,FLOAT_OUTWARD,1.2061143055997294,0.3908734598769551,0.0470315600559809,0.0470315600559809,0.0452950194180562,0.0017365406379246,1,2415,139,365,0.0007906999999249,0.0095271999998658,OPTIMAL_DUAL_OUTWARD,0.0002676000003702,OPPOSITE_POSSIBLE,OPPOSITE_POSSIBLE,A,True,False,True,True,JOINT_NEW_STRICT,,,,,,
AP2,beijing,Changping,origin_week,natural,22728,2015-10-04 00:00:00,2015Q4,beijing_2015-10-04T00:00:00,72,3,logistic,hist_gradient_boosting,168,239,153,151,0.0041626348655303,0.100852047976599,0.0041626348655103,0.100852047976619,0.0041626348655303,0.100852047976599,0.0041626348650857,0.1008520479770436,FLOAT_OUTWARD,0.0,0.0,0.0966894131110687,0.0966894131110687,-0.0041626348655303,0.100852047976599,0,2415,139,365,0.0007906999999249,2.989999939018162e-05,ANALYTIC,0.0003329000001031,B,B,B,False,False,False,False,INDEPENDENT_ALREADY_DIRECTED,,,,,,
AP2,beijing,Dingling,origin_week,natural,25080,2016-01-10 00:00:00,2016Q1,beijing_2016-01-10T00:00:00,72,3,logistic,hist_gradient_boosting,168,239,8,39,-0.0115087809896698,0.0276499620898979,0.0012200779662483,0.0114605793070189,0.0012200779662683,0.011460579306999,0.0012200779658238,0.0114605793074435,FLOAT_OUTWARD,2.138448304597619,2.719816307527021,0.0391587430795677,0.0391587430795677,0.0115087809896698,0.0276499620898979,1,1371,77,331,0.0011047000007238,0.0137610000001586,OPTIMAL_DUAL_OUTWARD,0.0003002999992531,OPPOSITE_POSSIBLE,B,B,True,True,True,False,JOINT_NEW_STRICT,,,,,,
AP2,beijing,Dingling,origin_week,natural,25752,2016-02-07 00:00:00,2016Q1,beijing_2016-02-07T00:00:00,72,3,constant,hist_gradient_boosting,168,239,4,10,-0.0005497552357587,0.0051760403635234,0.0022581853682647,0.0023680997595,0.0022581853682846,0.00236809975948,0.0022581853678401,0.0023680997599245,FLOAT_OUTWARD,0.4717340214792966,0.4717340214792985,0.0057257955992822,0.0057257955992822,0.0005497552357587,0.0051760403635234,1,90,19,52,0.0005842999999003,0.0074265000002924,OPTIMAL_DUAL_OUTWARD,0.0003121999998256,OPPOSITE_POSSIBLE,B,B,True,True,True,False,JOINT_NEW_STRICT,,,,,,
AP2,beijing,Dongsi,origin_week,natural,23736,2015-11-15 00:00:00,2015Q4,beijing_2015-11-15T00:00:00,24,3,constant,logistic,168,191,1,22,-0.0010635072614707,0.0159762855158783,0.0032574862715327,0.0116552919828747,0.0032574862715527,0.0116552919828548,0.0032574862711934,0.011655291983214,FLOAT_OUTWARD,0.7259269135479522,0.7259269135479534,0.017039792777349,0.017039792777349,0.0010635072614707,0.0159762855158783,1,462,43,142,0.0005533000003197,0.0063860000000204,OPTIMAL_DUAL_OUTWARD,0.00017729999945,OPPOSITE_POSSIBLE,B,B,True,True,True,False,JOINT_NEW_STRICT,,,,,,
AP2,beijing,Dongsi,origin_week,natural,18192,2015-03-29 00:00:00,2015Q1,beijing_2015-03-29T00:00:00,72,3,constant,hist_gradient_boosting,168,239,8,5,-0.0026732975112668,0.0001382654273975,-0.002107042896523,-0.0003254556339883,-0.002107042896503,-0.0003254556340083,-0.0021070428969475,-0.0003254556335638,FLOAT_OUTWARD,0.0951307752803334,0.0779051383161926,0.0028115629386644,0.0028115629386644,0.0026732975112668,0.0001382654273975,1,16,9,21,0.0002792000004774,0.0039130999994085,OPTIMAL_DUAL_OUTWARD,0.0001895000004878,OPPOSITE_POSSIBLE,A,A,True,True,True,False,JOINT_NEW_STRICT,,,,,,
