independent_undominated,independent_best,pairwise_undominated,pairwise_best,joint_undominated,joint_best,phase,dataset,series,scope,mask,origin_start,time_start,quarter,cluster,K,L,N,pairwise_set_changed,joint_set_changed,higher_order_set_changed
constant;hist_gradient_boosting;logistic,,constant;hist_gradient_boosting,,constant;hist_gradient_boosting,,AP2,beijing,Aotizhongxin,origin_week,natural,19872,2015-06-07 00:00:00,2015Q2,beijing_2015-06-07T00:00:00,72,3,168,True,True,False
constant;hist_gradient_boosting,,constant;hist_gradient_boosting,,constant,constant,AP2,beijing,Changping,origin_week,natural,22728,2015-10-04 00:00:00,2015Q4,beijing_2015-10-04T00:00:00,72,3,168,False,True,True
constant;hist_gradient_boosting;logistic,,constant;hist_gradient_boosting,,constant;hist_gradient_boosting,,AP2,beijing,Dingling,origin_week,natural,25080,2016-01-10 00:00:00,2016Q1,beijing_2016-01-10T00:00:00,72,3,168,True,True,False
constant;logistic,,logistic,logistic,logistic,logistic,AP2,beijing,Dongsi,origin_week,natural,23736,2015-11-15 00:00:00,2015Q4,beijing_2015-11-15T00:00:00,24,3,168,True,True,False
constant;hist_gradient_boosting,,constant,constant,constant,constant,AP2,beijing,Dongsi,origin_week,natural,18192,2015-03-29 00:00:00,2015Q1,beijing_2015-03-29T00:00:00,72,3,168,True,True,False
hist_gradient_boosting;logistic,,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Guanyuan,origin_week,natural,18360,2015-04-05 00:00:00,2015Q2,beijing_2015-04-05T00:00:00,24,3,168,True,True,False
hist_gradient_boosting;logistic,,logistic,logistic,logistic,logistic,AP2,beijing,Gucheng,origin_week,natural,21720,2015-08-23 00:00:00,2015Q3,beijing_2015-08-23T00:00:00,72,3,168,True,True,False
hist_gradient_boosting;logistic,,logistic,logistic,logistic,logistic,AP2,beijing,Huairou,origin_week,natural,22728,2015-10-04 00:00:00,2015Q4,beijing_2015-10-04T00:00:00,24,3,168,True,True,False
hist_gradient_boosting;logistic,,logistic,logistic,logistic,logistic,AP2,beijing,Shunyi,origin_week,natural,20040,2015-06-14 00:00:00,2015Q2,beijing_2015-06-14T00:00:00,24,3,168,True,True,False
constant;hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,hist_gradient_boosting;logistic,,AP2,beijing,Tiantan,origin_week,natural,20712,2015-07-12 00:00:00,2015Q3,beijing_2015-07-12T00:00:00,72,3,168,True,True,False
constant;hist_gradient_boosting;logistic,,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Wanliu,origin_week,natural,25584,2016-01-31 00:00:00,2016Q1,beijing_2016-01-31T00:00:00,72,3,168,True,True,False
hist_gradient_boosting;logistic,,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,AP2,beijing,Wanshouxigong,origin_week,natural,18528,2015-04-12 00:00:00,2015Q2,beijing_2015-04-12T00:00:00,24,3,168,True,True,False
constant;logistic,,constant,constant,constant,constant,AP2,beijing,Wanshouxigong,origin_week,natural,21888,2015-08-30 00:00:00,2015Q3,beijing_2015-08-30T00:00:00,72,3,168,True,True,False
