dataset,K,scope,mask,comparisons,ambiguous_comparisons,independent_undirected,pairwise_new,joint_new,higher_order_new,joint_new_fraction_all,joint_new_fraction_independent_undirected,higher_order_tighter
beijing,24,annual,natural,36,36,3,0,0,0,0.0,0.0,12
beijing,24,artificial,blocks_10,36,36,12,1,1,0,0.027777777777777776,0.08333333333333333,4
beijing,24,artificial,iid_10,36,33,1,1,1,0,0.027777777777777776,1.0,0
beijing,24,artificial,iid_30,36,36,19,0,0,0,0.0,0.0,11
beijing,24,origin_week,natural,1908,438,68,5,5,0,0.002620545073375262,0.07352941176470588,16
beijing,72,annual,natural,36,36,1,1,1,0,0.027777777777777776,1.0,10
beijing,72,artificial,blocks_10,36,30,8,2,2,0,0.05555555555555555,0.25,1
beijing,72,artificial,iid_10,36,30,3,3,3,0,0.08333333333333333,1.0,0
beijing,72,artificial,iid_30,36,36,20,4,4,0,0.1111111111111111,0.2,3
beijing,72,origin_week,natural,1872,264,78,11,12,1,0.00641025641025641,0.15384615384615385,12
household,60,annual,natural,3,3,1,0,0,0,0.0,0.0,1
household,60,artificial,blocks_10,3,3,2,1,1,0,0.3333333333333333,0.5,2
household,60,artificial,iid_10,3,3,0,0,0,0,0.0,,0
household,60,artificial,iid_30,3,3,1,0,0,0,0.0,0.0,1
household,60,origin_week,natural,159,15,4,0,0,0,0.0,0.0,2
household,180,annual,natural,3,3,0,0,0,0,0.0,,3
household,180,artificial,blocks_10,3,3,1,0,0,0,0.0,0.0,2
household,180,artificial,iid_10,3,3,0,0,0,0,0.0,,0
household,180,artificial,iid_30,3,3,2,0,0,0,0.0,0.0,0
household,180,origin_week,natural,159,15,4,0,0,0,0.0,0.0,5
