series,K,scope,origin_start,winner,opponent,worst_advantage
Changping,72,origin_week,22728,constant,logistic,0.0096053460462071
Changping,72,origin_week,22728,constant,hist_gradient_boosting,0.0005900870989935
Dongsi,24,origin_week,23736,logistic,constant,0.0032574862711934
Dongsi,24,origin_week,23736,logistic,hist_gradient_boosting,0.0042236318819798
Dongsi,72,origin_week,18192,constant,logistic,0.0009394183068832
Dongsi,72,origin_week,18192,constant,hist_gradient_boosting,0.0003254556335638
Guanyuan,24,origin_week,18360,hist_gradient_boosting,constant,0.004769780098429
Guanyuan,24,origin_week,18360,hist_gradient_boosting,logistic,0.003226757969129
Gucheng,72,origin_week,21720,logistic,constant,0.0254335397516186
Gucheng,72,origin_week,21720,logistic,hist_gradient_boosting,0.0059280495640372
Huairou,24,origin_week,22728,logistic,constant,0.1076831466103504
Huairou,24,origin_week,22728,logistic,hist_gradient_boosting,0.0014014912193502
Shunyi,24,origin_week,20040,logistic,constant,0.0727417300690497
Shunyi,24,origin_week,20040,logistic,hist_gradient_boosting,2.169693162438031e-05
Wanliu,72,origin_week,25584,hist_gradient_boosting,constant,0.0015896046466431
Wanliu,72,origin_week,25584,hist_gradient_boosting,logistic,0.0036072147800505
Wanshouxigong,24,origin_week,18528,hist_gradient_boosting,constant,0.0495662085813419
Wanshouxigong,24,origin_week,18528,hist_gradient_boosting,logistic,0.0010490573769168
Wanshouxigong,72,origin_week,21888,constant,logistic,0.0005679567161835
Wanshouxigong,72,origin_week,21888,constant,hist_gradient_boosting,0.0131237873448267
