stage,model,seed,horizon,status,target_scope,postprocess,scored_values,rmse,mae
DEV_EVAL,RELAX_SHORT_O,20260913,3,AVAILABLE,terminal_H,raw,3850,0.12433189957614911,0.06780709719997563
DEV_EVAL,RELAX_SHORT_O,20260913,3,AVAILABLE,path_1_to_H,raw,11550,0.12499245967167359,0.0627824562869361
DEV_EVAL,RELAX_SHORT_O,20260913,6,AVAILABLE,terminal_H,raw,3850,0.12917691026211386,0.07425881028278351
DEV_EVAL,RELAX_SHORT_O,20260913,6,AVAILABLE,path_1_to_H,raw,23100,0.13107111756978915,0.06969536732762298
DEV_EVAL,RELAX_SHORT_O,20260913,9,AVAILABLE,terminal_H,raw,3850,0.12887596397059894,0.08229337676539004
DEV_EVAL,RELAX_SHORT_O,20260913,9,AVAILABLE,path_1_to_H,raw,34650,0.13037591134832202,0.07289424968862825
DEV_EVAL,RELAX_SHORT_O,20260913,12,AVAILABLE,terminal_H,raw,3850,0.14772057866091096,0.09682005239648528
DEV_EVAL,RELAX_SHORT_O,20260913,12,AVAILABLE,path_1_to_H,raw,46200,0.13469953097966553,0.0785689729826077
DEV_EVAL,RELAX_SHORT_O,20260914,3,AVAILABLE,terminal_H,raw,3850,0.12442616865113694,0.06781384002165076
DEV_EVAL,RELAX_SHORT_O,20260914,3,AVAILABLE,path_1_to_H,raw,11550,0.1250066458557873,0.06276437993119575
DEV_EVAL,RELAX_SHORT_O,20260914,6,AVAILABLE,terminal_H,raw,3850,0.12940454169614118,0.07400635575817054
DEV_EVAL,RELAX_SHORT_O,20260914,6,AVAILABLE,path_1_to_H,raw,23100,0.13122313209995717,0.06964881312814994
DEV_EVAL,RELAX_SHORT_O,20260914,9,AVAILABLE,terminal_H,raw,3850,0.12862716312484304,0.08148203701723342
DEV_EVAL,RELAX_SHORT_O,20260914,9,AVAILABLE,path_1_to_H,raw,34650,0.1304641424341751,0.07266339692267805
DEV_EVAL,RELAX_SHORT_O,20260914,12,AVAILABLE,terminal_H,raw,3850,0.1474749078682859,0.09613068681081202
DEV_EVAL,RELAX_SHORT_O,20260914,12,AVAILABLE,path_1_to_H,raw,46200,0.13474603475596142,0.07821898214826219
DEV_EVAL,RELAX_SHORT_OD,20260913,3,AVAILABLE,terminal_H,raw,3850,0.1265105264616428,0.06849675373789588
DEV_EVAL,RELAX_SHORT_OD,20260913,3,AVAILABLE,path_1_to_H,raw,11550,0.12634144458824537,0.0631296535022726
DEV_EVAL,RELAX_SHORT_OD,20260913,6,AVAILABLE,terminal_H,raw,3850,0.13295946465290173,0.07550953908811146
DEV_EVAL,RELAX_SHORT_OD,20260913,6,AVAILABLE,path_1_to_H,raw,23100,0.13325782100748143,0.07042987053895026
DEV_EVAL,RELAX_SHORT_OD,20260913,9,AVAILABLE,terminal_H,raw,3850,0.1311363179231769,0.08198523648711022
DEV_EVAL,RELAX_SHORT_OD,20260913,9,AVAILABLE,path_1_to_H,raw,34650,0.13284145072943104,0.07349872748090852
DEV_EVAL,RELAX_SHORT_OD,20260913,12,AVAILABLE,terminal_H,raw,3850,0.14977484924864906,0.09724487798174128
DEV_EVAL,RELAX_SHORT_OD,20260913,12,AVAILABLE,path_1_to_H,raw,46200,0.13699876708761086,0.07908624236141697
DEV_EVAL,RELAX_SHORT_OD,20260914,3,AVAILABLE,terminal_H,raw,3850,0.12642914194633212,0.06878266501727874
DEV_EVAL,RELAX_SHORT_OD,20260914,3,AVAILABLE,path_1_to_H,raw,11550,0.12618581649948715,0.06333231807874949
DEV_EVAL,RELAX_SHORT_OD,20260914,6,AVAILABLE,terminal_H,raw,3850,0.13285895045768942,0.0755458892820705
DEV_EVAL,RELAX_SHORT_OD,20260914,6,AVAILABLE,path_1_to_H,raw,23100,0.13319216085223815,0.07064554916539642
DEV_EVAL,RELAX_SHORT_OD,20260914,9,AVAILABLE,terminal_H,raw,3850,0.13160174400255853,0.08226250663789952
DEV_EVAL,RELAX_SHORT_OD,20260914,9,AVAILABLE,path_1_to_H,raw,34650,0.13286215819559768,0.07370520193421545
