manifest_version,fold,horizon,development_history_start,train_start,train_end,validation_origin_start,validation_start,validation_target_start,validation_end,eval_origin_start,eval_start,eval_end,forecast_origin_hash,target_timestamp_hash,station_order_hash,mask_hash,eval_timestamps,eval_target_value_hash,eval_mask_hash,fill_hash,state_fill_hash,scaler_hash,fold_capacity_hash,shared_contract_hash,fold_contract_hash
paris_teacher_fold_v1.1,2020-08,3,2020-07-03 00:00:00,2020-07-10 02:00:00,2020-07-24 23:00:00,2020-07-25 00:00:00,2020-07-25 00:00:00,2020-07-25 03:00:00,2020-07-31 23:00:00,2020-08-01 00:00:00,2020-08-01 03:00:00,2020-08-31 23:00:00,8bfb831cf85c2aae9ad4ca504b7a1917ae5fae0fbe913436f0593f2f7f0778ad,adfcef5b79d4ff014a6a62f5bb30b1bf58317a9f8fa8d0c4d280ca855e40b830,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,741,c349cd842074cc57cccebb7bf9cd067883caa441f18593c83d3105c9ed99871e,c3a0892c4c39216ec29bbbe797010e6b1f2a9b127ff5084311eccc5e29400963,b34f71dedd38461bb9633838d751a06e4d2cbbac9659f22c791bf69bc4f9ed2e,cd836534ea77befe1f12ef83955884f15a88fe8c638a34aa80f04ffd4da38cc8,c30b5664f4a332185fbff5a565137c82a2ae5e16eb98cfbd78afb049af81ce56,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,e57aadc080c91ebe582c2042d3c530419743f06dafe4f09d8f844d1a05bdb22c,cf0ea3217394079c2673328f185fe54ec9eae2405e42ae30e8be8a67d0222673
paris_teacher_fold_v1.1,2020-08,6,2020-07-03 00:00:00,2020-07-10 05:00:00,2020-07-24 23:00:00,2020-07-25 00:00:00,2020-07-25 00:00:00,2020-07-25 06:00:00,2020-07-31 23:00:00,2020-08-01 00:00:00,2020-08-01 06:00:00,2020-08-31 23:00:00,a0654e9e8239b3983e57f95582a40195b4ff7d008b4bfedde6aff8ea8a068f49,2131513e9b5b3f0d4796de2e9ca535b9055728371a036cc276453cce272227e2,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,738,f093ce611a2ebca462d1df88603dbefc60a355c0648172f9cac4b0c2b7a08053,52d8f4be22216c1c15ebb6e9d93e7bf717f3df0288af40b0fba579a427c414cc,b34f71dedd38461bb9633838d751a06e4d2cbbac9659f22c791bf69bc4f9ed2e,cd836534ea77befe1f12ef83955884f15a88fe8c638a34aa80f04ffd4da38cc8,c30b5664f4a332185fbff5a565137c82a2ae5e16eb98cfbd78afb049af81ce56,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,8a9ab864dd1ce3627d6af0ecfcd9c97efa0b97dab8e4d3e3fb93f4e07e8422af,4a6482c883ae2c8e0a3706059b6d8fd45c1d4df6d2b01ca9a475dc44f441bf09
paris_teacher_fold_v1.1,2020-08,9,2020-07-03 00:00:00,2020-07-10 08:00:00,2020-07-24 23:00:00,2020-07-25 00:00:00,2020-07-25 00:00:00,2020-07-25 09:00:00,2020-07-31 23:00:00,2020-08-01 00:00:00,2020-08-01 09:00:00,2020-08-31 23:00:00,d4359329b758304e7d237468b850d7226b126839f40a1ecebc8a51a153f88550,7776f48ccf80166a6ec9098f307c6a22df5c0e4030b5e1dcd94d229076a038a5,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,735,24d157d20fd1cf13cbeed4cbbacfd04c54fec8b6a047b72ea25604a8f57b9cf2,6e8a97da7c39600ac4755fefbc93bdbd2d98bec3617aac77368a53c8af5f2486,b34f71dedd38461bb9633838d751a06e4d2cbbac9659f22c791bf69bc4f9ed2e,cd836534ea77befe1f12ef83955884f15a88fe8c638a34aa80f04ffd4da38cc8,c30b5664f4a332185fbff5a565137c82a2ae5e16eb98cfbd78afb049af81ce56,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,c1207eb036f43109fb7e49468183fddbba1633727baf64b16a7955bd7ff30653,24d0e821d73bed825aa98f68a4c4bae8221e3c396389d2c16e32d284ba8db5d2
paris_teacher_fold_v1.1,2020-08,12,2020-07-03 00:00:00,2020-07-10 11:00:00,2020-07-24 23:00:00,2020-07-25 00:00:00,2020-07-25 00:00:00,2020-07-25 12:00:00,2020-07-31 23:00:00,2020-08-01 00:00:00,2020-08-01 12:00:00,2020-08-31 23:00:00,b69923a51d1cec3ca1c74a4967ae6e6bc7d09849064045482416d3792a9c2e81,572963a033fb84f4c08ff5cc7a5fa68662f6e0ac36d54eb0f9568c68cefd4acd,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,732,b9c49abc98e8170c99e1fa7a32477b69f55907b69f991192e692027fbce8a43d,54bdd29a1c46f8cf6a6c30f2df6f059932d455364ab9d4c8d26f13547098e7ca,b34f71dedd38461bb9633838d751a06e4d2cbbac9659f22c791bf69bc4f9ed2e,cd836534ea77befe1f12ef83955884f15a88fe8c638a34aa80f04ffd4da38cc8,c30b5664f4a332185fbff5a565137c82a2ae5e16eb98cfbd78afb049af81ce56,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,8ca38a577eef4a3ec1cc79138bb6335011f88287c44aebc9fb67673cea3ac95d,bdab7fd9e42ef9ea4c2f44ca537064880b4e0a5e60fa813ef2c7e0d7b0b40b06
paris_teacher_fold_v1.1,2020-09,3,2020-07-03 00:00:00,2020-07-10 02:00:00,2020-08-24 23:00:00,2020-08-25 00:00:00,2020-08-25 00:00:00,2020-08-25 03:00:00,2020-08-31 23:00:00,2020-09-01 00:00:00,2020-09-01 03:00:00,2020-09-30 23:00:00,1072f7ec1f7654745b2e10b872cf3839e9cf7a05127937decf64bd4d1bda6d4c,38ee1f3ebdb93ad5d10027646472f39a7ae4432a765e7298c9e5bc42e6a2a53d,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,717,b7db416cfc86474460fd37779d78d1d999e0c480395c91e01e62751566fce2b7,8b6f743af42498e4d1e84830d57488b80f5d1591fd5656acc223dbd7c609fe26,1671f03dbf9b7417b64c6d2956b0a0eba4d53e6d42056ae1baef1e4f012004db,41a09f1d0acc8f6dd5777fadb2f60c1af52ae4ab687b82ba2192e598d6cdd892,a812874adee16a7f688e555f475507daf16b2e2257c9fbb2a37e7bbc96c06e2a,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,951f7abbac8c8a97fd2b7d572e1145776e86d68e3788582d7f5487f34f47fc41,354e765acd46270037c52211c9475bba680591f89070df127a17b0559a3aee05
paris_teacher_fold_v1.1,2020-09,6,2020-07-03 00:00:00,2020-07-10 05:00:00,2020-08-24 23:00:00,2020-08-25 00:00:00,2020-08-25 00:00:00,2020-08-25 06:00:00,2020-08-31 23:00:00,2020-09-01 00:00:00,2020-09-01 06:00:00,2020-09-30 23:00:00,4bdee465b3a9d126db92e103f6a670b73a3efe733dc85dde14f8f504a272623b,9b6a02991511152b85c79c42571eed3dd786c681d6e9a39d1c6b3fa6c892e262,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,714,3b865bc9847a67a772a0e99ef02a073f8650f89c82a57cf4ff2f67df38bbfc3a,d1be08bef0df2528224542f324a30fd25e7105c09dcc2ff50752ee50cdeeaf83,1671f03dbf9b7417b64c6d2956b0a0eba4d53e6d42056ae1baef1e4f012004db,41a09f1d0acc8f6dd5777fadb2f60c1af52ae4ab687b82ba2192e598d6cdd892,a812874adee16a7f688e555f475507daf16b2e2257c9fbb2a37e7bbc96c06e2a,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,e6528cf87288cce6e9e1932f259e1d5b0f5fabce3b181e5df6afe87ea216423f,e17532b989ac6e3b65bb331591ee905cfb8e0a5a2feebe3837a51db1c10e6d06
paris_teacher_fold_v1.1,2020-09,9,2020-07-03 00:00:00,2020-07-10 08:00:00,2020-08-24 23:00:00,2020-08-25 00:00:00,2020-08-25 00:00:00,2020-08-25 09:00:00,2020-08-31 23:00:00,2020-09-01 00:00:00,2020-09-01 09:00:00,2020-09-30 23:00:00,8c09dbb27e4a0f838ff3cc387c2a31051fec08a7b34750225d2f306676d7289d,bbf2d856aff7d84ed630cdcc21d618e15f09b0b8f395d9b6a4f485adca5f2280,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,711,7b325ed2603fdd91a38228125f9b21cd26c1e3c2a2c0f34043e528d26323e7ad,4592309a775219e4c9cf9beca2323b768df190ed4f799a07fa042e0d274e3c1c,1671f03dbf9b7417b64c6d2956b0a0eba4d53e6d42056ae1baef1e4f012004db,41a09f1d0acc8f6dd5777fadb2f60c1af52ae4ab687b82ba2192e598d6cdd892,a812874adee16a7f688e555f475507daf16b2e2257c9fbb2a37e7bbc96c06e2a,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,940c20b6723af261628ed661fa79b6cda305b6cb2bb19440ecd9836e6d9074c8,043271218d5023aed3a2169c7d93cf46cca742f3fdee650a8460db768f002687
paris_teacher_fold_v1.1,2020-09,12,2020-07-03 00:00:00,2020-07-10 11:00:00,2020-08-24 23:00:00,2020-08-25 00:00:00,2020-08-25 00:00:00,2020-08-25 12:00:00,2020-08-31 23:00:00,2020-09-01 00:00:00,2020-09-01 12:00:00,2020-09-30 23:00:00,ca1f9f65807532130b0fe4578b63b776e3e23652d72519c0ab2031041e3a05ae,95f305ba5fec6b43bb63bab3ab19c35ad1fdb22aa2b1d82d1f3eacd076bbc5a3,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,708,8d48e6ad80c6371d0228572b78ce4321bc11537dde427485d6e92f9ff0c8bcaa,a67c30bf08e95b5e758ba5d3e4b32b7219bfa83f5b114379ba1017bb8f346031,1671f03dbf9b7417b64c6d2956b0a0eba4d53e6d42056ae1baef1e4f012004db,41a09f1d0acc8f6dd5777fadb2f60c1af52ae4ab687b82ba2192e598d6cdd892,a812874adee16a7f688e555f475507daf16b2e2257c9fbb2a37e7bbc96c06e2a,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,d2daa76ed949c93f3e435206e16486182d7df858d8c8a06431c77dbd5de25339,947cf9d7114d7c41f43d75f13a25b5a4acc0a27f0178c18c865a7f45ce255059
paris_teacher_fold_v1.1,2020-10,3,2020-07-03 00:00:00,2020-07-10 02:00:00,2020-09-23 23:00:00,2020-09-24 00:00:00,2020-09-24 00:00:00,2020-09-24 03:00:00,2020-09-30 23:00:00,2020-10-01 00:00:00,2020-10-01 03:00:00,2020-10-31 23:00:00,485b1ae3ea207886c8ed139c6cd5f2efd72ffbf5233d6eb35ff2d93f55d64b9f,f74c6ca48590a6802e72ab125a5ced4d39696926ea094fed7fd495ec5536bc07,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,741,f0e3bf4df5eee4d2cac36dfcef3d23b1b969215ec469cb3d98b7d0145cadb901,6fb0296e96fd418174c6c8ddf6724bfdf4ef1171a41f2f0644d52b00ec927a69,a4437e708f3d6f6307455158c2a2ae6adc1e333e3e22d482bdbdb4cf9bee6525,08a84a080f380f1a588267c1fe38c33b89d59ea794d6a7dba3a9273a1877a175,4f79b7e3fbb942b5d2fc726353db5c517cd7724f4cce7e372bfaca0c6a41ed1b,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,81ef3c28bade1dfcb7437b27e43a4cf03cb9454fcf433fed3c8a3d44161d30e4,c4829f3c54ec76eb84454a0e5427dff93f1e8f51f3ee4ecf7ea950afa42e96f9
paris_teacher_fold_v1.1,2020-10,6,2020-07-03 00:00:00,2020-07-10 05:00:00,2020-09-23 23:00:00,2020-09-24 00:00:00,2020-09-24 00:00:00,2020-09-24 06:00:00,2020-09-30 23:00:00,2020-10-01 00:00:00,2020-10-01 06:00:00,2020-10-31 23:00:00,f38a0b88aaf798d1a1946005014fc3f6dbd8b4ad27dcd1e22099cf52ab95e553,ad56e309b0f6d61a6abd5d8ce2f14e32baa4fbdc5aa720738d4f7432adf0ea57,b476ae1127d1fcf211ce39b948872a184acb3ec7975ce3b59f3055e1d566ead2,9415b37cfdeaa060ef1284345218c8b8dfdd86c10ed833e6569e62df34ff9787,738,02eeeaa2f5731a320c8625ebaae4d023e93487f5874ec9a0d08333f1e4fb242d,449ce1e360f1eae1c406e60f254aea98891dd40e4969acb477ea516a93a1fb9b,a4437e708f3d6f6307455158c2a2ae6adc1e333e3e22d482bdbdb4cf9bee6525,08a84a080f380f1a588267c1fe38c33b89d59ea794d6a7dba3a9273a1877a175,4f79b7e3fbb942b5d2fc726353db5c517cd7724f4cce7e372bfaca0c6a41ed1b,926721e223d10535e43f60082976eb3f42acb17eab4e4450644cd0b7a5ca94a4,5fb5c1ff590ca2d6704693db794711a8bbe08047ff390cbe16b0449f4f61ba4a,2e35057bab5666d734f15e12b348e16c6c733156b71435d2ee1fe1ab849d1953
