repository_path,sha256,bytes,origin,license,local_modification_status
models/caper/IDENTITY.md,005740566efdd958f6b807705b55e9aa6506bc8686cf5b4526fc1e26f180a3bc,627,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/__init__.py,20dc6635c235300abd81a82a268b948c213ece3d64182fe3ee005525bfc52feb,59,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/canonical.py,8a9224c31893afaaf432c82b4f452a06d692672e3a064bb6f70d6103fc798bd1,5576,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/data.py,58b03bae8cf38b6390d41ae164d724b218aa638ea444fd5f99fb311a8397edb5,2394,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/deep_baselines.py,97828c7bd52c124e31be841ded0948ff1c151c6b9dbc48a87d7be71c3345682d,29833,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/evaluate_phase_stability_test.py,49fd1bfac66d35fa2ac29eeb35d7343ae7fcab197ac09fd6ce92ff5f81668df6,7271,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/hybrid_expert_experiment.py,a12e45f7b084db0e98da8b65f16b6a58143013fdb5851bf35a0462ac03c7290b,19352,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/losses.py,f55fa8778a4c34ec714b19b55ca2168ee1d8217756d493604c02a0fbf8cedad3,5375,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/multires_state.py,edc4ec200ebe752998c4ad22ec94ab7dab54fe1b13b2457b9d504ecd0422af8e,20579,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/phase_mean_reversion_experiment.py,b2cb0ab48aff44caa31e1fbd43b26afa004ea54530a4dee3659a5f0d33ea967c,12620,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/physical_constraints.py,2ee65f5521d0978e3972a2999c68449c7d724b8c3bba959f8efd4c10baf41948,11970,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/physical_multitask.py,d51ca3f47e2d8897656b74e93c77f8ec8d616378c11ba88a874495919242d4c0,61495,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/state_ordered_gate_experiment.py,d6adeae6f6ec3cd650872fd9cd08e4194c0516390e5740d93e82b9c506bd9b96,18896,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/state_phase_relaxation_probe.py,6b346e45b41a4f81c06d22f2fce023aeff413febc7fc1ab17bcfcdf1703f13c9,8180,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/stock_flow_error_correction_experiment.py,31d9c366091b33cdd6da138a649453fee5d9a7ad38fae691184e3ce3a0c617e4,18995,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/innovation/three_state_ctmc.py,5e1e3367c6294a9618a5725b9c3017176051ffba7ce3aa64348cbee3e4391d85,21180,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
models/caper/repro/__init__.py,51b5c84b47b46bf43f826c2d610171464117a3d12218e150a6bb4e75db04af57,34,project-authored local CAPER-family snapshot,MIT,paper-to-code identity unknown/not claimed
