table,code,count,table_total,percent,source
3,S1,156,480,32.5,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
3,S2,180,480,37.5,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
3,S3,94,480,19.583333333333332,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
3,S4,0,480,0.0,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
3,S5,6,480,1.25,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
3,S6,44,480,9.166666666666666,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
4,S1,0,216,0.0,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
4,S2,0,216,0.0,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
4,S3,0,216,0.0,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
4,S4,215,216,99.53703703703704,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
4,S5,1,216,0.46296296296296297,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
4,S6,0,216,0.0,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
5,S1,0,528,0.0,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
5,S2,36,528,6.818181818181818,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
5,S3,28,528,5.303030303030303,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
5,S4,156,528,29.545454545454547,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
5,S5,12,528,2.272727272727273,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
5,S6,296,528,56.06060606060606,experiments\00_registry_reclassification\outputs\CONFIG_STATUS.csv
